medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	AcuteInfection
30574019	900	H1y23	H1y2300	Retropharyngeal abscess	18099001	H1y	1
121591000006115	4000	A34	A34..00	Streptococcal sore throat with scarlatina	186357007	A34	1
286458016	500	A34z	A34z.00	Streptococcal sore throat with scarlatina NOS	186357007	A34	1
641091000006111	400	F0350-1	F035011	Encephalitis due to varicella	186509002	F03	1
286689014	500	F0350	F035000	Encephalitis following chickenpox	186509002	F03	1
286691018	400	A520	A520.00	Postvaricella encephalitis	186509002	A52	1
4742231000006111	6	^ESCTVA474223		Varicella encephalitis	186509002		1
286714015	20000	A532	A532.00	Herpes zoster with ophthalmic complication	186524006	A53	1
286717010	1000	A532z	A532z00	Herpes zoster with other ophthalmic complication	186524006	A53	1
879141000006110	4000	A532-99	A532.99	Ophthalmic herpes zoster	186524006	A53	1
4742251000006116	9	^ESCTHE474225		Herpes zoster dermatitis of eyelids	186525007		1
286715019	900	A5320	A532000	Herpes zoster with dermatitis of eyelid	186525007	A53	1
286922017	80	A750	A750.00	Gammaherpesviral mononucleosis	186668002	A75	1
479311018	10000	171L	171L.00	Cough on exercise	19282004	171	1
299066016	60000	F520z	F520z00	Acute suppurative otitis media NOS	194281003	F52	1
4774691000006119	7	^ESCTAS477469		ASOM - Acute suppurative otitis media	194281003		1
299061014	500000	F520	F520.00	Acute suppurative otitis media	194281003	F52	1
299065017	60	F5203	F520300	Acute suppurative otitis media due to disease EC	194282005	F52	1
299069011	3000	F5240	F524000	Bilateral suppurative otitis media	194286008	F52	1
299070012	60000	F525	F525.00	Recurrent acute otitis media	194287004	F52	1
299071011	400000	F526	F526.00	Acute left otitis media	194288009	F52	1
299072016	400000	F527	F527.00	Acute right otitis media	194289001	F52	1
299073014	200000	F528	F528.00	Acute bilateral otitis media	194290005	F52	1
301144014	900	H0y	H0y..00	Other specified acute respiratory infections	195647007	H0y	1
301145010	700000	H0z	H0z..00	Acute respiratory infection	195647007	H0z	1
300997012	3000000	H0	H0...00	Acute respiratory infections	195647007	H0.	1
301021014	200	H020	H020.00	Acute gangrenous pharyngitis	195655000	H02	1
301022019	2000	H021	H021.00	Acute phlegmonous pharyngitis	195656004	H02	1
301023012	8000	H022	H022.00	Acute ulcerative pharyngitis	195657008	H02	1
301027013	3000	H023z	H023z00	Acute bacterial pharyngitis NOS	195658003	H02	1
301024018	20000	H023	H023.00	Acute bacterial pharyngitis	195658003	H02	1
301025017	60	H0230	H023000	Acute pneumococcal pharyngitis	195659006	H02	1
301026016	100	H0231	H023100	Acute staphylococcal pharyngitis	195660001	H02	1
61411000006110	200000	H02-2	H02..12	Viral sore throat NOS	195662009	H02	1
301028015	100000	H024	H024.00	Acute viral pharyngitis	195662009	H02	1
301029011	3000	H025	H025.00	Allergic pharyngitis	195663004	H02	1
301035011	40000	H030	H030.00	Acute erythematous tonsillitis	195666007	H03	1
301036012	200000	H031	H031.00	Acute follicular tonsillitis	195667003	H03	1
301037015	10000	H032	H032.00	Acute ulcerative tonsillitis	195668008	H03	1
301038013	2000	H033	H033.00	Acute catarrhal tonsillitis	195669000	H03	1
4780151000006115	60	^ESCTAC478015		Acute exudative tonsillitis	195669000		1
301040015	200	H034	H034.00	Acute gangrenous tonsillitis	195670004	H03	1
301041016	100000	H035	H035.00	Acute bacterial tonsillitis	195671000	H03	1
301044012	8000	H035z	H035z00	Acute bacterial tonsillitis NOS	195671000	H03	1
301042011	50	H0350	H035000	Acute pneumococcal tonsillitis	195672007	H03	1
301043018	100	H0351	H035100	Acute staphylococcal tonsillitis	195673002	H03	1
301046014	100000	H036	H036.00	Acute viral tonsillitis	195676005	H03	1
4780231000006116	2	^ESCTRA478023		RAT - Recurrent acute tonsillitis	195677001		1
301047017	200000	H037	H037.00	Recurrent acute tonsillitis	195677001	H03	1
301052010	300	H0400	H040000	Acute oedematous laryngitis	195680000	H04	1
301053017	50	H0401	H040100	Acute ulcerative laryngitis	195681001	H04	1
301054011	3000	H0402	H040200	Acute catarrhal laryngitis	195682008	H04	1
301055012	200	H0403	H040300	Acute phlegmonous laryngitis	195683003	H04	1
301057016	60	H0404	H040400	Acute haemophilus influenzae laryngitis	195684009	H04	1
301058014	7	H0405	H040500	Acute pneumococcal laryngitis	195685005	H04	1
301059018	50	H0406	H040600	Acute suppurative laryngitis	195686006	H04	1
301086018	10000	H053	H053.00	Tracheopharyngitis	195707008	H05	1
12717051000006112	300	^ESCT1271705		Tracheopharyngitis	195707008		1
301087010	10000	H052	H052.00	Pharyngotracheitis	195707008	H05	1
301088017	70000	H054	H054.00	Recurrent upper respiratory tract infection	195708003	H05	1
301089013	9000	H055	H055.00	Pharyngolaryngitis	195709006	H05	1
12717061000006114	200	^ESCT1271706		Acute bronchitis and/or bronchiolitis	195712009		1
301095014	20000	H06	H06..00	Acute bronchitis and bronchiolitis	195712009	H06	1
2475602011	6000	H0604	H060400	Acute croupous bronchitis	195714005	H06	1
301100011	600	H0600	H060000	Acute fibrinous bronchitis	195714005	H06	1
2475601016	30	H0602	H060200	Acute pseudomembranous bronchitis	195714005	H06	1
301103013	30000	H0603	H060300	Acute purulent bronchitis	195717003	H06	1
301105018	2000	H0606	H060600	Acute pneumococcal bronchitis	195719000	H06	1
301106017	70	H0607	H060700	Acute streptococcal bronchitis	195720006	H06	1
301108016	600	H0608	H060800	Acute haemophilus influenzae bronchitis	195721005	H06	1
4780421000006115	1	^ESCTAC478042		Acute Moraxella catarrhalis bronchitis	195722003		1
301109012	80	H0609	H060900	Acute Neisseria catarrhalis bronchitis	195722003	H06	1
455991000006112	10	H060B	H060B00	Acute bronchitis due to coxsackievirus	195725001	H06	1
456021000006115	1000	H060C	H060C00	Acute bronchitis due to parainfluenza virus	195726000	H06	1
4780481000006116	20	^ESCTAC478048		Acute parainfluenza virus bronchitis	195726000		1
456031000006117	200	H060D	H060D00	Acute bronchitis due to respiratory syncytial virus	195727009	H06	1
4780491000006118	20	^ESCTAC478049		Acute respiratory syncytial virus bronchitis	195727009		1
301116013	300	H060E	H060E00	Acute bronchitis due to rhinovirus	195728004	H06	1
456001000006113	10	H060F	H060F00	Acute bronchitis due to echovirus	195729007	H06	1
301126018	80	H0613	H061300	Acute exudative bronchiolitis	195737004	H06	1
301128017	7000	H0615	H061500	Acute bronchiolitis due to respiratory syncytial virus	195739001	H06	1
579878017	30000	H06z1-2	H06z112	Acute lower respiratory tract infection	195742007	H06	1
457801000006117	500000	H062	H062.00	Acute lower respiratory tract infection	195742007	H06	1
546411000006111	5000000	H06z0-1	H06z011	Acute lower respiratory tract infection	195742007	H06	1
301819015	600	Hyu1	Hyu1.00	[X]Other acute lower respiratory infections	195742007	Hyu	1
301228013	60	H142	H142.00	Adenoid vegetations	195797002	H14	1
301229017	4000	H143	H143.00	Chronic adenotonsillitis	195798007	H14	1
301234018	300	H14y5	H14y500	Caseous tonsillitis	195803003	H14	1
301235017	800	H14y6	H14y600	Lingular tonsillitis	195804009	H14	1
301280016	2000	H1y14	H1y1400	Nasal sinus mucocele	195825009	H1y	1
301297010	100	H1y24	H1y2400	Pharynx or nasopharynx oedema	195834004	H1y	1
301299013	1000	H1y25	H1y2500	Pharynx or nasopharynx cyst	195835003	H1y	1
301300017	300	H1y26	H1y2600	Pharynx or nasopharynx abscess	195836002	H1y	1
301312018	1000	H1y31	H1y3100	Unilateral partial vocal cord paralysis	195842003	H1y	1
301314017	400	H1y33	H1y3300	Bilateral partial vocal cord paralysis	195844002	H1y	1
301315016	200	H1y34	H1y3400	Bilateral total vocal cord paralysis	195845001	H1y	1
885171000006111	500	H1y4-99	H1y4.99	Polyp of vocal cord/larynx	195847009	H1y	1
301317012	3000	H1y4	H1y4.00	Polyp of vocal cord or larynx	195847009	H1y	1
301324013	5	H1y55	H1y5500	Fibrinous chorditis	195854003	H1y	1
301325014	20	H1y57	H1y5700	Chorditis vocalis inferior	195855002	H1y	1
2619494011	200	H1y78	H1y7800	Laryngeal pachydermia	195866009	H1y	1
301346017	1000	H1y7A	H1y7A00	Cyst of larynx	195867000	H1y	1
301430012	10000	H2y	H2y..00	Other specified pneumonia or influenza	195878008	H2y	1
778871000006116	2000	H270	H270.00	Influenza with pneumonia	195878008	H27	1
301357010	70000	H2	H2...00	Pneumonia and influenza	195878008	H2.	1
301413010	100	H2701	H270100	Influenza with pneumonia, influenza virus identified	195878008	H27	1
301414016	200	H270z	H270z00	Influenza with pneumonia NOS	195878008	H27	1
546421000006115	200	H270-1	H270.11	Chest infection - influenza with pneumonia	195878008	H27	1
301431011	100000	H2z	H2z..00	Pneumonia or influenza NOS	195878008	H2z	1
885251000006114	200	H270-99	H270.99	Influenza + pneumonia	195878008	H27	1
301400016	1000	A521	A521.00	Varicella pneumonitis	195911009	A52	1
4781311000006113	6	^ESCTVA478131		Varicella pneumonia	195911009		1
220251000006118	600	H24y7	H24y700	Chickenpox pneumonia	195911009	H24	1
301416019	1000	H2710	H271000	Influenza with laryngitis	195923003	H27	1
301417011	2000	H2711	H271100	Influenza with pharyngitis	195924009	H27	1
301423018	1000	H27y1	H27y100	Influenza with gastrointestinal tract involvement	195929004	H27	1
301451010	1000	H3120-1	H312011	Chronic wheezy bronchitis	195949008	H31	1
301450011	9000	H3120	H312000	Chronic asthmatic bronchitis	195949008	H31	1
183191000006115	10000	H30-2	H30..12	Recurrent wheezy bronchitis	195949008	H30	1
303321000000115	10000	171J	171J.00	Reflux cough	200151000000106	171	1
308241015	2000	M0104	M010400	Boil of external nose	200606009	M01	1
1001641000006113	2000	H1y1A	H1y1A00	Nasal furuncle	200606009	H1y	1
301353014	10000	H1yz	H1yz.00	Other upper respiratory tract diseases NOS	201060008	H1y	1
301355019	400	H1yzz	H1yzz00	Disease of upper respiratory tract	201060008	H1y	1
301146011	10000	H1	H1...00	Other upper respiratory tract diseases	201060008	H1.	1
301269016	400	H1y	H1y..00	Other specified diseases of upper respiratory tract	201060008	H1y	1
301833015	20	Hyu2A	Hyu2A00	[X]Other specified diseases of upper respiratory tract	201060008	Hyu	1
4806671000006115	2	^ESCTUP480667		Upper respiratory disease	201060008		1
301356018	20000	H1z	H1z..00	Disorder of upper respiratory system	201060008	H1z	1
8065561000006116	20	^ESCTSU806556		Suspected COPD	204991000000107		1
314261000000118	90000	1J71	1J71.00	Suspected chronic obstructive pulmonary disease	204991000000107	1J7	1
2532871000006115	20	^ESCTDI253287		Disorder of adenoid	2128005		1
301240013	100	H14z1	H14z100	Chronic adenoid disease NOS	2128005	H14	1
217001000006117	100000	A531-1	A531.11	Post-herpetic neuralgia	2177002	A53	1
2533651000006115	400	^ESCTPH253365		PHN - Post-herpetic neuralgia	2177002		1
212551000006110	20000	A5315	A531500	Post-zoster neuralgia	2177002	A53	1
4765019	50000	A5315-1	A531511	Postherpetic neuralgia	2177002	A53	1
2849211000006119	20	^ESCTHZ284921		HZO - Herpes zoster oticus	21954000		1
2849191000006115	30	^ESCTHE284919		Herpes zoster oticus	21954000		1
822201000006110	100	F5016-1	F501611	Herpes zoster - otitis externa	21954000	F50	1
778951000006117	200	F5016	F501600	Infective otitis externa due to herpes zoster	21954000	F50	1
481174015	1000	A53x0	A53x000	Herpes zoster otitis externa	21954000	A53	1
2849161000006111	100	^ESCTHE284916		Herpes zoster auricularis	21954000		1
36819018	1000	A5311	A531100	Geniculate herpes zoster	21954000	A53	1
2849241000006115	900	^ESCTRA284924		Ramsay Hunt syndrome - auricular	21954000		1
191651000006117	10000	A5311-1	A531111	Ramsay Hunt syndrome	21954000	A53	1
2849261000006116	3	^ESCTRA284926		Ramsay Hunt syndrome 2	21954000		1
1467013	400	H0431	H043100	Acute epiglottitis with obstruction	222008	H04	1
4874010	300000	1825	1825.00	Pleuritic pain	2237002	182	1
317429015	30000	R0654	R065400	[D]Pleuritic pain	2237002	R06	1
4871019	4000	1827-1	1827.11	Pleurodynia	2237002	182	1
317430013	2000	R0655	R065500	[D]Pleurodynia	2237002	R06	1
481328013	7000	1827	1827.00	Painful breathing -pleurodynia	2237002	182	1
38048019	4000	H1y73-3	H1y7313	Subglottic stenosis	22668006	H1y	1
344957015	300	A5314	A531400	Zoster encephalitis	230176008	A53	1
640911000006110	100	F0309	F030900	Encephalitis due to herpes zoster	230176008	F03	1
344958013	200	F0309-1	F030911	Herpes zoster encephalitis	230176008	F03	1
230901000006114	100	H1y21	H1y2100	Pharynx or nasopharynx cellulitis	23166004	H1y	1
517051000006111	400000	1C86	1C86.00	Nasal obstruction	232209000	1C8	1
5033341000006111	1	^ESCTNO503334		NO - Nasal obstruction	232209000		1
681631000006110	90000	H1y16	H1y1600	Nasal obstruction	232209000	H1y	1
347922010	60000	H1y1z-1	H1y1z11	Nasal obstruction	232209000	H1y	1
317324014	20000	R04z4	R04z400	[D]Nasal obstruction	232209000	R04	1
5033361000006110	40	^ESCTNA503336		Nasal airway obstruction	232209000		1
397997010	20000	1C82	1C82.00	Nasal obstruction present	232209000	1C8	1
396100013	20000	H1y1z	H1y1z00	Nasal cavity and sinus disease NOS	232340005	H1y	1
348120017	600	H1y1-1	H1y1.11	Nasal cavity disease NOS	232340005	H1y	1
396099017	5000	H1y1	H1y1.00	Disorder of nasal cavity	232340005	H1y	1
142891000006110	6000	H1y1-3	H1y1.13	Sinus disease NOS	232340005	H1y	1
348122013	800	H1y18	H1y1800	Adhesions of nasal cavity	232361003	H1y	1
5035251000006118	1	^ESCTIN503525		Intranasal adhesions	232361003		1
348132018	300	H1y1B	H1y1B00	Alar collapse	232366008	H1y	1
348194019	2000	H1y27	H1y2700	Vallecular cyst	232410007	H1y	1
348200010	90	H1y28	H1y2800	Pharyngocutaneous fistula	232413009	H1y	1
5036021000006114	2	^ESCTPH503602		Pharyngeal fistula	232413009		1
348208015	10000	H141-2	H141.12	Enlargement of tonsil or adenoid	232419008	H14	1
348209011	2000	H140-1	H140.11	Chronic adenoiditis	232420002	H14	1
5036371000006113	10	^ESCTRE503637		Reinkes oedema	232436000		1
5036351000006115	2	^ESCTRE503635		Reinke's edema	232436000		1
5036361000006118	1	^ESCTRE503636		Reinke edema	232436000		1
179881000006118	10000	H1y63	H1y6300	Reinke's oedema	232436000	H1y	1
348263014	10	H1y5A-1	H1y5A11	Sulcus vocalis of vocal fold	232450005	H1y	1
348262016	70	H1y5A	H1y5A00	Sulcus vocalis of vocal cord	232450005	H1y	1
301121011	2000	H060x	H060x00	Acute bacterial bronchitis	233598009	H06	1
5053331000006119	10	^ESCTAC505333		Acute mycoplasmal bronchitis	233599001		1
350044014	600	H060A	H060A00	Acute bronchitis due to mycoplasma pneumoniae	233599001	H06	1
301120012	20000	H060w	H060w00	Acute viral bronchitis	233601004	H06	1
5053371000006116	100	^ESCTAC505337		Acute viral bronchiolitis	233602006		1
301129013	600	H0616	H061600	Acute bronchiolitis due to other specified organisms	233602006	H06	1
39820013	80000	H1y1-2	H1y1.12	Nasal vestibulitis	23714000	H1y	1
286694014	400	A52y	A52y.00	Varicella with unspecified complications NOS	23737006	A52	1
286693015	1000	A52x	A52x.00	Varicella with other specified complications	23737006	A52	1
288151014	400	AyuA2	AyuA200	Chickenpox with complication	23737006	Ayu	1
2881671000006118	40000	^ESCTTI288167		Tight chest	23924001		1
317433010	400000	R0658	R065800	Chest tightness	23924001	R06	1
317432017	7000	R0657	R065700	Pressure in chest	23924001	R06	1
40845016	20	H1y51	H1y5100	Cellulitis of vocal cords	24347001	H1y	1
317452016	6000	R06z	R06z.00	Chest symptom	243561000000101	R06	1
317454015	1000	R06zz	R06zz00	[D]Respiratory system and chest symptoms NOS	243561000000101	R06	1
371081018	20000	171-2	171..12	Sputum - symptom	248596009	171	1
317397014	2000	R060C	R060C00	Yawning	248626009	R06	1
372064012	3000	H1y9	H1y9.00	Nasal septal spur	249359009	H1y	1
372065013	600	H1y17	H1y1700	Nasal septal granuloma	249360004	H1y	1
2920991000006119	4	^ESCTNE292099		Necrosis of nasal septum	26299000		1
2921001000006118	20	^ESCTNA292100		Nasal septal necrosis	26299000		1
681751000006113	400	H1y11	H1y1100	Nasal septum necrosis	26299000	H1y	1
456591000006112	2000	H043	H043.00	Acute epiglottitis (non-streptococcal)	266337001	H04	1
396096012	10000	H141	H141.00	Tonsil and/or adenoid hypertrophy	266343004	H14	1
885091000006111	700	H141-99	H141.99	Hypertrophy of tonsils/adenoid	266343004	H14	1
301227015	1000	H141z	H141z00	Hypertrophy of tonsils and adenoids NOS	266343004	H14	1
301068016	10000	H041z	H041z00	Acute tracheitis NOS	26650005	H04	1
44623012	400000	H041	H041.00	Acute tracheitis	26650005	H04	1
5497741000006119	200	^ESCTBR549774		Breathless	267036007		1
317392015	400000	R0608	R060800	[D]Shortness of breath	267036007	R06	1
317395018	200000	R060A	R060A00	[D]Dyspnoea	267036007	R06	1
140461000006116	2000000	173-3	173..13	Dyspnoea	267036007	173	1
451467013	70000	R060D	R060D00	[D]Breathlessness	267036007	R06	1
633381000006111	100000	173-2	173..12	Dyspnoea - symptom	267036007	173	1
252412011	40000	173Z	173Z.00	Breathlessness NOS	267036007	173	1
5497761000006115	300	^ESCTSO549776		SOB - Shortness of breath	267036007		1
397888010	1000000	173	173..00	Breathlessness	267036007	173	1
525741000006111	200000	173-1	173..11	Breathlessness symptom	267036007	173	1
5497731000006112	30	^ESCTDY549773		Dyspnea	267036007		1
397890011	800000	1739	1739.00	Shortness of breath	267036007	173	1
253227017	200000	1C9Z	1C9Z.00	Sore throat symptom NOS	267102003	1C9	1
398001015	6000000	1C9	1C9..00	Sore throat symptom	267102003	1C9	1
885161000006116	200	H1y3-99	H1y3.99	Paralysis - vocal cords/larynx	270493009	H1y	1
230471000006112	100	A75-2	A75..12	Pfeiffer's disease	271558008	A75	1
5525941000006113	4	^ESCTIN552594		Infective mononucleosis	271558008		1
406382010	400000	A75-1	A75..11	Glandular fever	271558008	A75	1
1225197013	100	A752	A752.00	Pfeiffer's disease	271558008	A75	1
5525961000006112	2	^ESCTGF552596		GF - Glandular fever	271558008		1
288197011	50	AyuD4	AyuD400	[X]Other infectious mononucleosis	271558008	Ayu	1
406380019	200000	A75	A75..00	Infectious mononucleosis	271558008	A75	1
288198018	300	AyuD5	AyuD500	[X]Infectious mononucleosis, unspecified	271558008	Ayu	1
5529941000006111	7	^ESCTTA552994		Tachypnoeic	271823003		1
5529931000006118	100	^ESCTRA552993		Rapid breathing	271823003		1
5529951000006113	3	^ESCTTA552995		Tachypneic	271823003		1
11905791000006119	3	^ESCT1190579		Tachypnea	271823003		1
317386014	8000	R0603	R060300	Tachypnoea	271823003	R06	1
317390011	10000	R0606	R060600	Respiratory distress	271825005	R06	1
5530001000006115	20	^ESCTDI553000		Distressed breathing	271825005		1
317415016	2000	R0640	R064000	Sputum abnormal - amount	271826006	R06	1
317417012	2000	R0641	R064100	Sputum abnormal - colour	271827002	R06	1
317418019	30	R0642	R064200	Sputum abnormal - odour	271828007	R06	1
5533011000006112	20000	^ESCTCO553301		Complaining of cough	272039006		1
407081018	4000000	171-1	171..11	C/O - cough	272039006	171	1
