ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues	FINAL_CATEGORY
2871341000033112	4585211000001105	Calprofen 100mg/5ml oral suspension (McNeil Products Ltd)	Calprofen 100mg/5ml oral suspension	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral		3000	i) Basic analgesics
212341000033117	901211000001107	Caprin 300mg gastro-resistant tablets (Pinewood Healthcare)	Caprin 300mg gastro-resistant tablets	Aspirin	300.000mg	Gastro-resistant tablet	Oral		6000	i) Basic analgesics
188341000033116	330262003	Capsaicin 0.025% cream	Capsaicin 0.025% cream	Capsaicin	250.000microgram/1.000gram	Cream	Cutaneous	10030200	800000	i) Basic analgesics
188041000033118	330236007	Capsaicin 0.075% cream	Capsaicin 0.075% cream	Capsaicin	750.000microgram/1.000gram	Cream	Cutaneous	10030200	400000	i) Basic analgesics
5809741000033119	17358611000001103	Capsaicin 179mg cutaneous patches	Capsaicin 179mg cutaneous patches	Capsaicin	179.000mg	Cutaneous patch/	Cutaneous	10030200	80	i) Basic analgesics
2085841000033110	5173011000001105	Capsicum tincture	Capsicum tincture	Capsicum oleoresin	320.000microgram/1.000ml	Not applicable	Route of administration not applicable	19060600	200	i) Basic analgesics
11781641000033113	33563011000001103	Combogesic 500mg/150mg tablets (Thornton & Ross Ltd)	Combogesic 500mg/150mg tablets	Ibuprofen/ Paracetamol	150.000mg + 500.000mg	Tablet	Oral		4	i) Basic analgesics
2871941000033111	4171411000001108	Co-methiamol 100mg/500mg tablets	Co-methiamol 100mg/500mg tablets	Paracetamol	500.000mg	Tablet	Oral	4070100	50	i) Basic analgesics
384741000033116	4926911000001106	Cremalgin Balm ointment (Strides Pharma UK Ltd)	Cremalgin Balm ointment	Capsicum oleoresin/ Hydroxyethyl salicylate/ Methyl nicotinate	1.000mg/1.000gram + 100.000mg/1.000gram + 10.000mg/1.000gram	Ointment	Transdermal		8000	i) Basic analgesics
4432641000033114	640911000001100	Cuprofen 200mg tablets (SSL International Plc)	Cuprofen 200mg tablets	Ibuprofen	200.000mg	Tablet	Oral		100	i) Basic analgesics
2131141000033117	545311000001103	Cuprofen 5% gel (SSL International Plc)	Cuprofen 5% gel	Ibuprofen	50.000mg/1.000gram	Gel	Transdermal		4000	i) Basic analgesics
3335341000033117	4036911000001101	Deep Freeze Cold Gel 2% (The Mentholatum Company Ltd)	Deep Freeze Cold Gel 2%	Menthol	20.000mg/1.000gram	Gel	Transdermal		30000	i) Basic analgesics
9493241000033110	9507511000001102	Deep Heat Maximum Strength cream (The Mentholatum Company Ltd)	Deep Heat Maximum Strength cream	Menthol/ Methyl salicylate	80.000mg/1.000gram + 300.000mg/1.000gram	Cream	Transdermal/ Cutaneous		30000	i) Basic analgesics
419641000033118	3597411000001101	Deep Relief gel (The Mentholatum Company Ltd)	Deep Relief gel	Ibuprofen/ Levomenthol	50.000mg/1.000gram + 30.000mg/1.000gram	Gel	Transdermal/ Cutaneous		90000	i) Basic analgesics
444241000033111	37899511000001101	Diclofenac diethylammonium 1.16% gel	Diclofenac diethylammonium 1.16% gel	Diclofenac diethylammonium	11.600mg/1.000gram	Gel	Transdermal	10030200	6000000	i) Basic analgesics
11023041000033110	30318011000001108	Diclofenac 140mg medicated plasters	Diclofenac 140mg medicated plasters	Diclofenac sodium	140.000mg	Medicated plaster	Cutaneous	10030200	4000	i) Basic analgesics
2980241000033111	3591111000001104	Diclofenac 16mg/ml topical solution	Diclofenac 16mg/ml topical solution	Diclofenac sodium	16.000mg/1.000ml	Liquid	Transdermal	10030200	10000	i) Basic analgesics
9173341000033112	22480211000001104	Diclofenac diethylammonium 2.32% gel	Diclofenac diethylammonium 2.32% gel	Diclofenac diethylammonium	23.200mg/1.000gram	Gel	Transdermal	10030200	300000	i) Basic analgesics
4936341000033115	14986011000001103	Diclofenac 4% cutaneous spray	Diclofenac 4% cutaneous spray	Diclofenac sodium	40.000mg/1.000gram	Cutaneous spray solution	Cutaneous	10030200	5000	i) Basic analgesics
13581741000033114	37899411000001100	Diclofenac sodium 1% gel	Diclofenac sodium 1% gel	Diclofenac sodium	10.000mg/1.000gram	Gel	Cutaneous	10030200	6000	i) Basic analgesics
2583841000033111	134795004	Diclofenac sodium 3% gel	Diclofenac sodium 3% gel	Diclofenac sodium	30.000mg/1.000gram	Gel	Transdermal/ Cutaneous	13080100	400000	i) Basic analgesics
440541000033116	14609011000001109	Diethylamine salicylate 10% cream	Diethylamine salicylate 10% cream	Diethylamine salicylate	100.000mg/1.000gram	Cream	Transdermal	10030200	1000000	i) Basic analgesics
441441000033114	64511000001104	Difflam 3% cream (Viatris UK Healthcare Ltd)	Difflam 3% cream	Benzydamine hydrochloride	30.000mg/1.000gram	Cream	Cutaneous		600000	i) Basic analgesics
452541000033115	4532311000001104	Disprin CV 300mg modified-release tablets (Reckitt Benckiser Healthcare (UK) Ltd)	Disprin CV 300mg modified-release tablets	Aspirin	300.000mg	Modified-release tablet	Oral		2000	i) Basic analgesics
456241000033118	522211000001104	Disprol Paracetamol 120mg soluble tablets (Reckitt Benckiser Healthcare (UK) Ltd)	Disprol Paracetamol 120mg soluble tablets	Paracetamol	120.000mg	Soluble tablet/	Oral		2000	i) Basic analgesics
456541000033116	8149511000001105	Disprol Paracetamol 120mg/5ml oral suspension (Reckitt Benckiser Healthcare (UK) Ltd)	Disprol Paracetamol 120mg/5ml oral suspension	Paracetamol	24.000mg/1.000ml	Oral suspension	Oral		80000	i) Basic analgesics
489141000033114	8107311000001103	Dubam spray (Norma Chemicals Ltd)	Dubam spray	Ethyl salicylate/ Hydroxyethyl salicylate/ Methyl nicotinate/ Methyl salicylate	40.000mg/1.000gram + 50.000mg/1.000gram + 16.000mg/1.000gram + 10.000mg/1.000gram	Spray	Transdermal		200	i) Basic analgesics
566841000033115	330229006	Felbinac 3% gel	Felbinac 3% gel	Felbinac	30.000mg/1.000gram	Gel	Transdermal	10030200	700000	i) Basic analgesics
566641000033116	330201008	Felbinac 3.17% foam	Felbinac 3.17% foam	Felbinac	31.700mg/1.000gram	Foam	Transdermal	10030200	70000	i) Basic analgesics
567041000033112	515611000001100	Feldene 0.5% gel (Pfizer Ltd)	Feldene 0.5% gel	Piroxicam	5.000mg/1.000gram	Gel	Cutaneous		700000	i) Basic analgesics
2617041000033119	444111000001109	Feldene P 0.5% gel (Pfizer Ltd)	Feldene P 0.5% gel	Piroxicam	5.000mg/1.000gram	Gel	Cutaneous		4000	i) Basic analgesics
566941000033111	165711000001104	Fenbid 5% gel (Advanz Pharma)	Fenbid 5% gel	Ibuprofen	50.000mg/1.000gram	Gel	Transdermal		2000000	i) Basic analgesics
1780241000033116	46111000001106	Fenbid Forte 10% gel (Advanz Pharma)	Fenbid Forte 10% gel	Ibuprofen	100.000mg/1.000gram	Gel	Transdermal		1000000	i) Basic analgesics
2765841000033110	4632211000001100	Feverfen 100mg/5ml oral suspension (Wise Pharmaceuticals Ltd)	Feverfen 100mg/5ml oral suspension	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral		100	i) Basic analgesics
13057641000033116	34790511000001100	Flarin 200mg capsules (infirst Ltd)	Flarin 200mg capsules	Ibuprofen	200.000mg	Capsule	Oral		400	i) Basic analgesics
2273241000033112	32811000001101	Galprofen 100mg/5ml oral suspension (Galpharm International Ltd)	Galprofen 100mg/5ml oral suspension	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral		200	i) Basic analgesics
2968541000033113	17042011000001106	Hedex Ibuprofen 200mg tablets (Omega Pharma Ltd)	Hedex Ibuprofen 200mg tablets	Ibuprofen	200.000mg	Tablet	Oral		200	i) Basic analgesics
4456441000033112	13449111000001100	Ibuderm 5% gel (Dermal Laboratories Ltd)	Ibuderm 5% gel	Ibuprofen	50.000mg/1.000gram	Gel	Transdermal		200	i) Basic analgesics
746641000033112	894011000001108	Ibugel 5% gel (Dermal Laboratories Ltd)	Ibugel 5% gel	Ibuprofen	50.000mg/1.000gram	Gel	Transdermal		800000	i) Basic analgesics
2110741000033116	52111000001109	Ibugel Forte 10% gel (Dermal Laboratories Ltd)	Ibugel Forte 10% gel	Ibuprofen	100.000mg/1.000gram	Gel	Transdermal		300000	i) Basic analgesics
2974241000033110	127811000001107	Ibuleve 5% gel (Diomed Developments Ltd)	Ibuleve 5% gel	Ibuprofen	50.000mg/1.000gram	Gel	Transdermal		200000	i) Basic analgesics
3201741000033119	125011000001108	Ibuleve Maximum Strength 10% gel (Diomed Developments Ltd)	Ibuleve Maximum Strength 10% gel	Ibuprofen	100.000mg/1.000gram	Gel	Transdermal		60000	i) Basic analgesics
4456341000033118	13450111000001107	Ibuleve Speed Relief 5% gel (Diomed Developments Ltd)	Ibuleve Speed Relief 5% gel	Ibuprofen	50.000mg/1.000gram	Gel	Transdermal		2000	i) Basic analgesics
1739241000033118	4398411000001103	Ibumousse 5% (Dermal Laboratories Ltd)	Ibumousse 5%	Ibuprofen	50.000mg/1.000gram	Foam	Transdermal		3000	i) Basic analgesics
1780141000033111	330274004	Ibuprofen 10% gel	Ibuprofen 10% gel	Ibuprofen	100.000mg/1.000gram	Gel	Transdermal	10030200	3000000	i) Basic analgesics
2765941000033119	329710002	Ibuprofen 100mg/5ml oral suspension	Ibuprofen 100mg/5ml oral suspension	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral	10010100	1000000	i) Basic analgesics
4088341000033115	4615511000001102	Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free	Ibuprofen 100mg/5ml oral suspension 5ml sachets sugar free	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral	10010100	3000	i) Basic analgesics
1739441000033117	39108111000001104	Ibuprofen 100mg/5ml oral suspension sugar free	Ibuprofen 100mg/5ml oral suspension sugar free	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral	10010100	3000000	i) Basic analgesics
12496141000033117	34878411000001108	Ibuprofen 200mg / Phenylephrine 6.1mg tablets	Ibuprofen 200mg / Phenylephrine 6.1mg tablets	Ibuprofen/ Phenylephrine	200.000mg + 6.100mg	Tablet	Oral	10010100	2	i) Basic analgesics
4123241000033119	39693611000001104	Ibuprofen 200mg / Pseudoephedrine hydrochloride 30mg tablets	Ibuprofen 200mg / Pseudoephedrine hydrochloride 30mg tablets	Ibuprofen/ Pseudoephedrine hydrochloride	200.000mg + 30.000mg	Tablet	Oral	10010100	700	i) Basic analgesics
4451841000033119	370195008	Ibuprofen 200mg capsules	Ibuprofen 200mg capsules	Ibuprofen	200.000mg	Capsule	Oral	10010100	100000	i) Basic analgesics
13059141000033119	35776211000001101	Ibuprofen 200mg medicated plasters	Ibuprofen 200mg medicated plasters	Ibuprofen	200.000mg	Medicated plaster	Cutaneous	10030200	200	i) Basic analgesics
10643541000033117	36045011000001103	Ibuprofen 200mg modified-release capsules	Ibuprofen 200mg modified-release capsules	Ibuprofen	200.000mg	Modified-release capsule	Oral	10010100	9000	i) Basic analgesics
2839441000033116	3875511000001104	Ibuprofen 200mg orodispersible tablets sugar free	Ibuprofen 200mg orodispersible tablets sugar free	Ibuprofen	200.000mg	Orodispersible tablet	Oral	10010100	80000	i) Basic analgesics
747341000033119	329652003	Ibuprofen 200mg tablets	Ibuprofen 200mg tablets	Ibuprofen	200.000mg	Tablet	Oral	10010100	3000000	i) Basic analgesics
13177941000033116	36608611000001101	Ibuprofen 200mg/5ml oral suspension sugar free	Ibuprofen 200mg/5ml oral suspension sugar free	Ibuprofen	40.000mg/1.000ml	Oral suspension	Oral	10010100	2000	i) Basic analgesics
4158541000033113	36045311000001100	Ibuprofen 300mg modified-release capsules	Ibuprofen 300mg modified-release capsules	Ibuprofen	300.000mg	Modified-release capsule	Oral	10010100	20000	i) Basic analgesics
11790641000033116	10774611000001104	Ibuprofen 400mg capsules	Ibuprofen 400mg capsules	Ibuprofen	400.000mg	Capsule	Oral	10010100	20000	i) Basic analgesics
747441000033113	329653008	Ibuprofen 400mg tablets	Ibuprofen 400mg tablets	Ibuprofen	400.000mg	Tablet	Oral	10010100	20000000	i) Basic analgesics
6168541000033111	400729005	Ibuprofen 5% / Levomenthol 3% gel	Ibuprofen 5% / Levomenthol 3% gel	Ibuprofen/ Levomenthol	50.000mg/1.000gram + 30.000mg/1.000gram	Gel	Transdermal/ Cutaneous	10030200	30000	i) Basic analgesics
746441000033110	330232009	Ibuprofen 5% cream	Ibuprofen 5% cream	Ibuprofen	50.000mg/1.000gram	Cream	Transdermal	10030200	300000	i) Basic analgesics
1739341000033111	330264002	Ibuprofen 5% foam	Ibuprofen 5% foam	Ibuprofen	50.000mg/1.000gram	Foam	Transdermal	10030200	10000	i) Basic analgesics
746741000033115	330202001	Ibuprofen 5% gel	Ibuprofen 5% gel	Ibuprofen	50.000mg/1.000gram	Gel	Transdermal	10030200	6000000	i) Basic analgesics
747141000033117	330239000	Ibuprofen 5% spray	Ibuprofen 5% spray	Ibuprofen	50.000mg/1.000ml	Spray	Transdermal	10030200	200000	i) Basic analgesics
4661241000033110	4557011000001104	Ibuprofen lysine 200mg tablets	Ibuprofen lysine 200mg tablets	Ibuprofen lysine	200.000mg	Tablet	Oral	10010100	2000	i) Basic analgesics
5376641000033111	10245111000001102	Ibuprofen lysine 400mg tablets	Ibuprofen lysine 400mg tablets	Ibuprofen lysine	400.000mg	Tablet	Oral	10010100	7000	i) Basic analgesics
747041000033116	369111000001106	Ibuspray 5% spray (Dermal Laboratories Ltd)	Ibuspray 5% spray	Ibuprofen	50.000mg/1.000ml	Spray	Transdermal		40000	i) Basic analgesics
758841000033114	2844111000001104	Infadrops 100mg/ml liquid (Mercury Pharma Group Ltd)	Infadrops 100mg/ml liquid	Paracetamol	100.000mg/1.000ml	Oral solution	Oral		20000	i) Basic analgesics
759341000033112	324211000001105	Intralgin gel (3M Health Care Ltd)	Intralgin gel	Benzocaine/ Salicylamide	20.000mg/1.000gram + 50.000mg/1.000gram	Gel	Cutaneous		400000	i) Basic analgesics
798841000033119	330203006	Ketoprofen 2.5% gel	Ketoprofen 2.5% gel	Ketoprofen	25.000mg/1.000gram	Gel	Transdermal	10030200	1000000	i) Basic analgesics
1627241000033117	901911000001103	Librofem 200mg tablets (LPC Medical (UK) Ltd)	Librofem 200mg tablets	Ibuprofen	200.000mg	Tablet	Oral		1	i) Basic analgesics
9808341000033117	67111000001103	Mandanol 500mg caplets (M & A Pharmachem Ltd)	Mandanol 500mg caplets	Paracetamol	500.000mg	Tablet	Oral		1000	i) Basic analgesics
4417841000033119	317611000001109	Mandanol 500mg tablets (M & A Pharmachem Ltd)	Mandanol 500mg tablets	Paracetamol	500.000mg	Tablet	Oral		3000	i) Basic analgesics
8116141000033113	8982411000001108	Mandanol 6+ paracetamol 250mg/5ml oral suspension (M & A Pharmachem Ltd)	Mandanol 6+ paracetamol 250mg/5ml oral suspension	Paracetamol	50.000mg/1.000ml	Oral suspension	Oral		10	i) Basic analgesics
8534841000033111	8982611000001106	Mandanol Infant paracetamol 120mg/5ml oral suspension (M & A Pharmachem Ltd)	Mandanol Infant paracetamol 120mg/5ml oral suspension	Paracetamol	24.000mg/1.000ml	Oral suspension	Oral		8	i) Basic analgesics
4431941000033114	4648711000001109	Maximum Strength Aspro Clear 500mg effervescent tablets (Bayer Plc)	Maximum Strength Aspro Clear 500mg effervescent tablets	Aspirin	500.000mg	 Effervescent tablet	Oral		10	i) Basic analgesics
388641000033117	102811000001101	Medinol Over 6 paracetamol 250mg/5ml oral suspension (SSL International Plc)	Medinol Over 6 paracetamol 250mg/5ml oral suspension	Paracetamol	50.000mg/1.000ml	Oral suspension	Oral		600	i) Basic analgesics
388541000033118	107711000001106	Medinol Paediatric paracetamol 120mg/5ml oral suspension (SSL International Plc)	Medinol Paediatric paracetamol 120mg/5ml oral suspension	Paracetamol	24.000mg/1.000ml	Oral suspension	Oral		9000	i) Basic analgesics
3335241000033110	4052911000001104	Menthol 2% gel	Menthol 2% gel	Menthol	20.000mg/1.000gram	Gel	Transdermal	10030200	20000	i) Basic analgesics
9493041000033119	9519811000001105	Methyl salicylate 30% / Menthol 8% cream	Methyl salicylate 30% / Menthol 8% cream	Menthol/ Methyl salicylate	80.000mg/1.000gram + 300.000mg/1.000gram	Cream	Transdermal/ Cutaneous	10030200	10000	i) Basic analgesics
906441000033113	2844511000001108	Midrid 325mg/65mg capsules (DHP Healthcare Ltd)	Midrid 325mg/65mg capsules	Isometheptene mucate/ Paracetamol	65.000mg + 325.000mg	Capsule	Oral		50000	i) Basic analgesics
2086841000033117	3637911000001108	MigraMax oral powder sachets (Zentiva Pharma UK Ltd)	MigraMax oral powder sachets	Aspirin DL-Lysine/ Metoclopramide hydrochloride	900.000mg + 10.000mg	 Powder	Oral		40000	i) Basic analgesics
4936441000033114	14985611000001100	Mobigel 4% spray (Mercury Pharma Group Ltd)	Mobigel 4% spray	Diclofenac sodium	40.000mg/1.000gram	Cutaneous spray solution	Cutaneous		2000	i) Basic analgesics
939741000033119	868911000001103	Motrin 400mg tablets (Pfizer Ltd)	Motrin 400mg tablets	Ibuprofen	400.000mg	Tablet	Oral		5000	i) Basic analgesics
923741000033119	537911000001108	Movelat cream (Genus Pharmaceuticals Ltd)	Movelat cream	Mucopolysaccharide polysulfate/ Salicylic acid	2.000mg/1.000gram + 20.000mg/1.000gram	Cream	Transdermal		2000000	i) Basic analgesics
925041000033118	346011000001107	Movelat gel (Genus Pharmaceuticals Ltd)	Movelat gel	Mucopolysaccharide polysulfate/ Salicylic acid	2.000mg/1.000gram + 20.000mg/1.000gram	Gel	Cutaneous		3000000	i) Basic analgesics
2970041000033113	284211000001109	Movelat Relief cream (Genus Pharmaceuticals Ltd)	Movelat Relief cream	Mucopolysaccharide polysulfate/ Salicylic acid	2.000mg/1.000gram + 20.000mg/1.000gram	Cream	Transdermal		20000	i) Basic analgesics
2970141000033112	640111000001103	Movelat Relief gel (Genus Pharmaceuticals Ltd)	Movelat Relief gel	Mucopolysaccharide polysulfate/ Salicylic acid	2.000mg/1.000gram + 20.000mg/1.000gram	Gel	Cutaneous		40000	i) Basic analgesics
2970741000033111	621911000001109	Nurofen 200mg caplets (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen 200mg caplets	Ibuprofen	200.000mg	Tablet	Oral		1000	i) Basic analgesics
2971241000033112	3917611000001108	Nurofen 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen 200mg liquid capsules	Ibuprofen	200.000mg	Capsule	Oral		3000	i) Basic analgesics
2970541000033115	354711000001102	Nurofen 5% gel (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen 5% gel	Ibuprofen	50.000mg/1.000gram	Gel	Transdermal		400	i) Basic analgesics
3248541000033111	8061211000001108	Nurofen Back Pain SR 300mg capsules (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen Back Pain SR 300mg capsules	Ibuprofen	300.000mg	Modified-release capsule	Oral		700	i) Basic analgesics
4123741000033113	4606211000001109	Nurofen Cold and Flu tablets (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen Cold and Flu tablets	Ibuprofen/ Pseudoephedrine hydrochloride	200.000mg + 30.000mg	Tablet	Oral		80	i) Basic analgesics
11790741000033113	11934911000001107	Nurofen Express 400mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen Express 400mg liquid capsules	Ibuprofen	400.000mg	Capsule	Oral		500	i) Basic analgesics
4803341000033111	664811000001105	Nurofen for Children 100mg/5ml oral suspension orange (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen for Children 100mg/5ml oral suspension orange	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral		5000	i) Basic analgesics
4803141000033113	9164611000001101	Nurofen for Children 100mg/5ml oral suspension strawberry (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen for Children 100mg/5ml oral suspension strawberry	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral		5000	i) Basic analgesics
13579141000033115	38692711000001102	Nurofen for Children 200mg/5ml oral suspension orange (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen for Children 200mg/5ml oral suspension orange	Ibuprofen	40.000mg/1.000ml	Oral suspension	Oral		9	i) Basic analgesics
13579241000033110	38692911000001100	Nurofen for Children 200mg/5ml oral suspension strawberry (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen for Children 200mg/5ml oral suspension strawberry	Ibuprofen	40.000mg/1.000ml	Oral suspension	Oral		9	i) Basic analgesics
4088541000033110	4605611000001101	Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets orange (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets orange	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral		90	i) Basic analgesics
4088441000033114	9164311000001106	Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets strawberry (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets strawberry	Ibuprofen	20.000mg/1.000ml	Oral suspension	Oral		200	i) Basic analgesics
2616341000033119	3158711000001107	Nurofen Long Lasting 300mg capsules (Crookes Healthcare Ltd)	Nurofen Long Lasting 300mg capsules	Ibuprofen	300.000mg	Modified-release capsule	Oral		200	i) Basic analgesics
2970641000033119	71511000001105	Nurofen Maximum Strength 10% gel (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen Maximum Strength 10% gel	Ibuprofen	100.000mg/1.000gram	Gel	Transdermal		100	i) Basic analgesics
5376741000033119	10239611000001109	Nurofen Maximum Strength Migraine Pain 684mg caplets (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen Maximum Strength Migraine Pain 684mg caplets	Ibuprofen lysine	400.000mg	Tablet	Oral		400	i) Basic analgesics
2839541000033115	3869111000001103	Nurofen Meltlets 200mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)	Nurofen Meltlets 200mg tablets	Ibuprofen	200.000mg	Orodispersible tablet	Oral		5000	i) Basic analgesics
