medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Constipation
303163019	20000	J5202	J520200	Chronic constipation without overflow	197120000	J52	1
303172010	60000	J5210	J521000	Irritable bowel syndrome with diarrhoea	197125005	J52	1
4786241000006112	2	^ESCTIR478624		Irritable bowel syndrome with diarrhea	197125005		1
4786251000006114	4	^ESCTPO478625		Post-vagotomy syndrome	197127002		1
224041000000112	60	J5222-2	J522212	Postvagotomy syndrome	197127002	J52	1
212501000006111	300	J5221	J522100	Postvagotomy syndrome	197127002	J52	1
303181016	60	J523	J523.00	Vomiting after gastrointestinal tract surgery	197130009	J52	1
886371000006119	2	J5240-99	J524099	D/V after GIT surgery	197132001	J52	1
303183018	700	J5240	J524000	Diarrhoea after gastrointestinal tract surgery	197132001	J52	1
303194019	300	J5270	J527000	Idiopathic megacolon	197139005	J52	1
303195018	30	J5271	J527100	Secondary megacolon - congenital	197140007	J52	1
4786331000006110	1	^ESCTAC478633		Acquired megacolon	197141006		1
303196017	500	J5272	J527200	Secondary megacolon - acquired	197141006	J52	1
303198016	10	J5274	J527400	Megacolon in Chagas' disease	197143009	J52	1
303200010	4000	J528	J528.00	Intestinal hurry	197145002	J52	1
630451000006116	10000	J5203	J520300	Drug-induced constipation	21782001	J52	1
353134013	50000	J52z-1	J52z.11	Bowel dysfunction	235594008	J52	1
886391000006118	100	J52z-99	J52z.99	Functional GIT disorder NOS	235594008	J52	1
353853017	50000	J5204	J520400	Chronic constipation	236069009	J52	1
377869010	2000	J529	J529.00	Generalised intestinal dysmotility	253785008	J52	1
5334471000006113	200	^ESCTGE533447		Generalised congenital intestinal dysmotility	253785008		1
49337013	100	J52y0	J52y000	Atony of colon	29479008	J52	1
5878941000006116	1	^ESCTDI587894		Difficult defecation	300378004		1
441433010	2000	J52y1	J52y100	Difficulty in ability to defaecate	300378004	J52	1
5878931000006114	1	^ESCTDI587893		Difficult defaecation	300378004		1
453255016	2000	J5241	J524100	Complication of gastrostomy	309773000	J52	1
3007471000006119	2	^ESCTOV300747		Overflow diarrhea	31499008		1
3007481000006116	6	^ESCTOV300748		Overflow incontinence due to constipation	31499008		1
484894013	50000	J5201	J520100	Chronic constipation with overflow	31499008	J52	1
3007451000006112	5	^ESCTSP300745		Spurious diarrhoea	31499008		1
3007461000006114	100	^ESCTOV300746		Overflow diarrhoea	31499008		1
3047231000006114	30	^ESCTME304723		Megacolon, not Hirschsprung's	33995003		1
303197014	100	J5273	J527300	Secondary megacolon unspecified	33995003	J52	1
303199012	1000	J527z	J527z00	Megacolon NOS	33995003	J52	1
3047241000006116	2	^ESCTDI304724		Dilatation of colon	33995003		1
56756011	300	J527-1	J527.11	Dilatation of colon	33995003	J52	1
3047261000006117	1	^ESCTME304726		Megarectum	33995003		1
1490710014	400	J527	J527.00	Megacolon excluding Hirschsprung's disease	33995003	J52	1
3047271000006112	40	^ESCTME304727		Megacolon	33995003		1
198411000006113	1000	J4313-1	J431311	Pseudomembranous colitis	423590009	J43	1
1785915017	700	J521-2	J521.12	Pseudomembranous colitis	423590009	J52	1
198421000006117	2000	J434	J434.00	Pseudomembranous colitis	423590009	J43	1
7010301000006111	40	^ESCTCL701030		Clostridium difficile colitis	423590009		1
1927491000006111	2000	J5212	J521200	Irritable bowel syndrome characterised by alternating bowel habit	440544005	J52	1
7240101000006111	7	^ESCTCO724010		Constipation predominant irritable bowel syndrome	440630006		1
2791650019	2000	J5211	J521100	Irritable bowel syndrome characterised by constipation	440630006	J52	1
796791000006115	30000	J525	J525.00	Functional diarrhoea	47812002	J52	1
303725017	6	Jyu	Jyu..00	[X]Additional digestive system disease classification terms	53619000	Jyu	1
303797018	60	Jyu9	Jyu9.00	[X]Other diseases of the digestive system	53619000	Jyu	1
3369501000006117	5	^ESCTGI336950		GIT diseases	53619000		1
378041000006116	9	Jyu94	Jyu9400	[X]Disorders/other specified digestive organs in diseases CE	53619000	Jyu	1
738681000006119	60	J6y	J6y..00	Liver, biliary, pancreas + gastrointestinal diseases OS	53619000	J6y	1
303186014	20	J524z	J524z00	Other post gastrointestinal tract surgery disorder NOS	53619000	J52	1
303800016	30	Jyu92	Jyu9200	[X]Other specified diseases of the digestive system	53619000	Jyu	1
621211000006110	1000000	J	J....00	Digestive system disease	53619000	J..	1
303061019	600	J5	J5...00	Other diseases of the intestines and peritoneum	53619000	J5.	1
303788017	400	Jyu8	Jyu8.00	[X]Disorders of the gallbladder, biliary tract and pancreas	53619000	Jyu	1
303724018	200	Jy	Jy...00	Other specified diseases of digestive system	53619000	Jy.	1
303803019	200000	Jz	Jz...00	Digestive system diseases NOS	53619000	Jz.	1
303182011	70	J524	J524.00	Other post gastrointestinal tract surgery disorder	53619000	J52	1
412811000006110	10	Jyu91	Jyu9100	[X]Other postprocedural disorders/digestive system,NEC	53619000	Jyu	1
3369511000006119	200	^ESCTGA336951		Gastrointestinal and digestive disorder	53619000		1
738671000006117	10000	J6z	J6z..00	Disorder of digestive system	53619000	J6z	1
303201014	300	J52y	J52y.00	Other functional disorders of the intestine	53619000	J52	1
740411000006114	9000	J6	J6...00	Liver, biliary, pancreas + gastrointestinal diseases NEC	53619000	J6.	1
886351000006112	70	J52-99	J52..99	Functional GIT disorder NOS	610051000000105	J52	1
3518531000006115	300	^ESCTPA351853		Painful spasm of anus	62647006		1
104115013	30000	J5260	J526000	Proctalgia fugax	62647006	J52	1
3518581000006119	1	^ESCTPS351858		Psychogenic anal spasm	62647006		1
211141000006112	800	J5220	J522000	Postgastrectomy syndrome	80193009	J52	1
211171000006116	1000	J522	J522.00	Postgastric surgery syndrome	80193009	J52	1
631941000006117	6000	J5222	J522200	Dumping syndrome	80193009	J52	1
133056017	100	J5222-1	J522211	Postgastrectomy syndrome	80193009	J52	1
303180015	20	J522z	J522z00	Postgastric surgery syndrome NOS	80193009	J52	1
303203012	4000	J52yz	J52yz00	Functional disorder of intestine	81120009	J52	1
303160016	10000	J52	J52..00	Functional gastrointestinal tract disorder	849531000000104	J52	1
396376014	7000	J52z	J52z.00	Functional gastrointestinal tract disorders NEC NOS	849531000000104	J52	1
