medcodeid	freq	final_term	site	Type_provisional	Diagnosis group
288979019	 24 	Malignant neoplasm of connective and soft tissue of foot	Foot/Ankle	diagnosis	Cancer
380093012	 24 	Sarcoma of bone and connective tissue	Other	diagnosis	Cancer
729431000006111	 21 	Malig neop of connective and soft tissue of pelvis NOS	Hip/Pelvis	diagnosis	Cancer
60196010	 11,481 	Chondromalacia patellae	Knee	diagnosis	Chondromalacia
312243018	 133 	Chondromalacia	Other	diagnosis	Chondromalacia
206425010	 1,196 	Complex regional pain syndrome	Multiple	diagnosis	Complex regional pain
2214301000000116	 503 	Chronic regional pain syndrome	Other	diagnosis	Complex regional pain
495737017	 393 	Complex regional pain syndrome type I	Multiple	diagnosis	Complex regional pain
14091391000006118	 262 	Reflex sympathetic dystrophy	Other	diagnosis	Complex regional pain
2477180015	 104 	Complex regional pain syndrome type II	Multiple	diagnosis	Complex regional pain
186201000006114	 99 	Reflex sympathetic dystrophy	Other	diagnosis	Complex regional pain
6766451000006118	 33 	CRPS - Complex regional pain syndrome type II	Multiple	diagnosis	Complex regional pain
95473010	 1,020 	Carpal tunnel syndrome	Wrist	diagnosis	CTS
497880019	 118 	CTS - Carpal tunnel syndrome	Wrist	diagnosis	CTS
36573015	 504 	de Quervain's disease	Hand	diagnosis	de Quervain's disease
1777678019	 1,708 	Ehlers-Danlos syndrome	Other	diagnosis	Ehlers-Danos syndrome
709441000006113	 919 	Fibromyalgia	Multiple	diagnosis	Fibromyalgia
41386013	 309 	Fibromyalgia	Multiple	diagnosis	Fibromyalgia
794581000006117	 685 	Freiberg's disease	Foot/Ankle	diagnosis	Freiberg's disease
2551985013	 621 	Developmental dysplasia of the hip	Hip/Pelvis	diagnosis	Hip dysplasia
633361000006118	 379 	Congenital dysplasia of the hip	Hip/Pelvis	diagnosis	Hip dysplasia
87820017	 291 	Congenital hip dysplasia	Hip/Pelvis	diagnosis	Hip dysplasia
314445010	 198 	Bilateral dysplastic hip	Hip/Pelvis	diagnosis	Hip dysplasia
2694858012	 129 	Congenital acetabular dysplasia	Hip/Pelvis	diagnosis	Hip dysplasia
314444014	 80 	Unilateral dysplastic hip	Hip/Pelvis	diagnosis	Hip dysplasia
192631000006118	 219 	Reactive arthritis	Other	diagnosis	Infective arthritis
179891000006115	 62 	Reiter's disease	Other	diagnosis	Infective arthritis
312510018	 47 	Streptococcal arthritis	Other	diagnosis	Infective arthritis
309572012	 40 	Reactive arthropathy of knee	Knee	diagnosis	Infective arthritis
495040011	 27 	Pyogenic arthritis	Other	diagnosis	Infective arthritis
111690011	 26 	Reiter's syndrome	Other	diagnosis	Infective arthritis
309570016	 25 	Reactive arthropathy of hip	Hip/Pelvis	diagnosis	Infective arthritis
312513016	 16 	[X]Other reactive arthropathies	Other	diagnosis	Infective arthritis
309574013	 14 	Reactive arthropathy of ankle	Foot/Ankle	diagnosis	Infective arthritis
56659013	 13 	Lyme arthritis	Other	diagnosis	Infective arthritis
400159012	 11 	Pyogenic arthritis of the pelvic region and thigh	Hip/Pelvis	diagnosis	Infective arthritis
309829012	 6,702 	Juvenile arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
755441000006119	 1,879 	Juvenile rheumatoid arthritis - Still's disease	Other	diagnosis	Juvenile/Inflamm arthritis
5139361000006116	 1,442 	Juvenile chronic arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
116082011	 911 	Rheumatoid arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
125937016	 853 	Acute polyarticular juvenile rheumatoid arthritis	Multiple	diagnosis	Juvenile/Inflamm arthritis
2472447010	 848 	Juvenile rheumatoid arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
309828016	 764 	Juvenile rheumatoid arthritis NOS	Other	diagnosis	Juvenile/Inflamm arthritis
123542016	 683 	Pauciarticular juvenile rheumatoid arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
312523013	 579 	[X]Other juvenile arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
2196791000000119	 520 	Rheumatoid arthritis annual review	Other	diagnosis	Juvenile/Inflamm arthritis
221661000006114	 435 	Inflammatory polyarthritis	Multiple	diagnosis	Juvenile/Inflamm arthritis
359310019	 293 	Juvenile arthritis in psoriasis	Other	diagnosis	Juvenile/Inflamm arthritis
219011000000115	 237 	Rheumatology disorder monitoring	Other	diagnosis	Juvenile/Inflamm arthritis
502690012	 230 	Pauciarticular onset juvenile chronic arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
359292012	 205 	Seronegative rheumatoid arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
559621000000119	 189 	Suspected inflammatory arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
394571000006116	 178 	Chronic arthritis of juvenile onset	Other	diagnosis	Juvenile/Inflamm arthritis
2159844013	 150 	Rheumatoid arthritis particle agglutination test	Other	diagnosis	Juvenile/Inflamm arthritis
2558271000006115	 127 	Inflammatory arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
2548331017	 99 	Inflammatory polyarthropathy	Multiple	diagnosis	Juvenile/Inflamm arthritis
311040011	 99 	Inflammatory spondylopathies	Back	diagnosis	Juvenile/Inflamm arthritis
219271000000117	 99 	Seronegative arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
84036012	 93 	Palindromic rheumatism	Multiple	diagnosis	Juvenile/Inflamm arthritis
168751000006115	 86 	Rheumatoid arthritis and other inflammatory polyarthropathy	Other	diagnosis	Juvenile/Inflamm arthritis
2275671000000111	 63 	Rheumatoid arthritis monitoring invitation first letter	Other	diagnosis	Juvenile/Inflamm arthritis
889841000006113	 63 	Still's disease - juvenile R.A	Other	diagnosis	Juvenile/Inflamm arthritis
309850015	 59 	Inflammatory polyarthropathy NOS	Multiple	diagnosis	Juvenile/Inflamm arthritis
309827014	 46 	Monarticular juvenile rheumatoid arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
311690014	 45 	Muscular rheumatism	Other	diagnosis	Juvenile/Inflamm arthritis
149911000006117	 39 	Seropositive rheumatoid arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
219021000000114	 34 	Rheumatoid arthritis monitoring	Other	diagnosis	Juvenile/Inflamm arthritis
309824019	 33 	Juvenile rheumatoid arthropathy unspecified	Other	diagnosis	Juvenile/Inflamm arthritis
401537011	 33 	Rheumatism monitoring	Other	diagnosis	Juvenile/Inflamm arthritis
1142861000000114	 30 	Rheumatology disorder annual review	Other	diagnosis	Juvenile/Inflamm arthritis
2275711000000112	 26 	Rheumatoid arthritis monitoring invitation second letter	Other	diagnosis	Juvenile/Inflamm arthritis
311044019	 24 	Other inflammatory spondylopathies NOS	Back	diagnosis	Juvenile/Inflamm arthritis
309816012	 23 	Flare of rheumatoid arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
4809281000006113	 20 	Systemic onset juvenile chronic arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
463301000006112	 20 	Adult-onset Still's disease	Other	diagnosis	Juvenile/Inflamm arthritis
2549731014	 20 	Undifferentiated inflammatory arthritis	Other	diagnosis	Juvenile/Inflamm arthritis
1785082014	 15 	Rheumatic pain	Other	diagnosis	Juvenile/Inflamm arthritis
311688013	 15 	Rheumatism	Other	diagnosis	Juvenile/Inflamm arthritis
162381000006114	 15 	Rheumatol.dis. monitoring NOS	Other	diagnosis	Juvenile/Inflamm arthritis
215551000000114	 14 	Sero negative polyarthritis	Multiple	diagnosis	Juvenile/Inflamm arthritis
2275751000000111	 13 	Rheumatoid arthritis monitoring invitation third letter	Other	diagnosis	Juvenile/Inflamm arthritis
1777368010	 346 	Avascular necrosis of bone	Other	diagnosis	Necrosis
312195017	 187 	Avascular necrosis of the head of femur	Hip/Pelvis	diagnosis	Necrosis
312701012	 55 	Osteonecrosis	Other	diagnosis	Necrosis
312202018	 43 	Avascular necrosis of other bone	Other	diagnosis	Necrosis
312209010	 28 	Avascular bone necrosis NOS	Other	diagnosis	Necrosis
7298861000006114	 22 	Avascular necrosis of bone of hip	Hip/Pelvis	diagnosis	Necrosis
312193012	 15 	Avascular necrosis of bone, site unspecified	Other	diagnosis	Necrosis
312199011	 11 	Avascular necrosis of the talus	Foot/Ankle	diagnosis	Necrosis
3672071000006112	 2,491 	Osgood Schlatter disease	Knee	diagnosis	Osgood Schlatter
309972017	 604 	Osteoarthritis of multiple joints	Multiple	diagnosis	Osteoarthritis
1776248011	 88 	Osteoarthritis	Other	diagnosis	Osteoarthritis
221521000000114	 85 	Osteoarthritis of knee	Knee	diagnosis	Osteoarthritis
265841000006115	 44 	Oligoarticular osteoarthritis, unspec, of unspecified sites	Other	diagnosis	Osteoarthritis
221511000000115	 32 	Osteoarthritis of hip	Hip/Pelvis	diagnosis	Osteoarthritis
310020013	 30 	Osteoarthritis NOS, of hip	Hip/Pelvis	diagnosis	Osteoarthritis
41281000006113	 29 	Osteoarthritis NOS	Other	diagnosis	Osteoarthritis
310024016	 28 	Osteoarthritis NOS, of knee	Knee	diagnosis	Osteoarthritis
240071000006115	 21 	Patellofemoral osteoarthritis	Knee	diagnosis	Osteoarthritis
265861000006116	 20 	Oligoarticular osteoarthritis, unspecified, multiple sites	Multiple	diagnosis	Osteoarthritis
823951000006111	 18 	Hip osteoarthitis NOS	Hip/Pelvis	diagnosis	Osteoarthritis
309979014	 18 	Oligoarticular osteoarthritis, unspecified, of lower leg	Leg	diagnosis	Osteoarthritis
264501000006118	 18 	Oligoarticular osteoarthritis, unspecified, other spec sites	Other	diagnosis	Osteoarthritis
41261000006115	 11 	Osteoarthritis and allied disorders	Other	diagnosis	Osteoarthritis
40971000006113	 49,658 	Juvenile osteochondrosis of tibial tubercle	Knee	diagnosis	Osteochondropathy
145941000006116	 8,093 	Osteochondritis of the calcaneum	Foot/Ankle	diagnosis	Osteochondropathy
136950019	 983 	Osteochondritis dissecans	Other	diagnosis	Osteochondropathy
400335012	 963 	Osteochondritis	Other	diagnosis	Osteochondropathy
142291000006114	 702 	Sinding - Larsen's disease - osteochondrosis of the secondary patella centre	Knee	diagnosis	Osteochondropathy
461541016	 351 	[Q] Osteochondral	Other	diagnosis	Osteochondropathy
289841000006115	 273 	Juvenile osteochondrosis of lower extremity	Leg	diagnosis	Osteochondropathy
400326017	 267 	Juvenile osteochondritis of the hip and pelvis	Hip/Pelvis	diagnosis	Osteochondropathy
312091011	 238 	Juvenile osteochondritis	Other	diagnosis	Osteochondropathy
31121000006117	 198 	Osteochondritis of knee	Knee	diagnosis	Osteochondropathy
485824011	 152 	Kohler's disease - osteochondrosis of tarsal navicular	Foot/Ankle	diagnosis	Osteochondropathy
312096018	 144 	Other osteochondritis dissecans of knee	Knee	diagnosis	Osteochondropathy
312076014	 127 	Juvenile osteochondrosis of the secondary patellar centre	Knee	diagnosis	Osteochondropathy
504088011	 121 	Tibial tubercle juvenile osteochondritis	Leg	diagnosis	Osteochondropathy
18211000006119	 106 	Osteochondritis dissecans of the lateral femoral condyle	Leg	diagnosis	Osteochondropathy
40491000006115	 105 	Osteochondrosis NOS	Other	diagnosis	Osteochondropathy
312085014	 72 	Iselin's disease - osteochondrosis of fifth metatarsal	Foot/Ankle	diagnosis	Osteochondropathy
221761000000112	 69 	Osteochondropathies	Other	diagnosis	Osteochondropathy
312098017	 52 	Osteochondritis dissecans of the capitellum	Elbow	diagnosis	Osteochondropathy
18231000006113	 48 	Osteochondritis dissecans of the patella	Knee	diagnosis	Osteochondropathy
312103015	 44 	Osteochondritis dissecans of the talus	Foot/Ankle	diagnosis	Osteochondropathy
400330019	 42 	Panner's disease - osteochondritis of capitulum of humerus	Arm	diagnosis	Osteochondropathy
496648012	 35 	Juvenile osteochondritis of the spine	Back	diagnosis	Osteochondropathy
312092016	 35 	Juvenile osteochondrosis NOS	Other	diagnosis	Osteochondropathy
88796014	 32 	Juvenile osteochondrosis of spine	Back	diagnosis	Osteochondropathy
312100017	 30 	Other osteochondritis dissecans of the elbow	Elbow	diagnosis	Osteochondropathy
505902017	 28 	Osteochondritis of the carpal lunate	Wrist	diagnosis	Osteochondropathy
40471000006116	 26 	Osteochondropathy	Other	diagnosis	Osteochondropathy
892351000006110	 23 	Juvenile osteochond-hip/pelvis	Hip/Pelvis	diagnosis	Osteochondropathy
312079019	 21 	Juvenile osteochondrosis of the foot	Foot/Ankle	diagnosis	Osteochondropathy
312104014	 21 	Osteochondritis dissecans of other site	Other	diagnosis	Osteochondropathy
310971013	 19 	Synovial osteochondromatosis of knee	Knee	diagnosis	Osteochondropathy
310963014	 17 	Synovial osteochondromatosis of elbow	Elbow	diagnosis	Osteochondropathy
4820611000006117	 16 	Iselin's disease	Foot/Ankle	diagnosis	Osteochondropathy
359825012	 16 	Osteochondrodysplasia	Other	diagnosis	Osteochondropathy
312087018	 13 	Juvenile osteochondrosis of the foot NOS	Foot/Ankle	diagnosis	Osteochondropathy
892391000006116	 13 	Osteochond dissecans	Other	diagnosis	Osteochondropathy
312112018	 13 	Osteochondropathy NOS	Other	diagnosis	Osteochondropathy
404201000006115	 562 	Osteopenia	Other	diagnosis	Osteopenia
360303015	 2,926 	Perthes' disease - osteochondritis of the femoral head	Hip/Pelvis	diagnosis	Perthes Disease
221771000000117	 184 	Calve - Perthes' disease	Hip/Pelvis	diagnosis	Perthes Disease
4193131000006114	 113 	Legg-Calve-Perthes disease	Leg	diagnosis	Perthes Disease
311132015	 284 	Prolapsed lumbar intervertebral disc	Back	diagnosis	Prolapsed disc
359855017	 231 	Intervertebral disc prolapse	Back	diagnosis	Prolapsed disc
311168013	 133 	Lumbar disc prolapse with radiculopathy	Back	diagnosis	Prolapsed disc
733681000006111	 72 	Lumbar disc displacement	Back	diagnosis	Prolapsed disc
455431014	 26 	Prolapsed lumbar intervertebral disc with sciatica	Back	diagnosis	Prolapsed disc
461573010	 23 	[Q] Central disc prolapse	Other	diagnosis	Prolapsed disc
311164010	 17 	Cervical disc prolapse with radiculopathy	Neck	diagnosis	Prolapsed disc
311163016	 15 	Disc prolapse with radiculopathy	Back	diagnosis	Prolapsed disc
311162014	 12 	Lumbar disc prolapse with myelopathy	Back	diagnosis	Prolapsed disc
311320010	 279 	Rotator cuff syndrome	Shoulder	diagnosis	Rotator cuff syndrome
400295013	 130 	Rotator cuff syndrome, unspecified	Shoulder	diagnosis	Rotator cuff syndrome
400296014	 129 	Rotator cuff syndrome NOS	Shoulder	diagnosis	Rotator cuff syndrome
38727013	 2,559 	Sciatica	Back	diagnosis	Sciatica
311252013	 744 	Lumbago with sciatica	Back	diagnosis	Sciatica
369379014	 669 	Acute back pain with sciatica	Back	diagnosis	Sciatica
309413012	 500 	Scleroderma	Other	diagnosis	Scleroderma
312420013	 7,402 	Idiopathic scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312419019	 7,230 	Kyphoscoliosis and scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312428018	 4,139 	Adolescent idiopathic scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312598012	 3,975 	Scoliosis deformity of spine	Back	diagnosis	Scoliosis/kyphosis/lordosis
312426019	 1,812 	Postural scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
106745019	 1,659 	Curvature of spine	Back	diagnosis	Scoliosis/kyphosis/lordosis
88799019	 1,366 	Scheuermann's disease	Back	diagnosis	Scoliosis/kyphosis/lordosis
1772881000006115	 1,359 	Scoliosis of thoracic spine	Back	diagnosis	Scoliosis/kyphosis/lordosis
312431017	 1,265 	Kyphoscoliosis or scoliosis NOS	Back	diagnosis	Scoliosis/kyphosis/lordosis
2532921014	 728 	Acquired kyphosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
121239018	 701 	Thoracogenic scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312438011	 649 	Scoliosis associated with other condition	Back	diagnosis	Scoliosis/kyphosis/lordosis
122060015	 471 	Adolescent postural kyphosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312597019	 260 	Acquired scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
118450012	 248 	Congenital kyphosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312594014	 228 	Kyphosis deformity of spine	Back	diagnosis	Scoliosis/kyphosis/lordosis
312607015	 176 	Lordosis deformity of spine	Back	diagnosis	Scoliosis/kyphosis/lordosis
312421012	 161 	Idiopathic kyphoscoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
38401000006113	 158 	Other and unspecified kyphosis	Other	diagnosis	Scoliosis/kyphosis/lordosis
312596011	 121 	[X]Other idiopathic scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
734501000006118	 118 	Lordosis, unspecified	Back	diagnosis	Scoliosis/kyphosis/lordosis
74984010	 105 	Acquired lordosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
97064010	 91 	Acquired postural kyphosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
605021000006115	 79 	Curvature of spine NOS	Back	diagnosis	Scoliosis/kyphosis/lordosis
312414012	 77 	Acquired kyphosis NOS	Neck	diagnosis	Scoliosis/kyphosis/lordosis
752841000006112	 70 	Kyphoscoliosis deformity of spine	Back	diagnosis	Scoliosis/kyphosis/lordosis
5852251000006112	 66 	Scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312435014	 55 	Curvature of spine, unspecified	Back	diagnosis	Scoliosis/kyphosis/lordosis
312436010	 52 	Kyphosis associated with other condition	Back	diagnosis	Scoliosis/kyphosis/lordosis
41723017	 50 	Congenital postural lordosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312595010	 38 	[X]Other lordosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312429014	 35 	Post-surgical scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
400353018	 30 	Curvature of spine associated with other conditions	Back	diagnosis	Scoliosis/kyphosis/lordosis
26185013	 27 	Acquired postural lordosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312453015	 27 	Other curvatures of spine	Back	diagnosis	Scoliosis/kyphosis/lordosis
312445011	 27 	Scoliosis in skeletal dysplasia	Back	diagnosis	Scoliosis/kyphosis/lordosis
312456011	 21 	Curvature of spine NOS	Back	diagnosis	Scoliosis/kyphosis/lordosis
35274016	 19 	Progressive infantile idiopathic scoliosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312447015	 13 	Scoliosis in neurofibromatosis	Back	diagnosis	Scoliosis/kyphosis/lordosis
312430016	 12 	Scoliosis secondary to other treatment	Back	diagnosis	Scoliosis/kyphosis/lordosis
2881271000006115	 1,402 	Sever's disease	Foot/Ankle	diagnosis	Sever's disease
359432012	 198 	Lumbar spondylosis	Back	diagnosis	Spondylosis
130001000006111	 123 	Spondylosis	Back	diagnosis	Spondylosis
400266016	 52 	Spondylosis and allied disorders	Back	diagnosis	Spondylosis
1481870016	 44 	Cervical spondylosis	Neck	diagnosis	Spondylosis
400267013	 23 	Cervical spondylosis without myelopathy	Neck	diagnosis	Spondylosis
80324016	 12 	Lumbosacral spondylosis without myelopathy	Back	diagnosis	Spondylosis
400271011	 12 	Spondylosis NOS	Back	diagnosis	Spondylosis
1481872012	 12 	Thoracic spondylosis	Back	diagnosis	Spondylosis
108811000006114	 14,337 	Temporomandibular joint disorder	Head	diagnosis	Temporomandibular joint disorder
1480387016	 2,293 	Temporomandibular joint pain dysfunction syndrome	Head	diagnosis	Temporomandibular joint disorder
302130018	 551 	Temporomandibular joint disorder NOS	Head	diagnosis	Temporomandibular joint disorder
6451641000006112	 65 	TMJPDS - Temporomandibular joint pain dysfunction syndrome	Head	diagnosis	Temporomandibular joint disorder
108791000006110	 40 	Temporomandibular joint internal derangement	Head	diagnosis	Temporomandibular joint disorder
885611000006111	 22 	Temporomandibular joint dis.	Head	diagnosis	Temporomandibular joint disorder
693461000006115	 34,160 	Musculoskeletal and connective tissue diseases	Other	diagnosis	Other
311385019	 17,874 	Plantar fasciitis	Foot/Ankle	diagnosis	Other
141799013	 17,386 	Hypermobility syndrome	Multiple	diagnosis	Other
312729010	 11,225 	Musculoskeletal and connective tissue disorder	Other	diagnosis	Other
359206015	 2,096 	Patellofemoral disorder	Knee	diagnosis	Other
587351000006110	 1,927 	Non-traumatic slipped upper femoral epiphysis	Hip/Pelvis	diagnosis	Other
628221000006110	 1,342 	Generalised benign joint hypermobility	Other	diagnosis	Other
745601000006117	 956 	Irritable hip	Hip/Pelvis	diagnosis	Other
297602013	 659 	Muscular dystrophies and other myopathies	Other	diagnosis	Other
311041010	 617 	Sacroiliitis	Back	diagnosis	Other
443295011	 473 	Irritable hip	Hip/Pelvis	diagnosis	Other
784571000006116	 348 	Impingement syndrome of shoulder region	Shoulder	diagnosis	Other
518891000006113	 277 	Blount's disease	Knee	diagnosis	Other
1816911000006113	 271 	Irritable hip	Hip/Pelvis	diagnosis	Other
359863016	 255 	Spondylolysis	Back	diagnosis	Other
221451000000115	 228 	Connective tissue disease	Other	diagnosis	Other
733661000006118	 222 	Degeneration of lumbar intervertebral disc	Back	diagnosis	Other
150085018	 222 	Gout	Other	diagnosis	Other
7912010	 208 	Osteomalacia	Other	diagnosis	Other
312188014	 187 	Fibrous cortical defect	Other	diagnosis	Other
587321000006118	 166 	Non-traumatic acute slipped upper femoral epiphysis	Hip/Pelvis	diagnosis	Other
369383014	 165 	Facet joint syndrome	Back	diagnosis	Other
1770781000006114	 162 	Impingement syndrome of hip	Hip/Pelvis	diagnosis	Other
2923791000006111	 152 	Slipped upper femoral epiphysis	Hip/Pelvis	diagnosis	Other
1786699016	 151 	Frozen shoulder	Shoulder	diagnosis	Other
1591381000006114	 148 	Mixed connective tissue disease	Other	diagnosis	Other
2767377016	 126 	Femoroacetabular impingement	Hip/Pelvis	diagnosis	Other
742361000006117	 124 	Irritable hip	Hip/Pelvis	diagnosis	Other
311336012	 107 	Subacromial impingement	Shoulder	diagnosis	Other
444834014	 103 	Osteoma	Other	diagnosis	Other
44918014	 85 	Antiphospholipid syndrome	Other	diagnosis	Other
219651000000111	 82 	Adhesive capsulitis of shoulder	Shoulder	diagnosis	Other
587341000006113	 82 	Non traumatic chronic slipped upper femoral epiphysis	Hip/Pelvis	diagnosis	Other
147833014	 80 	Systemic sclerosis	Other	diagnosis	Other
148958019	 76 	Monostotic fibrous dysplasia	Other	diagnosis	Other
311389013	 74 	Anterior ankle impingement	Foot/Ankle	diagnosis	Other
1234731016	 71 	Fibrodysplasia ossificans congenita	Other	diagnosis	Other
311186011	 66 	Lumbar discitis	Back	diagnosis	Other
93418010	 65 	Cubital tunnel syndrome	Wrist	diagnosis	Other
611421000006111	 65 	Degeneration of lumbar spine	Back	diagnosis	Other
40641000006114	 65 	Osteoma	Other	diagnosis	Other
311335011	 63 	Scapulohumeral fibrositis	Shoulder	diagnosis	Other
136731000006115	 59 	Slipped radial epiphysis	Wrist	diagnosis	Other
311141013	 56 	Degenerative disc disease	Back	diagnosis	Other
693491000006111	 55 	Musculoskeletal or connective tissue diseases OS	Other	diagnosis	Other
30978014	 51 	Lumbar spinal stenosis	Back	diagnosis	Other
587331000006115	 44 	Non traumatic acute-on-chronic slipped upp femoral epiphysis	Hip/Pelvis	diagnosis	Other
207904011	 44 	Piriformis syndrome	Hip/Pelvis	diagnosis	Other
7967011	 34 	Degenerative spondylolisthesis	Other	diagnosis	Other
892361000006112	 30 	Slipped femoral epiphysis-uppr	Hip/Pelvis	diagnosis	Other
143197013	 28 	Bertolotti's syndrome	Back	diagnosis	Other
82541000006118	 28 	Tuberculosis of vertebral column	Back	diagnosis	Other
543561000006117	 25 	Degeneration of cervical intervertebral disc	Neck	diagnosis	Other
502473014	 24 	Slipped intervertebral disc	Back	diagnosis	Other
512110018	 23 	Tendon sheath giant cell tumor	Other	diagnosis	Other
137233019	 21 	Progressive myositis ossificans	Other	diagnosis	Other
106931000006114	 21 	Thoracolumbar ankylosis	Back	diagnosis	Other
444889012	 20 	Keratoconjunctivitis sicca	Other	diagnosis	Other
106481000006117	 20 	Degeneration of thoracic intervertebral disc	Back	diagnosis	Other
757071000006113	 20 	Joint degeneration	Other	diagnosis	Other
78977014	 17 	Tarsal tunnel syndrome	Foot/Ankle	diagnosis	Other
147834015	 14 	Progressive systemic sclerosis	Other	diagnosis	Other
309433011	 12 	Collagen disease	Other	diagnosis	Other
312466015	 12 	Dysplastic spondylolisthesis	Other	diagnosis	Other
120088018	 12 	Relapsing polychondritis	Multiple	diagnosis	Other
893411000006112	 12 	Spine anomaly - congenital	Back	diagnosis	Other
1494889019	 12 	Tuberculosis of bones and joints	Other	diagnosis	Other
51875014	 228,630 	Knee pain	Knee	neither	N/A
416139010	 115,770 	Low back pain	Back	neither	N/A
764321000006112	 81,707 	Foot pain	Foot/Ankle	neither	N/A
483791000006115	 57,837 	Ankle pain	Foot/Ankle	neither	N/A
81982015	 55,430 	Hip pain	Hip/Pelvis	neither	N/A
