medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	EarSymptoms
3279031000006116	900	^ESCTOB327903		Obstruction of Eustachian tube	48145001		1
1494756010	20000	F516-1	F516.11	Block - eustachian tube	48145001	F51	1
207971000006112	100000	F5801	F580100	Presbyacusia	49526009	F58	1
3301521000006110	5000	^ESCTPR330152		Presbycusis	49526009		1
883821000006115	2000	F5801-99	F580199	Senile/other presbyacusis	49526009	F58	1
3301551000006118	50	^ESCTAG330155		Age-related hearing loss	49526009		1
148351000006111	5000	F5801-1	F580111	Senile presbyacusis	49526009	F58	1
87124011	5000	F5102	F510200	Acute non-suppurative otitis media - mucoid	52353000	F51	1
3348911000006111	200	^ESCTAC334891		Acute mucoid otitis media	52353000		1
1494809017	1000000	F51y0	F51y000	Eustachian tube dysfunction	56713002	F51	1
3421301000006113	3000	^ESCTET342130		ETD - Eustachian tube dysfunction	56713002		1
3421291000006112	10000	^ESCTDY342129		Dysfunction of eustachian tube	56713002		1
98475016	200	F5104	F510400	Acute allergic serous otitis media	59275002	F51	1
299216016	40	F5840	F584000	Unspecified other abnormal auditory perception	60331006	F58	1
299552016	80	FyuU2	FyuU200	[X]Other abnormal auditory perceptions	60331006	Fyu	1
299219011	80	F584z	F584z00	Other abnormal auditory perception NOS	60331006	F58	1
299215017	200	F584	F584.00	Other abnormal auditory perception	60331006	F58	1
3479801000006115	3	^ESCTAB347980		Abnormal auditory perception	60331006		1
299212019	6000	F5830	F583000	Unspecified tinnitus	60862001	F58	1
3488681000006111	4	^ESCTRI348868		Ringing in ears	60862001		1
3488671000006113	1	^ESCTNO348867		Noise in ears	60862001		1
102721000006110	200000	1C2	1C2..00	Tinnitus symptoms	60862001	1C2	1
299214018	30000	F583z	F583z00	Tinnitus NOS	60862001	F58	1
101130017	1000000	F583	F583.00	Tinnitus	60862001	F58	1
253176018	20000	1C2Z	1C2Z.00	Tinnitus symptom NOS	60862001	1C2	1
103798013	3000	F5831	F583100	Subjective tinnitus	62452009	F58	1
883831000006117	200	F582-99	F582.99	Sudden hearing loss NOS	643761000000109	F58	1
11759018	800	F5121	F512100	Mucosanguinous chronic otitis media	6485001	F51	1
3567761000006116	2	^ESCTOT356776		Otorrhea	65668001		1
299229016	2000	F586z	F586z00	Otorrhoea NOS	65668001	F58	1
109102019	200000	F586	F586.00	Otorrhoea	65668001	F58	1
622921000006117	50000	F5860-1	F586011	Discharge of ear	65668001	F58	1
883841000006110	7000	F586-99	F586.99	Otorrhoea - discharging ear	65668001	F58	1
399506010	6000	F5860	F586000	Unspecified otorrhoea	65668001	F58	1
1232826012	20	F5851	F585100	Acoustic nerve degeneration	66688008	F58	1
883711000006119	300	F513z-99	F513z99	Chr. nonsupp. otitis media NOS	672011000000100	F51	1
200030011	100	F5861	F586100	Cerebrospinal fluid otorrhoea	68382005	F58	1
883861000006114	4000	F58z-99	F58z.99	Ear disorders NOS	694161000000103	F58	1
299058013	2000	F51yz	F51yz00	Other eustachian tube disorder NOS	69494008	F51	1
299059017	10000	F51z	F51z.00	Eustachian tube disorder	69494008	F51	1
299533010	100	FyuP6	FyuP600	[X]Other specified disorders of Eustachian tube	69494008	Fyu	1
299057015	500	F51y	F51y.00	Other eustachian tube disorder	69494008	F51	1
119572016	100	F5130	F513000	Chronic allergic otitis media	71958004	F51	1
3693771000006111	3	^ESCTNI369377		NIHL - Noise-induced hearing loss	73415002		1
121916015	9000	F5812	F581200	Noise-induced hearing loss	73415002	F58	1
587171000006119	3000	F5812-1	F581211	Noise induced deafness	73415002	F58	1
123079014	3000	F5871	F587100	Otogenic otalgia	74123003	F58	1
128622017	600	F5103	F510300	Acute sanguinous otitis media	77478005	F51	1
3760631000006119	3	^ESCTAC376063		Acute non-suppurative otitis media - bloody	77478005		1
3760591000006119	9	^ESCTAC376059		Acute sanguinous otitis media	77478005		1
3760621000006117	1	^ESCTAC376062		Acute non-suppurative otitis media - sanguinous	77478005		1
3760601000006110	20	^ESCTAC376060		Acute non-suppurative otitis media with haemotympanum	77478005		1
299221018	60	F585z	F585z00	Acoustic nerve disorder NOS	77949003	F58	1
3768091000006110	3	^ESCTDI376809		Disorder of acoustovestibular nerve	77949003		1
3768061000006119	1	^ESCTDI376806		Disorder of acoustic nerve	77949003		1
624281000006118	40	F585	F585.00	Disorders of acoustic nerve	77949003	F58	1
3782541000006112	1	^ESCTCH378254		Chronic middle ear effusion	78868004		1
3782651000006110	2	^ESCTCH378265		Chronic secretory otitis media	78868004		1
299042010	700	F5143	F514300	Mucoid otitis media	78868004	F51	1
299030017	80000	F5120	F512000	Chronic mucoid otitis media	78868004	F51	1
299032013	8000	F512z	F512z00	Chronic mucoid otitis media NOS	78868004	F51	1
3782601000006111	40	^ESCTOT378260		Otitis media with effusion	78868004		1
3782621000006118	3	^ESCTSE378262		Secretory otitis media	78868004		1
299056012	10000	F518	F518.00	Chronic otitis media with effusion	78868004	F51	1
555761000006114	80000	F512	F512.00	Chronic otitis media with effusion, mucoid	78868004	F51	1
503932010	40000	F512-2	F512.12	Chronic secretory otitis media, mucoid	78868004	F51	1
130846016	10000	F512-99	F512.99	Chronic mucoid otitis media	78868004	F51	1
130848015	300000	F512-1	F512.11	Glue ear	78868004	F51	1
299034014	4000	F513	F513.00	Chronic otitis media with effusion, other	78868004	F51	1
299208013	10000	F582	F582.00	Sudden hearing loss	79471008	F58	1
299040019	60000	F5141	F514100	Serous otitis media	80327007	F51	1
3826261000006116	10	^ESCTGL382626		Glue ear - serous	81564005		1
299023011	1000	F5113	F511300	Unilateral chronic serous otitis	81564005	F51	1
135302019	3000	F511-99	F511.99	Chronic serous otitis media	81564005	F51	1
3826291000006112	2	^ESCTCH382629		Chronic non-suppurative otitis media with effusion - serous	81564005		1
504727012	5000	F511-1	F511.11	Chronic secretory otitis media, serous	81564005	F51	1
299024017	10000	F511z	F511z00	Chronic serous otitis media	81564005	F51	1
555791000006118	30000	F511	F511.00	Otitis media with effusion - serous	81564005	F51	1
14738014	20	F5105	F510500	Acute allergic mucoid otitis media	8326008	F51	1
149921000006113	500	F5111	F511100	Serosanguineous chronic otitis media	86850004	F51	1
