medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Rash
55627011	300000	M160	M160.00	Psoriatic arthropathy	33339001	M16	1
312521010	30000	Nyu13	Nyu1300	Psoriasis with arthropathy	33339001	Nyu	1
308730016	10000	M160z	M160z00	Psoriatic arthropathy NOS	33339001	M16	1
317161013	300000	R0206	R020600	Absence of sensation	33653009	R02	1
3041461000006114	1	^ESCTAN304146		Anesthesia	33653009		1
3041451000006112	4	^ESCTSE304145		Sensory loss	33653009		1
317217010	20000	R025	R025.00	Cyanosis	3415004	R02	1
317227016	3000	R0280	R028000	Induration of skin	34319007	R02	1
308771010	20000	M165	M165.00	Pityriasis	34630004	M16	1
308774019	5000	M165z	M165z00	Other pityriasis NOS	34630004	M16	1
889111000006116	4000	M100-99	M100.99	Dandruff - pityriasis capitis	34630004	M10	1
13769921000006116	1000	^ESCT1376992		Primate erythroparvovirus 1 infection	34730008		1
648231000006111	30000	A570	A570.00	Erythema infectiosum	34730008	A57	1
3059191000006111	20	^ESCTPA305919		Parvovirus B19 infection	34730008		1
57964015	10000	A570-1	A570.11	Fifth disease	34730008	A57	1
485932016	80000	A570-2	A570.12	Slapped cheek syndrome	34730008	A57	1
475210013	10	A57y5	A57y500	Monkeypox	359814004	A57	1
61797015	200000	M1616	M161600	Guttate psoriasis	37042000	M16	1
7338017	20	M164-2	M164.12	Lichen ruber acuminatus	3755001	M16	1
2558891000006118	2	^ESCTPR255889		PRP - Pityriasis rubra pilaris	3755001		1
7339013	2	M164-1	M164.11	Devergie's disease	3755001	M16	1
7337010	5000	M164	M164.00	Pityriasis rubra pilaris	3755001	M16	1
6595521000006116	10	^ESCTRE659552		Reduced sensation	397974008		1
317160014	2000	R0205	R020500	Hypoaesthesia	397974008	R02	1
6595531000006118	20	^ESCTLI659553		Limited sensation	397974008		1
6595551000006113	9	^ESCTHY659555		Hypoesthesia	397974008		1
6595541000006111	20	^ESCTIM659554		Impaired sensation	397974008		1
308775018	1000	M16y	M16y.00	Acquired disorder of keratinisation	399937000	M16	1
492459010	30000	1D17	1D17.00	Morning stiffness - joint	40144003	1D1	1
1781460018	60000	M1650	M165000	Pityriasis alba	402296004	M16	1
1629311000006117	20000	M161F-1	M161F11	Chronic large plaque psoriasis	402307000	M16	1
317188015	8000	R022A	R022A00	Mass of shoulder region	427746000	R02	1
317195012	20000	R022H	R022H00	Mass of wrist	441683007	R02	1
317198014	2000	R022K	R022K00	Swelling of buttock	441974004	R02	1
317197016	3000	R022J	R022J00	Subungual swelling	441998006	R02	1
317170011	10000	R0211	R021100	Rash of genitalia	442279002	R02	1
317204012	700	R0231	R023100	Anasarca	442433009	R02	1
1667571000000112	10	R020A	R020A00	Cheiro-oral syndrome	446220004	R02	1
7486621000006118	1000	^ESCTCO748662		Complaining of erectile dysfunction	473327001		1
1734321000000113	300000	1D1B	1D1B.00	C/O erectile dysfunction	473327001	1D1	1
894701000006118	200	R0210-99	R021099	Morbilliform rash	496451000000100	R02	1
12455151000006115	1000	^ESCT1245515		[D]Local superficial swelling, mass or lump	496471000000109		1
317172015	90000	R022	R022.00	[D]Local superficial swelling, mass or lump	496471000000109	R02	1
317173013	20000	R0220	R022000	[D]Swelling, local and superficial	496481000000106	R02	1
12455591000006119	200	^ESCT1245559		[D]Swelling, local and superficial	496481000000106		1
317174019	8000	R0221	R022100	[D]Mass, localised and superficial	496491000000108	R02	1
12455251000006111	40	^ESCT1245525		[D]Mass, localised and superficial	496491000000108		1
12455221000006119	3000	^ESCT1245522		[D]Lump, localised and superficial	496501000000102		1
317177014	300000	R0222	R022200	[D]Lump, localised and superficial	496501000000102	R02	1
317186016	20000	R0228	R022800	Localised swelling, mass and lump, trunk	496561000000103	R02	1
11905491000006111	300	^ESCT1190549		[D]Lump on back	496561000000103		1
11905411000006118	400	^ESCT1190541		[D]Foot lump	496571000000105		1
317187013	30000	R0229	R022900	[D]Foot lump	496571000000105	R02	1
317190019	10000	R022C	R022C00	[D]Lump on knee	496601000000103	R02	1
11905521000006113	100	^ESCT1190552		[D]Lump on knee	496601000000103		1
317191015	50000	R022D	R022D00	Localised swelling, mass and lump, lower limb	496611000000101	R02	1
11905531000006111	600	^ESCT1190553		[D]Lump on leg	496611000000101		1
317192010	10000	R022E	R022E00	[D]Lump on shin	496621000000107	R02	1
11905551000006116	200	^ESCT1190555		[D]Lump on shin	496621000000107		1
317196013	5000	R022I	R022I00	[D]Toe lump	496661000000104	R02	1
11905821000006111	80	^ESCT1190582		[D]Toe lump	496661000000104		1
286786011	40000	A57	A57..00	Viral exanthemata	49882001	A57	1
3307621000006118	2000	^ESCTVI330762		Viral rash	49882001		1
395352011	40000	A57z	A57z.00	Viral exanthem	49882001	A57	1
3382401000006113	1	^ESCTSI338240		Sixth disease	54385001		1
90394014	20000	A57y1-1	A57y111	Roseola infantum	54385001	A57	1
650571000006112	3000	A57y1	A57y100	Exanthem subitum	54385001	A57	1
3382421000006115	1	^ESCTTH338242		Three day fever	54385001		1
3382381000006113	1000	^ESCTEX338238		Exanthema subitum	54385001		1
889311000006118	1000	M165-99	M165.99	Pityriasis	584511000000101	M16	1
889301000006116	300	M165-98	M165.98	Pityriasis NOS	584511000000101	M16	1
101534019	60	A57y2	A57y200	Fourth disease	61099007	A57	1
111418010	400	M162A	M162A00	Large plaque parapsoriasis	67081008	M16	1
128227017	400000	M163	M163.00	Pityriasis rosea	77252004	M16	1
226471000006112	300	M163-1	M163.11	Pityriasis circinata	77252004	M16	1
317165016	5000	R020z	R020z00	[D]Skin sensation disturbance NOS	80910005	R02	1
317150017	20000	R020	R020.00	Skin sensation disturbance	80910005	R02	1
2635591000006119	20	^ESCTSY263559		Synaesthesia	8488006		1
1739301000000115	40	R029	R029.00	[D]Synaesthesia	8488006	R02	1
243461000006111	70	M1621	M162100	Pityriasis lichenoides acuta	86487001	M16	1
3906461000006118	30	^ESCTPL390646		PLEVA - Pityriasis lichenoides et varioliformis acuta	86487001		1
3906471000006113	2	^ESCTMU390647		Mucha Habermann disease	86487001		1
3906391000006116	20	^ESCTAC390639		Acute lichenoid pityriasis	86487001		1
3906491000006114	3	^ESCTPI390649		Pityriasis lichenoides et varioliformis acuta	86487001		1
146283019	2000	M162	M162.00	Parapsoriasis	88233000	M16	1
309332019	10	Myu31	Myu3100	[X]Other parapsoriasis	88233000	Myu	1
308770011	80	M162z	M162z00	Parapsoriasis NOS	88233000	M16	1
308755010	80	M1620	M162000	Parapsoriasis unspecified	88233000	M16	1
308753015	2000000	M161z	M161z00	Psoriasis	9014002	M16	1
308731017	9000	M161	M161.00	Other psoriasis	9014002	M16	1
308725015	500000	M16	M16..00	Psoriasis and similar disorders	9014002	M16	1
309331014	3000	Myu30	Myu3000	[X]Other psoriasis	9014002	Myu	1
308732012	300000	M1610	M161000	Psoriasis unspecified	9014002	M16	1
308776017	80000	M16z	M16z.00	Psoriasis and similar disorders NOS	9014002	M16	1
317154014	100000	R0201	R020100	Burning sensation	90673000	R02	1
3979201000006117	5	^ESCTPA397920		Paraesthesia (numbness/tingling)	91019004		1
11905631000006110	8	^ESCT1190563		Paresthesia	91019004		1
3979211000006119	20	^ESCTPA397921		Paresthesia (numbness/tingling)	91019004		1
317163011	400000	R0207	R020700	Paraesthesia	91019004	R02	1
317178016	50000	R0223	R022300	Subcutaneous nodule	95325000	R02	1
