medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Mole
6633591000006119	1	^ESCTJU663359		Juvenile xanthoma	400031009		1
316801000006119	5	BBES	BBES.00	[M]Spindle cell melanoma, type B	40244008	BBE	1
6671081000006111	1	^ESCTBE667108		Benign fibrohistiocytic neoplasm of skin	402872002		1
27022019	200	B769	B769.00	Reticulohistiocytoma	402872002	B76	1
1230100013	200	BBEG	BBEG.00	[M]Malignant melanoma in Hutchinson's melanotic freckle	44474009	BBE	1
3216591000006111	20	^ESCTMA321659		Malignant melanoma in Hutchinson's melanotic freckle	44474009		1
3216601000006115	1	^ESCTLE321660		Lentigo maligna melanoma	44474009		1
307231000006114	90000	BBEK	BBEK.00	Compound naevus	49409001	BBE	1
3299381000006110	2	^ESCTCO329938		Compound nevus	49409001		1
3299401000006110	300	^ESCTDE329940		Dermal and epidermal naevus	49409001		1
312851000006119	10	BBET	BBET.00	[M]Mixed epithelioid and spindle melanoma	50813003	BBE	1
3338941000006114	1	^ESCTMA333894		Malignant neurotropic melanoma	51757004		1
1231028010	300	BBE11	BBE1100	[M]Desmoplastic melanoma, malignant	51757004	BBE	1
3338911000006110	50	^ESCTDE333891		Desmoplastic melanoma, malignant	51757004		1
317201000006115	7000	BBEH	BBEH.00	Superficial spreading melanoma	55320002	BBE	1
3398271000006117	7	^ESCTSS339827		SSMM - Superficial spreading melanoma	55320002		1
3398261000006112	1	^ESCTSS339826		SSM - Superficial spreading melanoma	55320002		1
1232189017	2000	BBEF	BBEF.00	[M]Hutchinson's melanotic freckle	61217001	BBE	1
3494651000006111	70	^ESCTLE349465		Lentigo maligna	61217001		1
3494641000006114	50	^ESCTHU349464		Hutchinson's melanotic freckle	61217001		1
3504481000006114	1	^ESCTDN350448		DN - Dysplastic nevus	61814002		1
3504451000006118	3	^ESCTDN350445		DN - Dysplastic naevus	61814002		1
3504461000006116	400	^ESCTAT350446		Atypical naevus	61814002		1
1216793014	30000	BBEY	BBEY.00	Dysplastic naevus	61814002	BBE	1
3504441000006115	40	^ESCTDY350444		Dysplastic nevus	61814002		1
3504471000006111	1	^ESCTAT350447		Atypical nevus	61814002		1
11906311000006116	1	^ESCT1190631		Blue nevus	63166000		1
291610015	3000	BBEU	BBEU.00	Blue naevus	63166000	BBE	1
310671000006112	200	BBEU-1	BBEU.11	[M]Jadassohn's blue naevus	63166000	BBE	1
3591891000006114	1	^ESCTMA359189		Malignant blue naevus	67159000		1
1216845011	20	BBEV	BBEV.00	[M]Blue naevus, malignant	67159000	BBE	1
291607010	300	BBEQ	BBEQ.00	Spindle cell melanoma	68827007	BBE	1
305231000006118	1000	BBEA	BBEA.00	Amelanotic melanoma	70594002	BBE	1
311951000006115	20	BBEM	BBEM.00	[M]Malignant melanoma in giant pigmented naevus	75931002	BBE	1
1234193010	6000	BBEX	BBEX.00	Melanoma in situ	77986002	BBE	1
3774171000006114	1	^ESCTHA377417		Halo nevus	78325005		1
3774191000006110	1	^ESCTRE377419		Regressing naevus	78325005		1
3774161000006119	1000	^ESCTHA377416		Halo naevus	78325005		1
1216952012	20000	BBE5	BBE5.00	[M]Halo naevus	78325005	BBE	1
1216979011	800	BBEa	BBEa.00	[M] Spindle cell naevus	810003	BBE	1
2511401000006114	100	^ESCTSP251140		Spindle cell naevus	810003		1
305751000006118	40	BBE3	BBE3.00	[M]Balloon cell naevus	8276007	BBE	1
309051000006118	20	BBEW-1	BBEW.11	[M]Giant blue naevus	88006009	BBE	1
306501000006119	1000	BBEW	BBEW.00	Cellular blue naevus	88006009	BBE	1
1217053011	1000	BBEN	BBEN.00	[M]Epithelioid and spindle cell naevus	88082008	BBE	1
3931341000006111	1	^ESCTSP393134		Spitz naevus	88082008		1
1235301017	600	BBEN-1	BBEN.11	[M]Juvenila melanoma	88082008	BBE	1
1217052018	7000	BBEN-3	BBEN.13	[M] Spitz naevus	88082008	BBE	1
3931271000006112	200	^ESCTEP393127		Epithelioid and spindle cell naevus	88082008		1
1217054017	100	BBEN-2	BBEN.12	[M]Juvenila naevus	88082008	BBE	1
3931331000006118	1	^ESCTPI393133		Pigmented spindle cell naevus of Reed	88082008		1
3931311000006112	1	^ESCTSP393131		Spitz nevus	88082008		1
2513181000006113	2	^ESCTMA251318		Malignant melanoma in junctional naevus	915007		1
311971000006113	40	BBEC	BBEC.00	[M]Malignant melanoma in junctional naevus	915007	BBE	1
152775015	300	B7658	B765800	Benign neoplasm of perianal skin	92288009	B76	1
152839013	2000	B7653	B765300	Benign neoplasm of skin of abdomen	92344000	B76	1
290479014	70	B766-1	B766.11	Benign neoplasm of skin of arm	92346003	B76	1
152842019	900	B7650	B765000	Benign neoplasm of skin of axilla	92347007	B76	1
152843012	6000	B7659	B765900	Benign neoplasm of skin of back	92348002	B76	1
152844018	1000	B7651	B765100	Benign neoplasm of skin of breast	92349005	B76	1
152845017	400	B7657	B765700	Benign neoplasm of skin of buttock	92350005	B76	1
152846016	5000	B7632	B763200	Benign neoplasm of skin of cheek	92351009	B76	1
152847013	3000	B7652	B765200	Benign neoplasm of skin of chest	92352002	B76	1
152848015	1000	B7635	B763500	Benign neoplasm of skin of chin	92353007	B76	1
152852015	400	B7633	B763300	Benign neoplasm of skin of eyebrow	92357008	B76	1
290459018	3000	B763	B763.00	Benign neoplasm of skin of face	92359006	B76	1
367001000006113	10	ByuGA	ByuGA00	[X]Benign neoplasm/skin of other+unspecified parts of face	92359006	Byu	1
152857014	700	B7674	B767400	Benign neoplasm of skin of foot	92361002	B76	1
1235730010	2000	B7662	B766200	Benign neoplasm of skin of fore-arm	92362009	B76	1
4002181000006112	9	^ESCTBE400218		Benign neoplasm of skin of forearm	92362009		1
152859012	2000	B7630	B763000	Benign neoplasm of skin of forehead	92363004	B76	1
152860019	400	B7655	B765500	Benign neoplasm of skin of groin	92364005	B76	1
152861015	500	B7663	B766300	Benign neoplasm of skin of hand	92365006	B76	1
152862010	200	B7670	B767000	Benign neoplasm of skin of hip	92366007	B76	1
152863017	400	B7672	B767200	Benign neoplasm of skin of knee	92367003	B76	1
152865012	4000	B760	B760.00	Benign neoplasm of skin of lip	92369000	B76	1
509959014	70	B767-1	B767.11	Benign neoplasm of skin of leg	92370004	B76	1
509960016	400	B767	B767.00	Benign neoplasm of skin of hip and lower limb	92370004	B76	1
4002261000006114	9	^ESCTBE400226		Benign neoplasm of skin of lower limb	92370004		1
290486018	90	B767z	B767z00	Benign neoplasm of skin of hip or lower limb NOS	92370004	B76	1
152868014	4000	B7641	B764100	Benign neoplasm of skin of neck	92371000	B76	1
152869018	2000	B7631	B763100	Benign neoplasm of skin of nose	92372007	B76	1
152870017	200	B7656	B765600	Benign neoplasm of skin of perineum	92373002	B76	1
1235731014	4000	B7640	B764000	Benign neoplasm of scalp	92375009	B76	1
4002331000006113	60	^ESCTBE400233		Benign neoplasm of skin of scalp	92375009		1
152873015	2000	B7660	B766000	Benign neoplasm of skin of shoulder	92376005	B76	1
152875010	3000	B7671	B767100	Benign neoplasm of skin of thigh	92378006	B76	1
152879016	300	B7654	B765400	Benign neoplasm of skin of umbilicus	92381001	B76	1
152883016	400000	B76	B76..00	Benign neoplasm of skin	92384009	B76	1
4002441000006111	40	^ESCTBE400244		Benign tumour of skin	92384009		1
4002451000006113	1	^ESCTBE400245		Benign tumor of skin	92384009		1
290516014	1000	B76y	B76y.00	Benign neoplasm of other specified skin sites	92384009	B76	1
290517017	10000	B76z	B76z.00	Benign neoplasm of skin NOS	92384009	B76	1
881041000006117	60000	B76-99	B76..99	Skin - benign mole and naevus	92384009	B76	1
