medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Urinary
4789721000006119	10	^ESCTIN478972		Interstitial cystitis	197834003		1
4789731000006116	1	^ESCTPB478973		PBS - Painful bladder syndrome	197834003		1
4789741000006114	200	^ESCTPA478974		Painful bladder syndrome	197834003		1
304181012	20	K1511	K151100	Panmural fibrosis of bladder	197836001	K15	1
304182017	100	K1512	K151200	Submucous cystitis	197837005	K15	1
304192013	50	K154	K154.00	Cystitis in diseases EC	197845000	K15	1
304202014	60	K154z	K154z00	Cystitis associated with another disorder	197845000	K15	1
304197019	20	K1545	K154500	Cystitis in gonorrhoea	197848003	K15	1
304198012	20	K1546	K154600	Cystitis in moniliasis	197849006	K15	1
4789821000006114	4	^ESCTMO478982		Monilial cystitis	197849006		1
304201019	30	K1547	K154700	Cystitis in trichomoniasis	197850006	K15	1
4789841000006119	3	^ESCTTR478984		Trichomonal cystitis	197850006		1
304205011	100000	K155	K155.00	Recurrent cystitis	197853008	K15	1
216611000006114	4000	K1902	K190200	Postoperative urinary tract infection	197926005	K19	1
304319014	200000	K1903	K190300	Recurrent urinary tract infection	197927001	K19	1
183171000006116	900000	K1903-1	K190311	Recurrent urinary tract infection	197927001	K19	1
183141000006112	200000	K190-1	K190.11	Recurrent urinary tract infection	197927001	K19	1
183161000006111	200000	1AG	1AG..00	Recurrent urinary tract infections	197927001	1AG	1
4790241000006110	100	^ESCTRE479024		Recurrent UTI - urinary tract infection	197927001		1
304321016	5000	K1904	K190400	Chronic urinary tract infection	197928006	K19	1
304345017	80000	K1970	K197000	Painless haematuria	197938001	K19	1
304348015	10000	K1971	K197100	Painful haematuria	197939009	K19	1
304349011	400000	K1972	K197200	Microscopic haematuria	197940006	K19	1
4790321000006110	4	^ESCTMI479032		Microscopic hematuria	197940006		1
304353013	200000	K1973	K197300	Frank haematuria	197941005	K19	1
4790361000006116	100	^ESCTMA479036		Macroscopic haematuria	197941005		1
4790341000006115	6	^ESCTFR479034		Frank hematuria	197941005		1
4790371000006111	1	^ESCTGR479037		Gross hematuria	197941005		1
4790351000006118	3	^ESCTMA479035		Macroscopic hematuria	197941005		1
304355018	2000	K1974	K197400	Clot haematuria	197942003	K19	1
4790391000006112	1	^ESCTCL479039		Clot hematuria	197942003		1
33912015	2000	K19y3	K19y300	Pneumaturia	20154006	K19	1
2820341000006119	2	^ESCTPN282034		Pneumouria	20154006		1
2820331000006112	20	^ESCTPN282033		Pneumatouria	20154006		1
480723013	60000	1A5C	1A5C.00	Pain in scrotum	20502007	1A5	1
2825921000006119	30	^ESCTSC282592		Scrotal pain	20502007		1
2825911000006110	1	^ESCTPA282591		Pain of scrotum	20502007		1
37299019	30000	K198	K198.00	Stress incontinence	22220005	K19	1
121751000006117	80000	1A24-1	1A24.11	Stress incontinence - symptom	22220005	1A2	1
2854051000006113	20	^ESCTUR285405		Urinary stress incontinence	22220005		1
2854041000006111	50	^ESCTSI285404		SI - Stress incontinence	22220005		1
2854031000006118	1	^ESCTIN285403		Incontinence when straining	22220005		1
121721000006114	300000	1A24	1A24.00	Stress incontinence	22220005	1A2	1
2854071000006115	60	^ESCTST285407		Stress urinary incontinence	22220005		1
2854001000006114	4000	^ESCTGE285400		Genuine stress incontinence	22220005		1
2854021000006116	6	^ESCTST285402		Stress bladder incontinence	22220005		1
625012019	200	K1975	K197500	Benign familial haematuria	236421001	K19	1
304327017	500	K191z	K191z00	Urethral fistula NOS	236697004	K19	1
5097621000006111	9	^ESCTAC509762		Acquired urethral fistula	236697004		1
371954015	2000000	1A-2	1A...12	Urinary symptoms	249274008	1A.	1
317560017	20000	R08zz	R08zz00	[D]Urinary system symptoms NOS	249274008	R08	1
317506013	70000	R08	R08..00	Urinary system symptoms	249274008	R08	1
371988014	2000	K19y4	K19y400	Bleeding from urethra	249301002	K19	1
371989018	4000	K19y4-1	K19y411	Urethral bleeding	249301002	K19	1
397931014	30000	1A-1	1A...11	GU symptoms	267062003	1A.	1
397930010	900000	1A	1A...00	Genitourinary symptoms	267062003	1A.	1
252889016	40000	1AZZ	1AZZ.00	Genitourinary symptom NOS	267062003	1AZ	1
252884014	10000	1AZ	1AZ..00	Genitourinary symptoms NOS	267062003	1AZ	1
5498151000006117	20	^ESCTGU549815		GUT symptoms	267062003		1
397945015	100000	1A53	1A53.00	Lumbar ache - renal	267067009	1A5	1
407061019	900	1A54-1	1A54.11	C/O - ureteric colic	272021002	1A5	1
5532701000006116	1	^ESCTCO553270		Complaining of ureteric colic	272021002		1
407091012	400000	1A53-1	1A53.11	C/O - loin pain	272047006	1A5	1
5533131000006117	1000	^ESCTCO553313		Complaining of loin pain	272047006		1
407093010	30000	1A53-3	1A53.13	C/O - renal pain	272049009	1A5	1
5533151000006112	100	^ESCTCO553315		Complaining of renal pain	272049009		1
412649012	900	1A54-2	1A54.12	C/O - ureteric pain	276498006	1A5	1
5586081000006119	3	^ESCTCO558608		Complaining of ureteric pain	276498006		1
416127019	3000	1A582	1A58200	Ovarian pain	279028009	1A5	1
5620541000006119	2	^ESCTPA562054		Pain of ovary	279028009		1
424357017	100000	1A5B	1A5B.00	Pain in penis	285375003	1A5	1
5700481000006113	20	^ESCTPE570048		Penile pain	285375003		1
455076017	7	K199	K199.00	Amyloid disease of the urethra	311495006	K19	1
458617017	500	K197-2	K197.12	Essential haematuria	314280007	K19	1
6044721000006117	2	^ESCTHA604472		Haematuria - cause not known	314280007		1
6044681000006112	80	^ESCTHA604468		Haematuria of undiagnosed cause	314280007		1
459357017	10000000	1J4	1J4..00	Suspected UTI (urinary tract infection)	314940005	1J4	1
6051761000006111	200	^ESCTSU605176		Suspected urinary tract infection	314940005		1
606691000006115	50	K1548	K154800	Cystitis in tuberculosis	32268008	K15	1
53904019	200	A161	A161.00	Tuberculosis of bladder	32268008	A16	1
304186019	20000	K152y	K152y00	Chronic cystitis	33655002	K15	1
304187011	2000	K152z	K152z00	Other chronic cystitis NOS	33655002	K15	1
304184016	2000	K152	K152.00	Other chronic cystitis	33655002	K15	1
305202016	600	Kyu50	Kyu5000	[X]Other chronic cystitis	33655002	Kyu	1
886851000006119	10000	K197-99	K197.99	Haematuria NOS	34436003	K19	1
57480016	1000000	K197	K197.00	Haematuria	34436003	K19	1
418965019	200000	46G2-1	46G2.11	Blood in urine	34436003	46G	1
3054551000006114	30	^ESCTHE305455		Hematuria	34436003		1
813391000006111	70000	1A45-2	1A45.12	Haematuria - symptom	34436003	1A4	1
61219019	50	K15y2	K15y200	Abscess of bladder	373611003	K15	1
6383261000006110	20	^ESCTPY638326		Pyocystis	373611003		1
64183016	70000	1A580	1A58000	Vaginal pain	38343000	1A5	1
3117601000006119	4	^ESCTPA311760		Pain in vagina	38343000		1
304209017	80000	K15z	K15z.00	Cystitis NOS	38822007	K15	1
304206012	800	K15y	K15y.00	Other specified cystitis	38822007	K15	1
304208013	500	K15yz	K15yz00	Other cystitis NOS	38822007	K15	1
65119018	2000000	K15	K15..00	Cystitis	38822007	K15	1
3124871000006110	4	^ESCTBL312487		Bladder infection	38822007		1
305203014	1000	Kyu51	Kyu5100	[X]Other cystitis	38822007	Kyu	1
304361015	900	K19y	K19y.00	Disorder of urinary tract	41368006	K19	1
71921015	700	K1531	K153100	Chronic trigonitis	43114002	K15	1
8285011	200	K1520	K152000	Subacute cystitis	4324001	K15	1
195791000006119	10000	K1901	K190100	Pyuria	4800001	K19	1
82701015	2000000	1A55	1A55.00	Dysuria	49650001	1A5	1
3303661000006119	50	^ESCTPA330366		Pain on micturition	49650001		1
3303641000006118	3	^ESCTPA330364		Pain passing water	49650001		1
3303621000006113	600	^ESCTPA330362		Pain passing urine	49650001		1
318021013	10000	Ryu42	Ryu4200	Painful micturition	49650001	Ryu	1
3303651000006116	700	^ESCTUR330365		Urination painful	49650001		1
317512015	30000	R0810	R081000	[D]Painful urination	49650001	R08	1
317511010	100000	R081	R081.00	[D]Dysuria	49650001	R08	1
317514019	40000	R081z	R081z00	[D]Dysuria NOS	49650001	R08	1
3303671000006114	7	^ESCTPA330367		Pain on voiding	49650001		1
3303691000006110	2	^ESCTPA330369		Pain emptying bladder	49650001		1
3303681000006112	1	^ESCTPA330368		Passing water hurts	49650001		1
354757018	2000	K19-1	K19..11	Other urethral disorders	4985009	K19	1
73791000006116	900	K19W	K19W.00	Urethral disorder, unspecified	4985009	K19	1
305209013	100	Kyu57	Kyu5700	[X]Other specified disorders of urethra	4985009	Kyu	1
417081000006113	30	Kyu59	Kyu5900	[X]Other urethral disorders in diseases CE	4985009	Kyu	1
305217017	600	Kyu5F	Kyu5F00	Disorder of urethra	4985009	Kyu	1
1230922019	20	K1540	K154000	Cystitis in actinomycosis	5093001	K15	1
2580881000006110	1	^ESCTAC258088		Actinomycotic cystitis	5093001		1
89797014	100	K1910	K191000	Urethroperineal fistula	54022006	K19	1
1231277013	5	K1543	K154300	Cystitis in echinococcus infestation	54026009	K15	1
3376381000006117	2	^ESCTEC337638		Echinococcal cystitis	54026009		1
886831000006114	200	K191z-99	K191z99	Urinary fistula NOS	604041000000103	K19	1
221191000000117	100	K1542	K154200	Cystitis in bilharziasis	60979006	K15	1
3490731000006119	1	^ESCTSC349073		Schistosomiasis of bladder	60979006		1
101322014	70	AC00-1	AC00.11	Vesical schistosomiasis	60979006	AC0	1
3490701000006110	9	^ESCTSC349070		Schistosoma haematobium infection	60979006		1
502401000006117	7000	K1900	K190000	Bacteriuria	61373006	K19	1
260297011	20000	46U8	46U8.00	Urine culture - Bacteria OS	61373006	46U	1
259850011	30000	46B3	46B3.00	Urine bacteria test positive	61373006	46B	1
103370013	300	K1530	K153000	Acute trigonitis	62199007	K15	1
499700017	300000	1A57	1A57.00	Pain in testicle	63901009	1A5	1
106193019	200000	1A57-1	1A57.11	Testicular pain	63901009	1A5	1
3539111000006117	3	^ESCTOR353911		Orchialgia	63901009		1
3539141000006118	30	^ESCTPA353914		Pain of testes	63901009		1
886981000006115	70	K28z-99	K28z.99	Male genital disorder NOS	63901009	K28	1
248671000006114	70000	K28y8	K28y800	Pain in testis	63901009	K28	1
110401000006114	100000	K28y8-1	K28y811	Testicular pain	63901009	K28	1
499702013	40000	K28z-1	K28z.11	Pain in testis	63901009	K28	1
886751000006113	2000	K152y-99	K152y99	Chronic cystitis	647611000000106	K15	1
107972012	3000	K153-1	K153.11	Follicular cystitis	64956000	K15	1
11878012	10000	1A5D	1A5D.00	Urethral pain	6561007	1A5	1
2604741000006113	100	^ESCTPA260474		Pain in urethra	6561007		1
2604751000006110	1	^ESCTUR260475		Urethralgia	6561007		1
886861000006117	300	K19z-99	K19z.99	Urethral/urinary disorders NOS	666061000000107	K19	1
111573011	800	K1532	K153200	Urethrotrigonitis	67167008	K15	1
221201000000115	2000	K193-1	K193.11	Polyp of urethra	67853001	K19	1
113331011	500000	K150	K150.00	Acute cystitis	68226007	K15	1
886821000006111	2000	K190-99	K190.99	Urine Infection	68566005	K19	1
74781000006117	5000000	K190	K190.00	Urinary tract infection, site not specified	68566005	K19	1
886811000006115	200000	K190-98	K190.98	Urinary tract infection NOS	68566005	K19	1
113884018	300000	K1905	K190500	Urinary tract infection	68566005	K19	1
304323018	900000	K190z	K190z00	Urinary tract infection, site not specified NOS	68566005	K19	1
3615681000006115	100000	^ESCTUR361568		Urinary tract infectious disease	68566005		1
3615701000006117	80000	^ESCTUT361570		UTI - Urinary tract infection	68566005		1
12450015	30000	K193	K193.00	Urethral caruncle	6929003	K19	1
117604016	3000	K19y1	K19y100	Urethral cyst	70795003	K19	1
176671000006112	30000	1A52-1	1A52.11	Renal colic, symptom	7093002	1A5	1
12699010	300000	1A52	1A52.00	Renal colic	7093002	1A5	1
317510011	8000	R080z	R080z00	[D]Renal colic NOS	7093002	R08	1
317508014	3000	R0800	R080000	[D]Renal colic, unspecified	7093002	R08	1
317507016	100000	R080	R080.00	[D]Renal colic	7093002	R08	1
73961000006110	100	K19y0	K19y000	Urethral rupture due to nontraumatic cause	715001	K19	1
2509841000006111	20	^ESCTNO250984		Non-traumatic urethral rupture	715001		1
25071000006117	700	K19C	K19C.00	Other obstructive and reflux uropathy	7163005	K19	1
886841000006116	300	K196-99	K196.99	Urinary obstruction unspecif	7163005	K19	1
396728011	6000	K196	K196.00	Urinary tract obstruction	7163005	K19	1
267841000006113	500	K19X	K19X.00	Obstructive and reflux uropathy, unspecified	7163005	K19	1
267921000006110	5000	K196-1	K196.11	Obstructive uropathy, unspecified	7163005	K19	1
305175014	100	Kyu13	Kyu1300	[X]Obstructive and reflux uropathy, unspecified	7163005	Kyu	1
2614021000006118	40	^ESCTOB261402		Obstructive uropathy	7163005		1
305174013	90	Kyu12	Kyu1200	[X]Other obstructive and reflux uropathy	7163005	Kyu	1
354790018	6000	K1900-1	K190011	Asymptomatic bacteriuria	720406004	K19	1
7803091000006114	1	^ESCTAS780309		ASB - Asymptomatic bacteriuria	720406004		1
1209801015	60000	K1906	K190600	Sepsis due to urinary tract infection	721104000	K19	1
304191018	500	K153z	K153z00	Trigonitis NOS	74445007	K15	1
123644013	6000	K153	K153.00	Trigonitis	74445007	K15	1
124466017	100	K194	K194.00	Urethral false passage	74944002	K19	1
124691012	200	K15y3	K15y300	Malakoplakia of bladder	75073007	K15	1
131354016	200	K1510	K151000	Hunner's ulcer	79160001	K15	1
1217047011	5	K1541	K154100	Cystitis in amoebiasis	8776008	K15	1
150042010	2000	K192	K192.00	Urethral diverticulum	90531003	K19	1
512189014	3000	K197-1	K197.11	Traumatic haematuria	95567008	K19	1
