MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId	Include
2502981000006117	Alcohol-induced persisting dementia	^ESCTAL250298		281004	1558011	NA	32	Ever
2740361000006119	AA - Alcohol abuse	^ESCTAA274036		15167005	477199015	NA	32	Ever
4533231000006117	Very heavy drinker - greater than 9 units/day	^ESCTVE453323		160578007	250315019	NA	17	Ever
3545841000006113	Detoxication therapy for alcoholism	^ESCTDE354584		64297001	106877013	NA	32	Ever
3913321000006111	Drinks heavily	^ESCTDR391332		86933000	507322014	NA	17	Ever
4533441000006111	XS - Excessive alcohol consumption	^ESCTXS453344		160592001	250338016	NA	17	Ever
4722771000006115	Alcohol aversion therapy	^ESCTAL472277		183388004	283452013	NA	32	Ever
2612481000006116	Alcohol hallucinosis	^ESCTAL261248		7052005	12634015	NA	32	Ever
3630091000006111	Wernicke-Korsakoff syndrome	^ESCTWE363009		69482004	115435016	NA	32	Ever
460276013	[V]Personal history of alcoholism	ZV113	ZV11300	371422002	1196720012	NA	32	Ever
379991000006118	[X]Evid alcoh invol determ by level of intox mod alcoh intox	U811	U811.00	25702006	43081018	NA	32	Ever
380001000006112	[X]Evid alcoh invol determ by level of intox sev alcoh intox	U812	U812.00	25702006	43081018	NA	32	Ever
380031000006116	[X]Evid of alcohol involv determind by level of intoxication	U81	U81..00	25702006	43081018	NA	32	Ever
295136019	Unspecified chronic alcoholism	E2310	E231000	66590003	110628016	NA	32	Ever
295765017	[X]Mental and behavioural disorders due to use of alcohol	Eu10	Eu10.00	29212009	48886010	NA	32	Ever
750531000000113	Declined referral to specialist alcohol treatment service	8IAJ	8IAJ.00	380861000000109	750531000000113	NA	32	Ever
507053019	DTs - delirium tremens	E010-1	E010.11	8635005	507053019	NA	32	Ever
1221271018	Alcohol consumption	136	136..00	160573003	1221271018	NA	17	Depends on numeric qualifier  - if zero, "never", if 1+, "ever" (if no value, regard as "missing")
1225183017	Alcohol deterrent poisoning	SLH3	SLH3.00	27134008	1225183017	NA	32	Ever
294662017	Korsakov's alcoholic psychosis with peripheral neuritis	E0111	E011100	191471000	294662017	NA	32	Ever
297011014	Alcoholic encephalopathy	F11x0-1	F11x011	192811002	297011014	NA	32	Ever
110629012	Chronic alcoholism	E231	E231.00	66590003	110629012	NA	32	Ever
250318017	Alcohol consumption unknown	1368	1368.00	160580001	250318017	NA	17	Missing
250322010	Ex-light drinker - (1-2u/day)	136B	136B.00	160583004	250322010	NA	17	Ever
250324011	Ex-heavy drinker - (7-9u/day)	136D	136D.00	160585006	250324011	NA	17	Ever
629821000006117	Drinks rarely	1362-1	1362.11	266917007	397729013	NA	17	Ever
217461000000118	Current non drinker	136M	136M.00	105542008	2659856015	NA	17	Never
5086741000006114	AH - Alcoholic hepatitis	^ESCTAH508674		235875008	353588011	NA	32	Ever
3859091000006114	Dilated cardiomyopathy secondary to alcohol	^ESCTDI385909		83521008	138526017	NA	32	Ever
4533361000006116	Drinker of hard liquor	^ESCTDR453336		160588008	2532138012	NA	17	Ever
3630171000006111	Alcoholic amnestic syndrome	^ESCTAL363017		69482004	501300010	NA	32	Ever
2658601000006116	Acute alcoholic liver disease	^ESCTAC265860		9953008	17389017	NA	32	Ever
3630141000006115	Korsakov syndrome - alcoholic	^ESCTKO363014		69482004	501297017	NA	32	Ever
2911301000006110	Drunk	^ESCTDR291130		25702006	483025014	NA	32	Ever
4120371000006112	Non - drinker alcohol	^ESCTNO412037		105542008	2659854017	NA	17	Never
3315061000006110	Alcoholic fatty liver disease	^ESCTAL331506		50325005	3027285017	NA	32	Ever
2612491000006118	Alcohol-induced psychotic disorder with hallucinations	^ESCTAL261249		7052005	12635019	NA	32	Ever
2612511000006112	Alcohol induced hallucinosis	^ESCTAL261251		7052005	2951803016	NA	32	Ever
3182581000006111	Alcoholic psychosis	^ESCTAL318258		42344001	70658014	NA	32	Ever
3545831000006115	Detoxication psychiatric therapy for alcoholism	^ESCTDE354583		64297001	2160425017	NA	32	Ever
3024501000006114	Hangover effect	^ESCTHA302450		32553006	54362018	NA	32	Ever
362971000006117	[X]Alcoholic paranoia	Eu105-3	Eu10513	42344001	70655012	NA	32	Ever
380021000006119	[X]Evid alcoh invol detrm by pres alcoh in bld levl not spec	U80z	U80z.00	25702006	43081018	NA	32	Ever
294673012	Other alcoholic psychosis	E01y	E01y.00	42344001	70655012	NA	32	Ever
1738421000000111	Lower risk drinking	136d	136d.00	777671000000105	1738421000000111	NA	17	Ever
882531000006110	Non-dependent abuse of alcohol	E250-99	E250.99	268645007	882531000006110	NA	32	Ever
739501000000112	Advised to contact primary care alcohol worker	8CAv	8CAv.00	375941000000101	739501000000112	NA	32	Ever
299061000000117	Hazardous alcohol use	136S	136S.00	198421000000108	299061000000117	NA	17	Ever
2549849017	Alcohol induced hallucinations	1B1c	1B1c.00	417633001	2549849017	NA	27	Ever
478046010	Cerebellar ataxia due to alcoholism	F1440	F144000	361272001	478046010	NA	32	Ever
294671014	Pathological alcohol intoxication	E014	E014.00	191477001	294671014	NA	32	Ever
295129015	Continuous acute alcoholic intoxication in alcoholism	E2301	E230100	191804003	295129015	NA	32	Ever
144179014	Heavy drinker	136P	136P.00	86933000	144179014	NA	17	Ever
250331010	Spirit drinker	136F	136F.00	160588008	250331010	NA	17	Ever
315091000000117	[X]Alcohol withdrawal-induced seizure	Eu108	Eu10800	308742005	452061016	NA	32	Ever
397811000006119	[X]Mental and behav dis due to use alcohol: withdrawal state	Eu103	Eu10300	191480000	294674018	NA	32	Ever
542611000006114	Cerebral degeneration due to alcoholism	F11x0	F11x000	192811002	297011014	NA	32	Ever
1680131000006113	Extended intervention for excessive alcohol consumptn complt	9k1B	9k1B.00	366421000000103	691701000000115	NA	37	Ever
370961000006119	[X]Chronic alcoholic brain syndrome	Eu107-2	Eu10712	191475009	294668018	NA	32	Ever
2911291000006114	Acute alcohol intoxication	^ESCTAC291129		25702006	483024013	NA	32	Ever
3954811000006119	Toxic effect of denatured alcohol	^ESCTTO395481		89507002	148402019	NA	32	Ever
2626141000006112	Alcoholic polyneuropathy	^ESCTAL262614		7916009	14103017	NA	32	Ever
3182591000006114	Alcohol induced psychosis	^ESCTAL318259		42344001	2951763010	NA	32	Ever
6947461000006115	Alcoholic cirrhosis	^ESCTAL694746		420054005	2576981019	NA	32	Ever
2740351000006116	Ethanol abuse	^ESCTET274035		15167005	477198011	NA	31	Ever
4120351000006119	Does not drink alcohol	^ESCTDO412035		105542008	291354017	NA	17	Never
2502971000006115	Dementia associated with alcoholism	^ESCTDE250297		281004	1557018	NA	32	Ever
4763141000006111	Korsakov alcoholic psychosis with peripheral neuritis	^ESCTKO476314		191471000	2839024016	NA	32	Ever
753331000006118	Korsakov's alcoholic psychosis	E0110	E011000	69482004	501296014	NA	32	Ever
223671000000110	Hangover (alcohol)	E250-2	E250.12	32553006	485256013	NA	32	Ever
295132017	Acute alcoholic intoxication in alcoholism NOS	E230z	E230z00	191802004	295127018	NA	32	Ever
295251015	Nondependent alcohol abuse, unspecified	E2500	E250000	268645007	401797010	NA	32	Ever
2474678017	Alcohol disorder monitoring	66e	66e..00	413130000	2474678017	NA	1	Ever
1235465011	Denatured alcohol causing toxic effect	SM001	SM00100	89507002	1235465011	NA	32	Ever
453265010	Oesophageal varices in alcoholic cirrhosis of the liver	G8523	G852300	309783001	453265010	NA	32	Ever
250314015	Heavy drinker - 7-9u/day	1365	1365.00	160577002	250314015	NA	17	Ever
250333013	Drinks beer and spirits	136H	136H.00	160590009	250333013	NA	17	Ever
362931000006115	[X]Alcohol deterrents caus adverse effects in therapeut use	U60H3	U60H300	292416003	432554017	NA	5	Ever
397241000006119	[X]Men & behav dis due to use alcohol: oth men & behav dis	Eu10y	Eu10y00	29212009	48886010	NA	32	Ever
397621000006111	[X]Mental & behav dis due to use alcohol: psychotic disorder	Eu105	Eu10500	42344001	70655012	NA	32	Ever
476411000006118	Alcohol consumption NOS	136Z	136Z.00	160573003	1221271018	NA	17	Ever
476611000006116	Alcoholic cirrhosis of liver	J612	J612.00	420054005	2920441014	NA	32	Ever
476741000006111	Alcoholic psychoses	E01	E01..00	42344001	70655012	NA	32	Ever
1704281000006117	Brief intervention for excessive alcohol consumptn declined	8IAF	8IAF.00	379411000000105	747421000000114	NA	32	Ever
4533161000006119	Ethanol intake	^ESCTET453316		160573003	1221269018	NA	17	Depends on numeric qualifier  - if zero, "never", if 1+, "ever" (if no value, regard as "missing")
8458811000006112	Alcohol units consumed per week	^ESCTAL845881		1082641000000106	8458811000006112	NA	17	Depends on numeric qualifier  - if zero, "never", if 1+, "ever" (if no value, regard as "missing")
3630101000006117	Amnestic syndrome of Wernicke's disease	^ESCTAM363010		69482004	115436015	NA	32	Ever
3630151000006118	Korsakov psychosis	^ESCTKO363015		69482004	501298010	NA	32	Ever
4533331000006113	Ex-very heavy drinker - greater than 9 units/day	^ESCTEX453333		160587003	250330011	NA	17	Ever
5992721000006114	Esophageal varices in alcoholic cirrhosis of the liver	^ESCTES599272		309783001	453266011	NA	32	Ever
5087751000006113	Chronic pancreatitis due to acute alcohol intoxication	^ESCTCH508775		235952002	3078939011	NA	32	Ever
3024491000006118	Hangover	^ESCTHA302449		32553006	54361013	NA	32	Ever
346501000006111	[V]Problems related to lifestyle alcohol use	ZV113-1	ZV11311	371422002	1196720012	NA	32	Ever
362961000006112	[X]Alcoholic jealousy	Eu105-2	Eu10512	42344001	70655012	NA	32	Ever
362981000006119	[X]Alcoholic psychosis NOS	Eu105-4	Eu10514	42344001	70655012	NA	32	Ever
397801000006117	[X]Mental and behav dis due to use alcohol: dependence syndr	Eu102	Eu10200	66590003	500478011	NA	32	Ever
397881000006114	[X]Mental and behav dis due to use of alcohol: harmful use	Eu101	Eu10100	15167005	25750014	NA	32	Ever
4533151000006116	AI - Alcohol intake	^ESCTAI453315		160573003	1221268014	NA	17	Depends on numeric qualifier  - if zero, "never", if 1+, "ever" (if no value, regard as "missing")
294675017	Other alcoholic psychosis NOS	E01yz	E01yz00	42344001	70655012	NA	32	Ever
294676016	Alcoholic psychosis NOS	E01z	E01z.00	42344001	70655012	NA	32	Ever
622961000000116	Referral to specialist alcohol treatment service	8HkG	8HkG.00	431260004	2768649019	NA	40	Ever
299081000000114	Harmful alcohol use	136T	136T.00	198431000000105	299081000000114	NA	17	Ever
606991000000117	Alcohol misuse	136W	136W.00	15167005	606991000000117	NA	17	Ever
500478011	Alcohol dependence syndrome	E23	E23..00	66590003	500478011	NA	32	Ever
4533191000006110	Alcoholic drink intake	^ESCTAL453319		160573003	1221272013	NA	17	Ever
342361016	Drinks in morning to get rid of hangover	136Y	136Y.00	228310006	342361016	NA	17	Ever
342366014	Binge drinker	136R	136R.00	228315001	342366014	NA	17	Ever
342421016	Feels should cut down drinking	136b	136b.00	228362008	342421016	NA	17	Ever
353698013	Alcohol-induced chronic pancreatitis	J6710	J671000	235952002	353698013	NA	32	Ever
294674018	Alcohol withdrawal syndrome	E01y0	E01y000	191480000	294674018	NA	32	Ever
295141010	Episodic chronic alcoholism	E2312	E231200	191812006	295141010	NA	32	Ever
295254011	Nondependent alcohol abuse in remission	E2503	E250300	191884001	295254011	NA	32	Ever
250312016	Light drinker - 1-2u/day	1363	1363.00	160575005	250312016	NA	17	Ever
250316018	Very heavy drinker - >9u/day	1366	1366.00	160578007	250316018	NA	17	Ever
73012011	Moderate drinker	136O	136O.00	43783005	73012011	NA	17	Ever
346929012	Alcoholic dementia NOS	E012-1	E012.11	281004	1225776018	NA	32	Ever
5111821000006113	Alcohol-induced pseudo-Cushing syndrome	^ESCTAL511182		237738005	2839691016	NA	15	Ever
6947471000006110	Alcoholic liver cirrhosis	^ESCTAL694747		420054005	2912539019	NA	32	Ever
3688931000006118	Alcohol-induced persisting amnestic disorder	^ESCTAL368893		73097000	121406019	NA	32	Ever
4533271000006119	Ex-trivial drinker - less than 1 unit/day	^ESCTEX453327		160582009	250320019	NA	17	Ever
2969641000006116	Alcohol-related disorder	^ESCTAL296964		29212009	48889015	NA	32	Ever
4723831000006118	Admitted to alcohol detoxification center	^ESCTAD472383		183486001	283558010	NA	40	Ever
