medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Hearing
3486101000006114	70	^ESCTSE348610		Sensory-neural hearing loss	60700002		1
100857010	3000	F591-3	F591.13	Perceptive deafness	60700002	F59	1
299255015	3000	F5910	F591000	Unspecified perceptive hearing loss	60700002	F59	1
299262012	800	F591z	F591z00	Perceptive hearing loss NOS	60700002	F59	1
3486091000006115	10	^ESCTSE348609		Sensory-neural deafness	60700002		1
299550012	70	FyuU0	FyuU000	[X]Deaf mutism, not elsewhere classified	61947007	Fyu	1
299265014	3000	F593	F593.00	Deaf mutism	61947007	F59	1
883901000006119	20000	F59z-99	F59z.99	Hearing loss NOS	679391000000103	F59	1
113719012	80	F5913	F591300	Central hearing loss	68467004	F59	1
3614181000006114	10	^ESCTCE361418		Central auditory dysfunction	68467004		1
883891000006118	200	F593-99	F593.99	Deaf mutism NOS	694231000000100	F59	1
1173591000000110	100	F5918	F591800	Congenital prelingual deafness	699238006	F59	1
2226361000000117	1000	F591B	F591B00	Profound sensorineural hearing loss	700454004	F59	1
502417018	3000	F5912-1	F591211	Nerve deafness	73371001	F59	1
121849011	4000	F5912	F591200	Neural hearing loss	73371001	F59	1
1173611000000119	6000	F597	F597.00	Mild acquired hearing loss	737047001	F59	1
1173631000000110	2000	F598	F598.00	Moderate acquired hearing loss	737048006	F59	1
1173651000000115	700	F599	F599.00	Severe acquired hearing loss	737049003	F59	1
1668111000000114	10	F59A-1	F59A.11	Deafened	737050003	F59	1
1173671000000112	1000	F59A	F59A.00	Profound acquired hearing loss	737050003	F59	1
1234121015	500	F592-99	F592.99	Mixed deafness	77507001	F59	1
1234118017	7000	F592	F592.00	Mixed conductive and sensorineural deafness	77507001	F59	1
3761211000006116	1000	^ESCTMI376121		Mixed conductive AND sensorineural hearing loss	77507001		1
3761251000006115	1	^ESCTMH376125		MHL - Mixed hearing loss	77507001		1
1234119013	9000	F592-1	F592.11	Mixed hearing loss	77507001	F59	1
3890851000006110	7	^ESCTCO389085		Cochlear hearing loss	85571008		1
3890861000006112	4	^ESCTIN389086		Inner ear hearing loss	85571008		1
141844010	7000	F5911	F591100	Sensory hearing loss	85571008	F59	1
2226281000000117	3000	F591C	F591C00	Moderate sensorineural hearing loss	860801000000109	F59	1
2226301000000116	1000	F591E	F591E00	Severe sensorineural hearing loss	860811000000106	F59	1
2226381000000114	5000	F591D	F591D00	Mild sensorineural hearing loss	860851000000105	F59	1
2264121000000111	1000	F5919	F591900	Bilateral profound sensorineural hearing loss	877191000000104	F59	1
2264161000000115	900	F591A	F591A00	Bilateral congenital sensorineural hearing loss	877211000000100	F59	1
622201000000110	60	F596	F596.00	Maternally inherited deafness	95828007	F59	1
512317011	3000	F5914	F591400	Congenital sensorineural deafness	95828007	F59	1
4062831000006115	200	^ESCTCO406283		Congenital deafness	95828007		1
