medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	EyeProblems
24672013	1000	F4E40-2	F4E4012	Lid retraction	14520009	F4E	1
25482013	100000	F4K29	F4K2900	Vitreous floaters	15013002	F4K	1
883601000006112	6000	F4K29-99	F4K2999	Vitreous floaters/opacities	15013002	F4K	1
25807010	9000	F4811	F481100	Sudden visual loss	15203004	F48	1
26213016	2000	F484A	F484A00	Arcuate scotoma	15462009	F48	1
2745201000006116	1	^ESCTAR274520		Arcuate defects	15462009		1
253059015	200000	1B7	1B7..00	Visual symptoms	162274004	1B7	1
253069014	40000	1B7Z	1B7Z.00	Visual symptom NOS	162274004	1B7	1
253061012	100000	1B71	1B71.00	No visual symptom	162275003	1B7	1
4547531000006113	2000	^ESCTSE454753		Sees flashes	162277006		1
253064016	50000	1B73	1B73.00	Flashing lights seen	162277006	1B7	1
762051000006113	100000	1B74	1B74.00	Floaters in visual field	162278001	1B7	1
253067011	40000	1B76	1B76.00	Temporary visual disturbance	162279009	1B7	1
253084017	90000	1B86	1B86.00	Has an itchy eye	162288000	1B8	1
758811000006111	200000	1B86-1	1B86.11	Itchy eye symptom	162288000	1B8	1
253092014	1000000	1B88	1B88.00	Dry eyes	162290004	1B8	1
807261000006119	30000	F4F14-2	F4F1412	Gritty eye	162290004	F4F	1
30991010	100	F481M	F481M00	Prosopagnosia	18358003	F48	1
4772611000006115	40	^ESCTST477261		Stimulus deprivation amblyopia	193638002		1
21559016	2000	F480	F480.00	Amblyopia ex anopsia	193638002	F48	1
4772631000006114	1	^ESCTDI477263		Disuse ambylopia	193638002		1
298162012	100	F4802	F480200	Deprivation amblyopia	193638002	F48	1
298185013	70	F4831	F483100	Binocular vision suppression	193659009	F48	1
298188010	700	F4835	F483500	Oculomotor apraxia	193662007	F48	1
2535852016	100	F4835-2	F483512	Oculomotor dyspraxia	193662007	F48	1
298199012	1000	F4845	F484500	Blind spot scotoma	193670002	F48	1
298203012	200	F4848	F484800	Blind spot area scotoma NOS	193670002	F48	1
298200010	40	F4846	F484600	Paracaecal scotoma	193671003	F48	1
298202019	10	F4847	F484700	Angioscotoma	193672005	F48	1
4772741000006110	4	^ESCTHO477274		Homonymous quadrantanopia	193679001		1
298213016	5000	F484J	F484J00	Homonymous quadrant anopia	193679001	F48	1
573891000006110	8000	F485-1	F485.11	Colour blindness	193683001	F48	1
883341000006116	300	F485-99	F485.99	Colour vision deficiencies	193683001	F48	1
298226017	3000	F485z	F485z00	Colour blindness NOS	193683001	F48	1
298229012	20	F4861	F486100	Oguchi's disease	193687000	F48	1
298232010	100	F4865	F486500	Abnormal rod or cone threshold	193690006	F48	1
298233017	20	F4866	F486600	Delayed rod or cone adaption	193691005	F48	1
4773531000006115	6	^ESCTSE477353		Sensory disorder of eyelid	193950006		1
298604011	50	F4E42	F4E4200	Sensory disorders of eyelid	193950006	F4E	1
298605012	2000	F4E43	F4E4300	Deficient blink reflex	193951005	F4E	1
298607016	100	F4E45	F4E4500	Ankyloblepharon	193953008	F4E	1
298615018	20	F4E5z	F4E5z00	Degenerative disorders of eyelids and periocular area NOS	193956000	F4E	1
298610011	60	F4E5	F4E5.00	Degenerative disorders of eyelids and periocular area	193956000	F4E	1
298621019	100000	F4Ey7	F4Ey700	Swelling of eyelid	193967004	F4E	1
298875010	7	F4K25	F4K2500	Hyalitis punctata	194151003	F4K	1
298880018	300	F4K2D	F4K2D00	Vitreous syndrome following cataract surgery	194156008	F4K	1
298896015	2	F4K45	F4K4500	Non-syphilitic Argyll Robertson pupil	194168004	F4K	1
298908012	20	F4K57	F4K5700	Abnormal optokinetic response	194175003	F4K	1
298909016	30	F4K58	F4K5800	Smooth pursuit movement deficiency	194176002	F4K	1
298911013	20	F4K59	F4K5900	Opoclonia	194177006	F4K	1
4774341000006118	9	^ESCTOP477434		Opsoclonia	194177006		1
298916015	400	F4K7	F4K7.00	Retrobulbar haemorrhage	194179009	F4K	1
35032019	500	F4E03	F4E0300	Spastic entropion	20828000	F4E	1
4861931000006118	60	^ESCTCO486193		Contusion of globe of eye	211483007		1
322766017	900	SE13	SE13.00	Contusion, eyeball	211483007	SE1	1
989921000006119	20	SE13-99	SE13.99	Bruise - eye	211483007	SE1	1
298608014	400	F4E46	F4E4600	Other blepharophimosis	21480008	F4E	1
2841561000006118	5	^ESCTAC284156		Acquired blepharophimosis	21480008		1
36151015	2000	SD811	SD81100	Superficial laceration of cornea	21549001	SD8	1
36558016	7	F4E22	F4E2200	Mechanical lagophthalmos	21783006	F4E	1
481169011	20	F4K13	F4K1300	Anterior localised staphyloma	21946002	F4K	1
2851481000006114	30	^ESCTDI285148		Disorder of binocular eye movements	22066006		1
299501018	20	FyuK0	FyuK000	[X]Other paralytic strabismus	22066006	Fyu	1
298809015	100	F4J3	F4J3.00	Other and unspecified heterotropia	22066006	F4J	1
298815015	20	F4J37	F4J3700	Monofixation syndrome unspecified	22066006	F4J	1
298835019	100	F4J72	F4J7200	Strabismus due to other neuromuscular disorder	22066006	F4J	1
298851010	100	F4Jyz	F4Jyz00	Other disorder of binocular eye movement NOS	22066006	F4J	1
298828010	100	F4J5z	F4J5z00	Paralytic squint NOS	22066006	F4J	1
399487018	700	F4Jy9	F4Jy900	Other eye movement dissociation or deviation	22066006	F4J	1
298852015	20000	F4Jz	F4Jz.00	Strabismus	22066006	F4J	1
298817011	4000	F4J3z	F4J3z00	Squint	22066006	F4J	1
298190011	100	F483z	F483z00	Other binocular vision disturbance NOS	22066006	F48	1
298833014	700	F4J7	F4J7.00	Other specified strabismus	22066006	F4J	1
299504014	20	FyuK3	FyuK300	[X]Other specified disorders of binocular movement	22066006	Fyu	1
299503015	500	FyuK2	FyuK200	[X]Other specified strabismus	22066006	Fyu	1
399486010	500	F4Jy	F4Jy.00	Other disorders of binocular eye movements	22066006	F4J	1
128551000006117	70000	F4J	F4J..00	Strabismus and other disorders of binocular eye movements	22066006	F4J	1
298836018	400	F4J7z	F4J7z00	Other specified strabismus NOS	22066006	F4J	1
298183018	900	F483	F483.00	Other binocular vision disorders	22066006	F48	1
4849012	2000	F4813	F481300	Scintillating scotoma	2228002	F48	1
4943561000006116	20	^ESCTEY494356		Eyesight deteriorating	225581002		1
4943551000006118	4000	^ESCTSI494355		Sight deteriorating	225581002		1
4943581000006114	8	^ESCTDE494358		Decreased vision	225581002		1
338995019	60000	1B77	1B77.00	Deteriorating vision	225581002	1B7	1
660901000006118	5000	SE11-3	SE11.13	Injury to eyelid	231813003	SE1	1
898221000006110	200	SE11-99	SE11.99	Bruise - eyelids	231814009	SE1	1
526951000006116	1000	SE11-1	SE11.11	Contusion of eyelid	231814009	SE1	1
438201000006116	2000	SD800-1	SD80011	Abrasion of eyelid	231815005	SD8	1
298871018	80	F4K15	F4K1500	Other scleral degenerative disorders	231872000	F4K	1
299442018	500	FyuD0	FyuD000	Episcleral and scleral disorder	231872000	Fyu	1
298872013	900	F4K1z	F4K1z00	Other scleral disorders NOS	231872000	F4K	1
399490012	700	F4K1	F4K1.00	Other disorders of sclera	231872000	F4K	1
425741000006117	10	FyuD8	FyuD800	[X]Scleritis+episcleritis in diseases CE	231872000	Fyu	1
347458011	6	F4K07-1	F4K0711	Sclerotenonitis	231874004	F4K	1
322710017	1000	SD81z	SD81z00	Superficial injury of cornea NOS	231939004	SD8	1
5029581000006112	20	^ESCTIN502958		Injury of cornea	231939004		1
347739015	4	F4K2F-1	F4K2F11	Vitreous amyloid	232076001	F4K	1
347738011	8	F4K2F	F4K2F00	Amyloid of vitreous	232076001	F4K	1
156141000006113	10000	F484-1	F484.11	Scotoma	23388006	F48	1
298207013	1000	F484F	F484F00	Visual field scotoma	23388006	F48	1
2873031000006117	2	^ESCTBL287303		Blind spot	23388006		1
499732017	80000	F4E51	F4E5100	Xanthelasma	238951005	F4E	1
2882201000006117	40	^ESCTMO288220		Moll's gland cyst	23951003		1
481769019	6000	F4Ey8	F4Ey800	Cyst of Moll	23951003	F4E	1
399453011	300000	F48y0	F48y000	Blurred vision	240091000000105	F48	1
40305018	10000	F4K30	F4K3000	Aphakia	24010005	F4K	1
734661000006116	70000	1B75	1B75.00	Loss of vision	240311000000103	1B7	1
399455016	50000	F49z	F49z.00	Visual loss NOS	240311000000103	F49	1
2886431000006113	1	^ESCTTO288643		Tonic pupil	24225004		1
1223224016	9000	F4K46	F4K4600	Adie's pupil syndrome	24225004	F4K	1
2886471000006111	1	^ESCTHO288647		Holmes-Adie syndrome	24225004		1
2886461000006116	60	^ESCTHO288646		Holmes-Adie pupil	24225004		1
2886421000006110	3	^ESCTAD288642		Adie's pupil	24225004		1
298897012	600	F4K47	F4K4700	Tonic pupillary reaction	24225004	F4K	1
298204018	6	F4849	F484900	Siedel's scotoma	24370009	F48	1
631921000006112	500	F48y0-2	F48y012	Dull vision NOS	246635007	F48	1
5232971000006115	3	^ESCTDI523297		Dim vision	246635007		1
570481000006117	4000	F48y0-1	F48y011	Cloudy vision	246636008	F48	1
5232991000006119	400	^ESCTHA523299		Hazy vision	246636008		1
5233031000006114	10	^ESCTMI523303		Misty vision	246636008		1
5233001000006118	20	^ESCTFO523300		Foggy vision	246636008		1
622821000006114	30000	1B83-1	1B83.11	Discharge from eye	246679005	1B8	1
5233721000006113	20	^ESCTRU523372		Runny eye - discharging	246679005		1
5233711000006117	2	^ESCTST523371		Sticky eye - discharging	246679005		1
298927018	20000	F4Kz5	F4Kz500	Finding of discharge of eye	246679005	F4K	1
368489018	500000	F4C03-1	F4C0311	Sticky eye	246679005	F4C	1
368991016	100000	F4K2E	F4K2E00	Posterior vitreous detachment	247081001	F4K	1
5238951000006110	300	^ESCTPV523895		PVD - Posterior vitreous detachment	247081001		1
622011000006112	70000	F482	F482.00	Diplopia (double vision)	24982008	F48	1
41870012	80000	1B72-1	1B72.11	Diplopia	24982008	1B7	1
622021000006116	50000	1B72	1B72.00	Diplopia/double vision	24982008	1B7	1
41871011	30000	1B72-2	1B72.12	Double vision	24982008	1B7	1
883331000006114	3000	F482-99	F482.99	Diplopia - double vision	24982008	F48	1
2899551000006113	60	^ESCTRE289955		Retained foreign body of eyelid	25012008		1
660921000006111	4000	F4Ey6	F4Ey600	Foreign body in eyelid	25012008	F4E	1
255055012	4	29KZ	29KZ.00	O/E - visual agnosia NOS	25762009	29K	1
43172010	80	F481H	F481H00	Visual agnosia	25762009	F48	1
44644012	200	F4K04	F4K0400	Scleromalacia perforans	26664005	F4K	1
397982012	80000	1B81	1B81.00	Has a squint	267089008	1B8	1
132091000006117	70000	1B81-1	1B81.11	Squint - symptom	267089008	1B8	1
397983019	7000	1B82	1B82.00	Has drooping eyelids	267090004	1B8	1
397986010	60000	1B83	1B83.00	Has eye discharge	267092007	1B8	1
397987018	200000	1B85	1B85.00	Has a red eye	267093002	1B8	1
399451013	300	F484G	F484G00	Generalised visual contraction	267628004	F48	1
5501481000006118	1	^ESCTGE550148		Generalised visual field constriction	267628004		1
399477017	20000	F4E0	F4E0.00	Entropion and trichiasis of eyelid	267649003	F4E	1
883481000006118	2000	F4E0-99	F4E0.99	Entropion	267649003	F4E	1
298581013	3000	F4E0z	F4E0z00	Entropion or trichiasis of eyelid NOS	267649003	F4E	1
399488011	20000	F4K0	F4K0.00	Scleritis and episcleritis	267659002	F4K	1
298867016	3000	F4K0z	F4K0z00	Scleritis or episcleritis NOS	267659002	F4K	1
883591000006116	4000	F4K0-99	F4K0.99	Scleritis/episcleritis	267659002	F4K	1
399489015	1000	F4K07	F4K0700	Posterior scleritis	267660007	F4K	1
399493014	5000	F4K5	F4K5.00	Nystagmus and other irregular eye movements	267664003	F4K	1
298912018	900	F4K5z	F4K5z00	Nystagmus or other irregular eye movement NOS	267664003	F4K	1
403003017	500	SD800	SD80000	Abrasion or friction burn of eyelids and periocular area	269209005	SD8	1
897951000006112	50	SD800-99	SD80099	Abrasion: eyelids	269209005	SD8	1
5510811000006116	20	^ESCTAB551081		Abrasion and/or friction burn of eyelids and/or periocular area	269209005		1
897961000006114	4	SD801-99	SD80199	Blister: eyelids	269210000	SD8	1
5510831000006110	6	^ESCTTR551083		Traumatic blister of eyelids and periocular area	269210000		1
403005012	80	SD801	SD80100	Blister of eyelids and periocular area	269210000	SD8	1
897971000006119	20	SD802-99	SD80299	Insect bite:eyelids -non-venom	269211001	SD8	1
403006013	300	SD802	SD80200	Insect bite of eyelids and periocular area	269211001	SD8	1
897981000006116	1	SD803-99	SD80399	Splinter: eyelids	269212008	SD8	1
403007016	30	SD803	SD80300	Splinter of eyelids and periocular area	269212008	SD8	1
222481000000119	20	SD803-1	SD80311	Splinter of eyelid	269369009	SD8	1
5532861000006113	9	^ESCTCO553286		Complaining of excess tears	272031009		1
407073019	3000	1B87-1	1B87.11	C/O - excess tears	272031009	1B8	1
5532881000006115	100	^ESCTCO553288		Complaining of watering eyes	272032002		1
407074013	30000	1B87-2	1B87.12	C/O - watering eyes	272032002	1B8	1
415412016	300	SD802-1	SD80211	Insect bite of eyelid	278487002	SD8	1
325302014	5000	Syu0B	Syu0B00	[X]Other injuries of eye and orbit	282752000	Syu	1
660621000006118	200000	SE1z-1	SE1z.11	Injury of eye region	282752000	SE1	1
48941000006119	2000	S81-2	S81..12	Open wound of eye	282752000	S81	1
5668661000006113	1	^ESCTPE566866		Periocular injury	282752000		1
325303016	1000	Syu0C	Syu0C00	[X]Injury of eye and orbit, part unspecified	282752000	Syu	1
48414011	2000	F4E14	F4E1400	Cicatricial ectropion	28914006	F4E	1
520441000000115	9000	1B8A	1B8A.00	Foreign body sensation in eye	295521000000104	1B8	1
5885891000006118	8	^ESCTMA588589		Mass of eye structure	300849006		1
298925014	200	F4Kz3	F4Kz300	Mass of eye NOS	300849006	F4K	1
5885911000006116	5	^ESCTEY588591		Eye lump	300849006		1
5913751000006112	20	^ESCTTR591375		Traumatic blister of eyelid	302966002		1
445009017	400	SD801-1	SD80111	Blister of eyelid	302966002	SD8	1
50902016	90	F4E31	F4E3100	Paralytic ptosis	30410001	F4E	1
6160015	300	F4K2C	F4K2C00	Vitreous prolapse	3044008	F4K	1
660771000006110	3000000	1B8	1B8..00	Eye symptom	308923001	1B8	1
253093016	500000	1B8Z	1B8Z.00	Eye symptom NOS	308923001	1B8	1
5983461000006117	8	^ESCTEY598346		Eye symptom finding	308923001		1
778341000006118	7000	F4E07	F4E0700	Ingrowing eyelash of lower eyelid	309777004	F4E	1
778351000006116	10000	F4E06	F4E0600	Ingrowing eyelash of upper eyelid	309778009	F4E	1
52155016	200	F4K01	F4K0100	Episcleritis periodica fugax	31166000	F4K	1
456073018	6	F4836	F483600	Cerebral akinetopsia	312372003	F48	1
3005201000006116	1	^ESCTVH300520		VH - Vitreous haemorrhage	31341008		1
3005211000006118	1	^ESCTVH300521		VH - Vitreous hemorrhage	31341008		1
3005181000006117	1	^ESCTIN300518		Intragel vitreous haemorrhage	31341008		1
299491012	400	FyuH4	FyuH400	[X]Vitreous haemorrhage in diseases classified elsewhere	31341008	Fyu	1
3005171000006115	5	^ESCTVI300517		Vitreous hemorrhage	31341008		1
484848010	60000	F4K28	F4K2800	Vitreous haemorrhage	31341008	F4K	1
54949012	90	F4833	F483300	Fusion with defective stereopsis	32919003	F48	1
485392014	70	F4842	F484200	Centrocaecal scotoma	33014001	F48	1
55161014	2000	F484D	F484D00	Peripheral visual field defect	33048000	F48	1
298575017	30000	F4E00	F4E0000	Entropion	33168009	F4E	1
3033711000006117	4	^ESCTEY303371		Eyelid inverted	33168009		1
3033741000006118	40	^ESCTEN303374		Entropion of eyelid	33168009		1
3033721000006113	20	^ESCTEY303372		Eyelashes turned in	33168009		1
56892016	30000	F484H	F484H00	Homonymous hemianopia	34063005	F48	1
3048601000006119	1	^ESCTHO304860		Homonymous bilateral visual field defects	34063005		1
59397018	5000	F4801	F480100	Strabismic amblyopia	35600002	F48	1
59398011	300	F4801-1	F480111	Suppression amblyopia	35600002	F48	1
299515016	7	FyuM5	FyuM500	Visual system complication of procedure	363342003	Fyu	1
212301000006118	90	F4KX	F4KX.00	Postprocedural disorder of eye and adnexa, unspecified	363342003	F4K	1
486502012	90	F4E41-1	F4E4111	Jaw blinking	36603006	F4E	1
898201000006117	400	SE1-99	SE1..99	Bruise - eye	367423000	SE1	1
322757016	30000	SE10	SE10.00	Black eye	367423000	SE1	1
403011010	20000	SE1z	SE1z.00	Contusion of eye	367423000	SE1	1
1785232011	5000	SE1-1	SE1..11	Bruise of eye	367423000	SE1	1
298220011	6000	F485	F485.00	Colour vision deficiency	367469000	F48	1
298170019	3000	F4814	F481400	Transient visual loss	36994005	F48	1
6354031000006117	4	^ESCTDI635403		Disorder of globe	371405004		1
297718010	100	F40z	F40z.00	Disorders of globe NOS	371405004	F40	1
409641000006119	8	FyuDB	FyuDB00	[X]Other disorders/sclera+cornea in diseases CE	371405004	Fyu	1
883221000006116	4000	F4-99	F4...99	Eye diseases	371405004	F4.	1
17751000006114	40000	F4K	F4K..00	Eye disorder	371405004	F4K	1
297717017	30	F40yz	F40yz00	Other disorders of globe NOS	371405004	F40	1
6354021000006115	1	^ESCTDI635402		Disease of eyeball	371405004		1
299489016	50	FyuH3	FyuH300	[X]Other disorders of globe	371405004	Fyu	1
624691000006118	500	F40	F40..00	Disorders of the globe	371405004	F40	1
394631000006115	30	FyuD9	FyuD900	[X]Keratitis+keratoconjunctivitis/oth infect parasitc dis CE	371405004	Fyu	1
297716014	200	F40y	F40y.00	Other disorders of globe	371405004	F40	1
409571000006111	9	FyuH6	FyuH600	[X]Other disorders of vitreous body+globe in diseases CE	371405004	Fyu	1
298015019	400	F4477	F447700	Pupillary membranes NOS	371405004	F44	1
299488012	6	FyuH2	FyuH200	[X]Other degenerative disorders of globe	371405004	Fyu	1
460634010	300000	ZV411	ZV41100	Disorder of eye	371405004	ZV4	1
298920016	2000	F4Kz0	F4Kz000	Unspecified disorder of eye	371405004	F4K	1
785701000006115	10000	F4Kzz	F4Kzz00	Ill-defined eye disorder NOS	371405004	F4K	1
299485010	100	FyuH	FyuH.00	[X]Disorders of vitreous body and globe	371405004	Fyu	1
299441013	200	FyuD	FyuD.00	[X]Disorders of sclera, cornea, iris and ciliary body	371405004	Fyu	1
299514017	5	FyuM4	FyuM400	[X]Other postprocedural disorders of eye and adnexa	371409005	Fyu	1
299513011	100	FyuM3	FyuM300	[X]Other disorders of eye in diseases classified elsewhere	371409005	Fyu	1
624451000006110	600000	F4	F4...00	Disorder of eye region	371409005	F4.	1
32451000006114	400	F4Ky	F4Ky.00	Other disorders of eye or adnexa	371409005	F4K	1
377581000006116	100	FyuK	FyuK.00	[X]Disorders of ocular muscles, binocular movement, accommodation and refraction	371409005	Fyu	1
299509016	100	FyuM	FyuM.00	[X]Other disorders of eye and adnexa	371409005	Fyu	1
624711000006115	3000	F4G	F4G..00	Disorders of the orbit	371409005	F4G	1
408681000006119	10	FyuB2	FyuB200	[X]Other degenerative disorders of eyelid+periocular area	371409005	Fyu	1
298930013	10000	F4z	F4z..00	Disorder of eye and adnexa NOS	371409005	F4z	1
660481000006117	700	F4Kz	F4Kz.00	Eye and adnexa disorder NOS	371409005	F4K	1
6354101000006112	20	^ESCTOP635410		Ophthalmological disorder	371409005		1
299510014	40	FyuM0	FyuM000	[X]Other specified disorders of eye and adnexa	371409005	Fyu	1
298929015	600	F4y	F4y..00	Other specified disorders of eye or adnexa	371409005	F4y	1
299415019	800	FyuB	FyuB.00	[X]Disorders of eyelid, lacrimal system and orbit	371409005	Fyu	1
62202018	500	F4K32	F4K3200	Anterior dislocation of lens	37283009	F4K	1
6383301000006118	20	^ESCTAB638330		Absolute afferent pupillary defect	373614006		1
9909019	30	F4K49	F4K4900	Pupillary paralysis	373614006	F4K	1
64368017	200	F4E02	F4E0200	Mechanical entropion	38683003	F4E	1
6477051000006114	40	^ESCTAM647705		Amblyopic	387742006		1
298164013	200	F480z	F480z00	Amblyopia ex anopsia NOS	387742006	F48	1
399450014	100000	F4800	F480000	Amblyopia	387742006	F48	1
65329015	3000	F4841	F484100	Central scotoma	38950008	F48	1
298198016	100	F4844	F484400	Central area scotoma NOS	38950008	F48	1
3126811000006111	10	^ESCTCE312681		Central loss of vision	38950008		1
1493741014	2000	1B78-1	1B78.11	Irlen syndrome	390843008	1B7	1
1484876011	800	1B78	1B78.00	Scotopic sensitivity	390843008	1B7	1
1488913019	500	1B79	1B79.00	Visual perceptual weakness	395219004	1B7	1
1780214013	3000	1B89	1B89.00	Rubs eyes excessively	401007007	1B8	1
1780217018	10000	1B7A	1B7A.00	Patient concerned about eyesight	401010000	1B7	1
2157094017	2000	F4K43	F4K4300	Persistent mydriasis	405270006	F4K	1
266831000006117	50	F4835-1	F483511	Oculomotor apraxia - Cogan type	405809000	F48	1
103848017	30000	F4817	F481700	Photophobia	409668002	F48	1
1229721019	200	F4E52-1	F4E5211	Chloasma of eyelid	41115008	F4E	1
68585012	800	F4E52	F4E5200	Hyperpigmentation of eyelid	41115008	F4E	1
490791000006111	100	F4K44	F4K4400	Argyll Robertson pupil	4129001	F4K	1
592991000006116	4000	SE1	SE1..00	Contusion of eye AND ocular adnexa	416179002	SE1	1
69485018	100000	1B84-1	1B84.11	Pain in eye	41652007	1B8	1
816931000006119	80000	1B84	1B84.00	Has eye pain	41652007	1B8	1
298923019	200000	F4Kz1	F4Kz100	Eye pain	41652007	F4K	1
3171331000006119	30	^ESCTOC317133		Ocular pain	41652007		1
46674018	100	F4A52	F4A5200	Sclerosing keratitis	417290008	F4A	1
155971000006110	300	F4K05	F4K0500	Sclerokeratitis	417290008	F4K	1
526991000006110	200	SE11-2	SE11.12	Bruise of periocular tissue	417654008	SE1	1
593021000006113	3000	SE11	SE11.00	Contusion of ocular adnexa and periocular tissues	417654008	SE1	1
6927881000006112	10	^ESCTDI692788		Disorder of vitreous cavity	418842009		1
298881019	3000	F4K2z	F4K2z00	Vitreous disorder	418842009	F4K	1
6948271000006110	7	^ESCTWA694827		Watering eye	420103007		1
397991011	100000	1B87	1B87.00	Watery eye	420103007	1B8	1
397988011	100000	1B87-3	1B87.13	Watery eyes	420103007	1B8	1
397990012	3000	1B87-4	1B87.14	Tearing eye	420103007	1B8	1
2623166016	3000	F484G-1	F484G11	Tunnel vision	420990001	F48	1
3179201000006115	30	^ESCTDI317920		Distortion of visual image	42134006		1
298174011	800	F481B	F481B00	Metamorphopsia	42134006	F48	1
2616412012	300	F481A	F481A00	Micropsia	421801003	F48	1
298878012	3000	F4K2A	F4K2A00	Vitreous opacities	422061002	F4K	1
299486011	800	FyuH0	FyuH000	[X]Other vitreous opacities	422061002	Fyu	1
6982991000006110	1	^ESCTVI698299		Vitreous opacity	422061002		1
2616410016	50	F4819	F481900	Macropsia	422120000	F48	1
593321000006111	1000	SE12	SE12.00	Contusion of orbital tissues	42697001	SE1	1
75092013	100	F4E12	F4E1200	Mechanical ectropion	45020000	F4E	1
298924013	30000	F4Kz2	F4Kz200	Swelling of structure of eye	45177002	F4K	1
3228691000006119	50	^ESCTEY322869		Eye swelling	45177002		1
3231541000006115	6	^ESCTRO323154		Roving eye movements	45339001		1
75586010	70	F4K53	F4K5300	Visual deprivation nystagmus	45339001	F4K	1
3238401000006110	5	^ESCTVI323840		Vitreous membrane	45715008		1
62641000006119	100	F4K2B	F4K2B00	Vitreous membranes or strands	45715008	F4K	1
298619012	100000	F4Ey4	F4Ey400	Cyst of eyelid	46210008	F4E	1
296521000006116	400	F4K54	F4K5400	Nystagmus with vestibular disorder	46888001	F4K	1
3257911000006116	8	^ESCTNY325791		Nystagmus associated with disorder of the vestibular system	46888001		1
3257921000006112	10	^ESCTVE325792		Vestibular nystagmus	46888001		1
2472224012	2000	F4K34-1	F4K3411	Posterior capsule opacification	47337003	F4K	1
3265291000006115	4	^ESCTCA326529		Capsular fibrosis	47337003		1
298134017	40	F4652	F465200	Other after cataract with vision normal	47337003	F46	1
298137012	100	F465z	F465z00	After cataract NOS	47337003	F46	1
473371000006112	800	F465	F465.00	After cataract	47337003	F46	1
217851000006114	70000	F4655	F465500	After-cataract	47337003	F46	1
3265331000006110	300	^ESCTPO326533		Posterior capsular opacification	47337003		1
3265321000006112	400	^ESCTPC326532		PCO - Posterior capsule opacification	47337003		1
