medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Syncope
630041000006112	20000	1B67-1	1B67.11	Drowsiness - symptom	271782001	1B6	1
316997014	10000	R0001	R000100	Somnolence	271782001	R00	1
5529361000006111	10	^ESCTSL552936		Sleepy	271782001		1
316996017	30000	R0000	R000000	Drowsiness	271782001	R00	1
5529301000006110	7000	^ESCTDR552930		Drowsy	271782001		1
572131000006110	100000	1B65-1	1B65.11	Collapse - symptom	271787007	1B6	1
317014010	300000	R0023	R002300	Collapse	271787007	R00	1
5529431000006114	200	^ESCTDI552943		Dizzy	271789005		1
317030019	20000	R004z	R004z00	[D]Dizziness and giddiness NOS	271789005	R00	1
317024019	100000	R004	R004.00	Dizziness and giddiness	271789005	R00	1
5529421000006111	6	^ESCTDI552942		Dizziness - giddy	271789005		1
317050015	2000	R0056	R005600	Irregular sleep-wake pattern	271793004	R00	1
730581000006116	300000	1684	1684.00	Malaise and fatigue	271795006	168	1
317063014	30000	R007	R007.00	[D]Malaise and fatigue	271795006	R00	1
317071013	20000	R007z	R007z00	[D]Malaise and fatigue NOS	271795006	R00	1
407072012	70000	1B6-2	1B6..12	Syncope symptom	272030005	1B6	1
5564921000006111	7	^ESCTFE556492		Fever with rigors	274640006		1
5564901000006118	400	^ESCTFE556490		Fever with chills	274640006		1
5564911000006115	2	^ESCTCH556491		Chills and fever	274640006		1
317058010	5000	R0060	R006000	[D]Chills with fever	274640006	R00	1
317094014	100000	R00z8	R00z800	Irritability and anger	274646000	R00	1
317099016	90000	R00zD	R00zD00	Restlessness and agitation	274647009	R00	1
316998016	300	R0002	R000200	Semicoma	274659008	R00	1
317097019	5000	R00zB	R00zB00	Acute pain	274663001	R00	1
317098012	30000	R00zC	R00zC00	Chronic intractable pain	274665008	R00	1
317078019	4000	R0083	R008300	Generalised hyperhidrosis	274673004	R00	1
5565251000006111	1	^ESCTLO556525		Localized hyperhidrosis	274674005		1
317075016	20000	R0082	R008200	Localised hyperhidrosis	274674005	R00	1
412065014	1000000	13JM-3	13JM.13	Stress at work	276074009	13J	1
1222480018	100000	R007z-4	R007z14	[D]Work stress	276074009	R00	1
317005017	80	R0011	R001100	Gustatory hallucinations	29139005	R00	1
2547091000006112	40	^ESCTAL254709		Altered consciousness	3006004		1
253058011	10000	1B6Z	1B6Z.00	Consciousness disturbance NOS	3006004	1B6	1
6098017	70000	1B6	1B6..00	Disturbance of consciousness	3006004	1B6	1
2547081000006114	3	^ESCTIM254708		Impaired consciousness	3006004		1
317010018	70000	R002	R002.00	Syncope and collapse	309585006	R00	1
317016012	20000	R002z	R002z00	[D]Syncope and collapse NOS	309585006	R00	1
317079010	20000	R008z	R008z00	[D]Hyperhidrosis NOS	312230002	R00	1
317072018	100000	R008	R008.00	Hyperhidrosis	312230002	R00	1
459734013	1000	1B69	1B69.00	Intermittent drowsiness	315243006	1B6	1
6297151000006115	1000	^ESCTNO629715		Not feeling well	367391008		1
141101000006118	7000	16E-2	16E..12	Sick	367391008	16E	1
1490796016	2000000	16E	16E..00	Feels unwell	367391008	16E	1
6297121000006112	20	^ESCTFE629712		Feels poorly	367391008		1
6297171000006113	20	^ESCTDO629717		Does not feel right	367391008		1
317064015	300000	R0070	R007000	Malaise	367391008	R00	1
6297101000006119	40	^ESCTFE629710		Feels off-colour	367391008		1
6297131000006110	20	^ESCTNO629713		Not feeling great	367391008		1
730571000006119	200000	168-3	168..13	Malaise - symptom	367391008	168	1
292001000006119	600	R0004	R000400	[D] Coma	371632003	R00	1
451127019	2000	R000-1	R000.11	Coma	371632003	R00	1
1211465010	3000	1B6C	1B6C.00	Excessive somnolence	372947007	1B6	1
2558671000006118	70	^ESCTSL255867		Sleep-wake schedule disorder	3745000		1
2558691000006117	2	^ESCTSL255869		Sleep rhythm problem	3745000		1
1222473015	2000	R005-2	R005.12	[D]Sleep rhythm problems	3745000	R00	1
2558681000006115	2	^ESCTCI255868		Circadian rhythm sleep disorder	3745000		1
6459011000006119	7	^ESCTPY645901		Pyrexial	386661006		1
1817021000006118	2000	R006y	R006y00	Pyrexia	386661006	R00	1
317060012	500000	R0062	R006200	Fever	386661006	R00	1
6459031000006113	20	^ESCTFE645903		Febrile	386661006		1
6459481000006115	2	^ESCTST645948		State of hypothermia	386689009		1
317088018	3000	R00z3	R00z300	Hypothermia	386689009	R00	1
6459881000006118	50	^ESCTLI645988		Light-headedness	386705008		1
6459911000006118	4	^ESCTDI645991		Dizziness - light-headed	386705008		1
6459891000006115	5	^ESCTFE645989		Feels light headed	386705008		1
317027014	400000	R0042	R004200	Lightheadedness	386705008	R00	1
6459901000006116	30	^ESCTLI645990		Lightheaded	386705008		1
6462141000006116	7	^ESCTME646214		Memory dysfunction	386807006		1
6462181000006110	200	^ESCTPO646218		Poor memory	386807006		1
6462151000006119	6	^ESCTIM646215		Impaired memory	386807006		1
1480927011	60000	1S23	1S23.00	Memory impairment	386807006	1S2	1
6462171000006112	1000	^ESCTME646217		Memory problem	386807006		1
6462201000006111	200	^ESCTDI646220		Disturbance of memory	386807006		1
6462191000006113	7	^ESCTBA646219		Bad memory	386807006		1
1222481019	40000	R00z0-1	R00z011	Memory deficit	386807006	R00	1
711371000006111	200000	1B1A-3	1B1A.13	Memory disturbance	386807006	1B1	1
317002019	100	R000z	R000z00	[D]Coma and stupor NOS	390841000000107	R00	1
317006016	2000	R0012	R001200	Olfactory hallucinations	39672001	R00	1
317013016	200000	R0022	R002200	Vasovagal attack	398652001	R00	1
6609241000006117	5	^ESCTVA660924		Vasodepressor syncope	398665005		1
6609231000006110	100	^ESCTVA660923		Vaso vagal episode	398665005		1
112741000006118	400000	1B62	1B62.00	Vasovagal syncope	398665005	1B6	1
11828441000006110	2	^ESCT1182844		Neurally-mediated syncope	398665005		1
303601000000116	3000	R0026	R002600	[D]Asystolic vasovagal syncope	398665005	R00	1
136601000006116	200000	Fy0	Fy0..00	Sleep disorder	39898005	Fy0	1
299344018	2000	Fyu58	Fyu5800	[X]Other sleep disorders	39898005	Fyu	1
317054012	5000	R005z	R005z00	[D]Sleep dysfunction NOS	39898005	R00	1
295423010	200	E274C	E274C00	Other sleep stage or arousal dysfunction	39898005	E27	1
317029012	100000	R0044	R004400	[D]Acute vertigo	399153001	R00	1
1778609014	600000	1B56	1B56.00	Vertigo	399153001	1B5	1
6618241000006113	3	^ESCTVE661824		Vertigo (spinning sensation)	399153001		1
317028016	900000	R0043	R004300	[D]Vertigo NOS	399153001	R00	1
6618221000006118	5	^ESCTRO661822		Rotary vertigo	399153001		1
6618231000006115	3	^ESCTRO661823		Rotatory vertigo	399153001		1
627241000006116	3000000	1B5-1	1B5..11	Dizziness	404640003	1B5	1
317025018	1000000	R0040	R004000	[D]Dizziness	404640003	R00	1
802161000006111	100000	1B5-2	1B5..12	Giddiness	404641004	1B5	1
317026017	100000	R0041	R004100	[D]Giddiness	404641004	R00	1
1817011000006114	20	R0064	R006400	Drug fever	405543000	R00	1
68243014	300000	2841-1	2841.11	Confusion	40917007	284	1
292111000006117	7000	R009-1	R009.11	[D] Senile confusion	40917007	R00	1
1494724015	100000	2841	2841.00	Confused	40917007	284	1
317080013	100000	R009	R009.00	Clouded consciousness	40917007	R00	1
3158941000006115	2	^ESCTDU315894		Dullness of senses	40917007		1
3158951000006118	10	^ESCTDA315895		Dazed	40917007		1
3158971000006111	40	^ESCTMU315897		Muddled	40917007		1
317059019	1000	R0061	R006100	Hyperpyrexia	409702008	R00	1
3168591000006113	80	^ESCTFE316859		Febrile seizure	41497008		1
69220011	200000	1B6B	1B6B.00	Febrile convulsion	41497008	1B6	1
3168611000006119	20	^ESCTPY316861		Pyrexial convulsion	41497008		1
317018013	200000	R0030	R003000	[D]Convulsions, febrile	41497008	R00	1
1222470017	2000	R0030-1	R003011	[D]Pyrexial convulsion	41497008	R00	1
3168601000006117	1	^ESCTFE316860		Fever seizure	41497008		1
3168621000006110	20	^ESCTFE316862		Febrile fit	41497008		1
316999012	30000	R0003	R000300	Unconsciousness	418107008	R00	1
6916011000006119	2000	^ESCTUN691601		Unconscious	418107008		1
317621011	8000	R0z	R0z..00	[D]Symptoms NOS	418799008	R0z	1
317083010	4000	R00z	R00z.00	[D]Other general symptoms	418799008	R00	1
317102016	3000	R00zz	R00zz00	[D]Other general symptoms NOS	418799008	R00	1
317620012	3000	R0y	R0y..00	[D]Other specified symptoms	418799008	R0y	1
316990011	20000	R0	R0...00	[D]Symptoms	418799008	R0.	1
1222466013	6000	R-2	R....12	[D]Symptoms as problem	418799008	R..	1
1222467016	80000	R0003-1	R000311	Loss of consciousness	419045004	R00	1
3176551000006111	1	^ESCTIN317655		Insomnia with sleep apnea	41975002		1
317034011	1000	R0051	R005100	Insomnia with sleep apnoea	41975002	R00	1
6947121000006117	4	^ESCTFE694712		Feeling sad	420038007		1
317091018	9000	R00z6	R00z600	Feeling unhappy	420038007	R00	1
6947111000006113	2	^ESCTUN694711		Unhappy	420038007		1
71717017	300000	1662-2	1662.12	Night sweats	42984000	166	1
1705911000006115	20000	R0084	R008400	[D]Night sweats	42984000	R00	1
317085015	4000	R00z1	R00z100	Chill	43724002	R00	1
3204131000006113	20	^ESCTSH320413		Shivering	43724002		1
317021010	10000	R0033	R003300	Reflex anoxic seizure	440443001	R00	1
7237211000006118	10	^ESCTRE723721		Reflex anoxic seizures	440443001		1
317031015	400000	R005	R005.00	Sleep disturbance	44186003	R00	1
317032010	100000	R0050	R005000	[D]Sleep disturbance, unspecified	44186003	R00	1
3211741000006115	40000	^ESCTDY321174		Dyssomnia	44186003		1
3211751000006118	900	^ESCTSL321175		Sleep problem	44186003		1
317052011	600	R0058	R005800	Sleep dysfunction with sleep stage disturbance	441877007	R00	1
317053018	700	R0059	R005900	Sleep dysfunction with arousal disturbance	442176004	R00	1
302741000006114	10000	R00zW	R00zW00	Emotional stress	442347009	R00	1
318033015	600	Ryu58	Ryu5800	[X]State of emotional shock and stress, unspecified	442347009	Ryu	1
317004018	90000	R0010	R001000	Auditory hallucinations	45150006	R00	1
317092013	1000	R00z7	R00z700	Demoralisation	45763006	R00	1
317061011	1000	R0063	R006300	[D]Persistent fever	495741000000101	R00	1
11905651000006115	50	^ESCT1190565		[D]Persistent fever	495741000000101		1
894671000006119	6000	R0074-98	R007498	Post Viral Syndrome	495791000000106	R00	1
894681000006116	1000	R0074-99	R007499	Post-viral infect. debility	495791000000106	R00	1
406059018	400	R000	R000.00	[D]Coma and stupor	502131000000106	R00	1
457106016	60000	R0053-1	R005311	[D]Sleep apnoea syndrome	502901000000102	R00	1
303181000006112	2000	R0053-2	R005312	[D]Syndrome sleep apnoea	502901000000102	R00	1
496412018	30000	F286-2	F286.12	Postviral fatigue syndrome	51771007	F28	1
195091000006116	3000	F286-3	F286.13	PVFS - Postviral fatigue syn	51771007	F28	1
301351000006117	30000	R0074-1	R007411	[D]Post viral debility	51771007	R00	1
217451000006111	10000	F286-4	F286.14	Post-viral fatigue syndrome	51771007	F28	1
317068017	50000	R0074	R007400	[D]Postviral (asthenic) syndrome	51771007	R00	1
317084016	6000	R00z0	R00z000	Retrograde amnesia	51921000	R00	1
3352981000006117	10	^ESCTSW335298		Sweating profusely	52613005		1
317074017	80000	R0081	R008100	[D]Excessive sweating	52613005	R00	1
317073011	900	R0080	R008000	[D]Diaphoresis	52613005	R00	1
3352961000006110	1	^ESCTDI335296		Diaphoresis	52613005		1
496382011	300000	1662	1662.00	Excessive sweating	52613005	166	1
830651000006111	70000	1662-1	1662.11	Hyperhidrosis symptom	52613005	166	1
622321000000113	2000	R0027	R002700	[D]Drop attack	61683000	R00	1
3502131000006111	5	^ESCTDR350213		Drop attacks	61683000		1
102489017	9000	G65-1	G65..11	Drop attack	61683000	G65	1
3515721000006116	4	^ESCTDI351572		Disorientation	62476001		1
318032013	400	Ryu57	Ryu5700	[X]Disorientation, unspecified	62476001	Ryu	1
3515741000006111	3	^ESCTOR351574		Orientation poor	62476001		1
294651000006116	7000	R00zX	R00zX00	Disorientated	62476001	R00	1
3515731000006118	1	^ESCTOR351573		Orientation confused	62476001		1
3545241000006114	10	^ESCTSE354524		Seeing things	64269007		1
499799011	40000	F481K	F481K00	Visual hallucinations	64269007	F48	1
317008015	8000	R0014	R001400	[D]Visual hallucinations	64269007	R00	1
317007013	700	R0013	R001300	Tactile hallucinations	66609003	R00	1
318027012	300	Ryu53	Ryu5300	[X]Other hallucinations	7011001	Ryu	1
317003012	7000	R001	R001.00	[D]Hallucinations	7011001	R00	1
317009011	2000	R001z	R001z00	[D]Hallucinations NOS	7011001	R00	1
501492014	100000	1B1E	1B1E.00	Hallucinations	7011001	1B1	1
368272012	20000	1B63-1	1B63.11	Fit - had one, symptom	703151001	1B6	1
397978010	30000	1B64	1B64.00	Had a convulsion	703151001	1B6	1
1222475010	6000	R006-1	R006.11	Fever of unknown origin	7520000	R00	1
317055013	200000	R006	R006.00	Pyrexia of unknown origin	7520000	R00	1
317062016	5000	R006z	R006z00	[D]Pyrexia of unknown origin NOS	7520000	R00	1
2619511000006116	1	^ESCTPU261951		PUO - Pyrexia of unknown origin	7520000		1
317048011	9000	R0054	R005400	Hypersomnia	77692006	R00	1
3764071000006116	200	^ESCTEX376407		Excessive sleepiness	77692006		1
1772801000006112	200	EMISNQHY10		Hypersomnia	77692006		1
1234153012	20000	1BX1	1BX1.00	Excessive sleep	77692006	1BX	1
3764061000006111	10	^ESCTSL376406		Sleeps too much	77692006		1
345379011	4000	E2743-1	E274311	Hypersomnia NOS	77692006	E27	1
405691012	5000	R0053	R005300	Hypersomnia with sleep apnoea	79280005	R00	1
3790361000006118	1	^ESCTHO379036		Hostile behavior	79351003		1
12702751000006110	3	^ESCT1270275		Hostile behaviour	79351003		1
317095010	300	R00z9	R00z900	Hostile behaviour	79351003	R00	1
3837121000006116	1	^ESCTPO383712		Postoperative depression	82218004		1
1222477019	300	R007z-3	R007z13	[D]Postoperative depression	82218004	R00	1
1817041000006113	10	R00B0	R00B000	Infectious systemic inflammatory response syndrome without organ failure	823021000000109	R00	1
1817051000006110	4	R00B1	R00B100	Infectious systemic inflammatory response syndrome with organ failure	823031000000106	R00	1
1817061000006112	3	R00B2	R00B200	Systemic inflammatory response syndrome of non-infectious origin without organ failure	823041000000102	R00	1
1817071000006117	2	R00B3	R00B300	Systemic inflammatory response syndrome of non-infectious origin with organ failure	823051000000104	R00	1
3850321000006119	100	^ESCTGE385032		Generalised pain	82991003		1
317086019	300000	R00z2	R00z200	[D]Pain, generalized	82991003	R00	1
3850341000006114	6	^ESCTGE385034		Generalised body aches	82991003		1
3850311000006110	8	^ESCTGE385031		Generalized pain	82991003		1
3850301000006112	20	^ESCTGE385030		Generalized body aches	82991003		1
1222482014	700000	R00z2-1	R00z211	Generalised aches and pains	82991003	R00	1
800781000006116	40000	1DC8	1DC8.00	Generalised aches and pains	82991003	1DC	1
3870351000006114	4	^ESCTWE387035		Weariness	84229001		1
667321000006111	600000	1682	1682.00	Fatigue	84229001	168	1
386731000006116	5000	Eu460-1	Eu46011	[X]Fatigue syndrome	84229001	Eu4	1
317065019	70000	R0071	R007100	[D]Fatigue	84229001	R00	1
317090017	400	R00z5	R00z500	Anterograde amnesia	88822006	R00	1
292141000006118	100	R0005	R000500	[D] Stupor	89458003	R00	1
451128012	300	R000-2	R000.12	Stupor	89458003	R00	1
3981571000006118	30	^ESCTFI398157		Fitting	91175000		1
318041015	900	Ryu71	Ryu7100	[X]Other and unspecified convulsions	91175000	Ryu	1
317019017	3000	R0031	R003100	[D]Convulsions, infantile	91175000	R00	1
3981551000006111	20	^ESCTFI398155		Fit - convulsion	91175000		1
317017015	80000	R003	R003.00	[D]Convulsions	91175000	R00	1
317023013	40000	R003z	R003z00	Convulsion	91175000	R00	1
594691000006119	10000	1B64-1	1B64.11	Convulsion - symptom	91175000	1B6	1
295471000006112	20000	R0032-1	R003211	Fit	91175000	R00	1
317022015	1000	R003y	R003y00	[D]Other specified convulsion	91175000	R00	1
317020011	50000	R0032	R003200	[D]Fit	91175000	R00	1
1222472013	400000	R003z-1	R003z11	Seizure	91175000	R00	1
