medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	SkinInfection
889011000006115	2000	M032-99	M032.99	Cellulitis/abscess - trunk	200655000	M03	1
308317015	2000	M0320	M032000	Cellulitis and abscess of chest wall	200656004	M03	1
308318013	8000	M0321	M032100	Cellulitis and abscess of breast	200657008	M03	1
308319017	2000	M0322	M032200	Cellulitis and abscess of back	200658003	M03	1
308320011	5000	M0323	M032300	Cellulitis and abscess of abdominal wall	200659006	M03	1
308321010	10000	M0324	M032400	Cellulitis and abscess of umbilicus	200660001	M03	1
308322015	200	M0325	M032500	Cellulitis and abscess of flank	200661002	M03	1
308323013	20000	M0326	M032600	Cellulitis and abscess of groin	200662009	M03	1
308324019	2000	M0327	M032700	Cellulitis and abscess of perineum	200663004	M03	1
889021000006111	3000	M033-99	M033.99	Cellulitis/abscess - arm	200665006	M03	1
308327014	600	M0330	M033000	Cellulitis and abscess of shoulder	200666007	M03	1
308328016	10000	M0331	M033100	Cellulitis and abscess of axilla	200667003	M03	1
308332010	900	M033z	M033z00	Cellulitis and abscess of arm NOS	200668008	M03	1
308329012	1000	M0332	M033200	Cellulitis and abscess of upper arm	200668008	M03	1
308330019	6000	M0333	M033300	Cellulitis and abscess of elbow	200669000	M03	1
308331015	6000	M0334	M033400	Cellulitis and abscess of forearm	200670004	M03	1
308342012	1000	M0341	M034100	Cellulitis and abscess of wrist	200674008	M03	1
308344013	20000	M035	M035.00	Cellulitis and abscess of buttock	200676005	M03	1
889041000006116	1000	M035-99	M035.99	Cellulitis/abscess - buttock	200676005	M03	1
308349015	600	M0360	M036000	Cellulitis and abscess of hip	200678006	M03	1
308350015	7000	M0361	M036100	Cellulitis and abscess of thigh	200679003	M03	1
308351016	7000	M0362	M036200	Cellulitis and abscess of knee	200680000	M03	1
308352011	100000	M0363	M036300	Cellulitis and abscess of lower leg	200681001	M03	1
308353018	4000	M0364	M036400	Cellulitis and abscess of ankle	200682008	M03	1
308359019	1000	M0371	M037100	Cellulitis and abscess of heel	200686006	M03	1
14071441000006113	10	^ESCT1407144		Cellulitis of foot due to diabetes mellitus	200687002		1
308360012	3000	M0372	M037200	Cellulitis in diabetic foot	200687002	M03	1
308385015	90	M052	M052.00	Impetigo contagiosa gyrata	200704001	M05	1
308387011	200	M054	M054.00	Impetigo neonatorum	200706004	M05	1
308388018	3000	M055	M055.00	Impetigo simplex	200707008	M05	1
308389014	5000	M056	M056.00	Impetigo follicularis	200708003	M05	1
308390017	40	M057	M057.00	Chronic symmetrical impetigo	200709006	M05	1
308401010	70	M0703	M070300	Pyoderma ulcerosum tropicalum	200718008	M07	1
308404019	50	M0711	M071100	Pyogenic progressive granuloma	200721005	M07	1
195561000006119	100000	M071	M071.00	Pyogenic granuloma	200722003	M07	1
308408016	100000	M0713	M071300	Umbilical granuloma	200724002	M07	1
308411015	40000	M073	M073.00	Scalp infection	200727009	M07	1
308417016	7000	M07y5	M07y500	Inflammation of scar	200731003	M07	1
308448012	10000	M087	M087.00	Chronic paronychia	200744008	M08	1
308509010	20	M1220	M122000	Contact dermatitis due to chlorocompound	200784004	M12	1
308510017	10	M1221	M122100	Contact dermatitis due to cyclohexane	200785003	M12	1
308511018	20	M1222	M122200	Contact dermatitis due to ester	200786002	M12	1
308512013	5	M1223	M122300	Contact dermatitis due to glycol	200787006	M12	1
308513015	20	M1224	M122400	Contact dermatitis due to hydrocarbon	200788001	M12	1
308514014	2	M1225	M122500	Contact dermatitis due to ketone	200789009	M12	1
4804471000006110	5	^ESCTCO480447		Contact dermatitis due to keratolytic	200794009		1
308519016	50	M1233	M123300	Contact dermatitis due to keratolytics	200794009	M12	1
308528015	40	M1240	M124000	Contact dermatitis due to acids	200802008	M12	1
4804551000006116	1	^ESCTCO480455		Contact dermatitis due to alkali	200804009		1
308532014	80	M1242	M124200	Contact dermatitis due to alkalis	200804009	M12	1
308533016	100	M1243	M124300	Contact dermatitis due to caustics	200805005	M12	1
308552010	4000	M126	M126.00	Contact dermatitis due to plants	200821000	M12	1
889231000006116	500	M126-99	M126.99	Contact dermatitis:food/plants	200821000	M12	1
308560011	200	M126z	M126z00	Contact dermatitis due to plants NOS	200821000	M12	1
14196991000006118	5	^ESCT1419699		Contact dermatitis caused by urushiol from Eastern poison ivy	200823002		1
4804661000006118	5	^ESCTCO480466		Contact dermatitis due to poison ivy	200823002		1
308554011	200	M1261	M126100	Contact dermatitis due to poison-ivy	200823002	M12	1
308555012	6	M1262	M126200	Contact dermatitis due to poison-oak	200824008	M12	1
4804761000006110	1	^ESCTCO480476		Contact dermatitis due to poison oak	200824008		1
308564019	50	M1272	M127200	Hydroa aestivale	200832000	M12	1
308565018	5000	M1275	M127500	Sunburn of first degree	200833005	M12	1
308566017	2000	M1276	M127600	Sunburn of second degree	200834004	M12	1
308567014	100	M1277	M127700	Sunburn of third degree	200835003	M12	1
308568016	700	M1278	M127800	Photocontact dermatitis [berloque dermatitis]	200836002	M12	1
11782161000006111	20	^ESCT1178216		Berloque dermatitis	200836002		1
308569012	400	M1279	M127900	Hydroa vacciniforme	200837006	M12	1
4804871000006112	1	^ESCTBA480487		Bazin's hydroa vacciniforme	200837006		1
4804881000006110	40	^ESCTAL480488		Allergic contact dermatitis due to adhesive	200842003		1
308575015	900	M1280	M128000	Allergic contact dermatitis due to adhesives	200842003	M12	1
4804911000006110	90	^ESCTAL480491		Allergic contact dermatitis due to cosmetic	200843008		1
308576019	2000	M1281	M128100	Allergic contact dermatitis due to cosmetics	200843008	M12	1
477331000006119	400	M1282	M128200	Allergic contact dermatitis due to drugs in contact with the skin	200844002	M12	1
4804941000006114	40	^ESCTAL480494		Allergic contact dermatitis due to drug in contact with skin	200844002		1
308578018	2000	M1283	M128300	Allergic contact dermatitis due to dyes	200845001	M12	1
4804971000006118	100	^ESCTAL480497		Allergic contact dermatitis due to dye	200845001		1
477371000006116	200	M1285	M128500	Allergic contact dermatitis due to food in contact with the skin	200847009	M12	1
308585019	700	M1290	M129000	Irritant contact dermatitis due to cosmetics	200851006	M12	1
4805061000006113	40	^ESCTIR480506		Irritant contact dermatitis due to cosmetic	200851006		1
4805091000006117	10	^ESCTIR480509		Irritant contact dermatitis due to drug in contact with skin	200852004		1
745631000006113	100	M1291	M129100	Irritant contact dermatitis due to drugs in contact with the skin	200852004	M12	1
4805121000006118	1	^ESCTIR480512		Irritant contact dermatitis due to food in contact with skin	200854003		1
745641000006115	50	M1293	M129300	Irritant contact dermatitis due to food in contact with the skin	200854003	M12	1
308589013	100	M1294	M129400	Irritant contact dermatitis due to plants, except food	200855002	M12	1
143481000006116	40	M12B	M12B.00	Skin changes due to chronic exposure to non-ionising radiation	200861004	M12	1
308609016	600	M12y3	M12y300	Contact dermatitis due to furs	200871002	M12	1
4805211000006115	30	^ESCTCO480521		Contact dermatitis due to fur	200871002		1
308618019	200	M12y9	M12y900	Contact dermatitis due to preservatives	200877003	M12	1
4805261000006117	6	^ESCTCO480526		Contact dermatitis due to ultraviolet rays (excluding sunlight)	200879000		1
591201000006113	100	M12yB	M12yB00	Contact dermatitis due to ultra-violet rays (excluding sun)	200879000	M12	1
308622012	20	M12yD	M12yD00	Contact dermatitis due to casting materials	200881003	M12	1
889451000006112	400	M24-99	M24..99	Hair/hair follicle disease	201128002	M24	1
991541000006118	2	M24-98	M24..98	Hair/hair follicle disease NOS	201128002	M24	1
309070010	1000	M24y	M24y.00	Other hair and hair follicle diseases	201128002	M24	1
308993010	20000	M24	M24..00	Hair and hair follicle diseases	201128002	M24	1
309072019	6000	M24z	M24z.00	Hair and hair follicle disease NOS	201128002	M24	1
309004019	4000	M2403	M240300	Frontal alopecia of women	201132008	M24	1
309005018	300	M2404	M240400	Premature alopecia	201133003	M24	1
309006017	200	M2405	M240500	Alopecia of pregnancy	201134009	M24	1
309007014	300	M2406	M240600	Alopecia senilis	201135005	M24	1
309008016	20	M2407	M240700	Alopecia febrilis	201136006	M24	1
309009012	600	M2408	M240800	Alopecia localis	201137002	M24	1
478201000006118	200	M2409	M240900	Alopecia disseminata	201138007	M24	1
4807111000006118	200	^ESCTDI480711		Diffuse alopecia	201138007		1
309011015	50	M240A	M240A00	Cachectic alopecia	201139004	M24	1
309012010	200	M240C	M240C00	Alopecia follicularis	201140002	M24	1
309013017	60	M240E	M240E00	Alopecia neurotica	201141003	M24	1
309014011	4	M240F	M240F00	Peroneal alopecia	201142005	M24	1
309015012	100	M240H	M240H00	Alopecia seborrhoeica	201143000	M24	1
309017016	40	M240J	M240J00	Alopecia hereditaria	201144006	M24	1
309019018	300	M240L	M240L00	Drug-induced androgenic alopecia	201146008	M24	1
309032011	80	M2410	M241000	Circumscribed acquired hypertrichosis	201158008	M24	1
4807231000006118	300	^ESCTID480723		Idiopathic hirsutism	201159000		1
309034012	1000	M2411	M241100	Idiopathic hypertrichosis	201159000	M24	1
4807251000006113	100	^ESCTHA480725		Hair naevus	201161009		1
309039019	100	M2413	M241300	Naevoid hypertrichosis	201161009	M24	1
309040017	60	M2414	M241400	Hypertrichosis partialis	201162002	M24	1
309041018	60	M2415	M241500	Hypertrichosis universalis	201163007	M24	1
309053019	50	M2432	M243200	Poliosis eccentrica	201174003	M24	1
4807321000006111	80	^ESCTPO480732		Poliosis - acquired	201175002		1
309054013	200	M2433	M243300	Poliosis -acquired	201175002	M24	1
309066019	200	M2448	M244800	Perifolliculitis capitis abscedens	201182003	M24	1
309082018	2000	M2510	M251000	Miliaria alba	201191004	M25	1
309083011	400	M2512	M251200	Miliaria papulosa	201192006	M25	1
309086015	60	M2515	M251500	Miliaria vesiculosa	201195008	M25	1
4807401000006110	10	^ESCTVE480740		Vesicular eczema of feet	201201000		1
309092014	5000	M2523	M252300	Podopompholyx	201201000	M25	1
326586017	200	AB06-2	AB06.12	Majocchi's granuloma	214600002	AB0	1
1222659019	30	M2445	M244500	Sycosis lipoides	21707009	M24	1
2847791000006113	500	^ESCTFU284779		Furuncle of groin	21869003		1
1222677012	40000	M0126	M012600	Boil of groin	21869003	M01	1
1222758015	30	M12C0	M12C000	Acute radiodermatitis	22434008	M12	1
38016018	20000	M1273	M127300	Photodermatitis	22649008	M12	1
2860981000006116	30	^ESCTPH286098		Photosensitivity dermatitis	22649008		1
38305019	20	M25y4	M25y400	Granulosis rubra nasi	22818000	M25	1
38664014	2000	M122	M122.00	Contact dermatitis due to solvents	23012005	M12	1
308515010	200	M122z	M122z00	Contact dermatitis due to solvent NOS	23012005	M12	1
889211000006110	100	M122-99	M122.99	Contact dermatitis : solvents	23012005	M12	1
5033381000006117	600	^ESCTCE503338		Cellulitis of pinna	232214001		1
219471000000116	20000	F5011-2	F501112	Cellulitis, external ear	232214001	F50	1
158680013	9000	M038	M038.00	Cellulitis of external ear	232214001	M03	1
357305010	1000	M03-1	M03..11	Abscess of skin area excluding digits of hand or foot	238385004	M03	1
357306011	300	M0340-1	M034011	Abscess of dorsum of hand	238386003	M03	1
357307019	400	M0340-2	M034012	Abscess of palm of hand	238387007	M03	1
357309016	10000	M01z-2	M01z.12	Boils of multiple sites	238389005	M01	1
308265017	60000	M01z0	M01z000	Multiple boils	238389005	M01	1
357316015	2000	M03-3	M03..13	Cellulitis of skin area excluding digits of hand or foot	238395006	M03	1
357317012	10000	M0340-3	M034013	Cellulitis of dorsum of hand	238396007	M03	1
357321017	1000	M0340-4	M034014	Cellulitis of palm of hand	238398008	M03	1
357331012	300	M03-2	M03..12	Acute lymphangitis of skin excluding digits of hand or foot	238404003	M03	1
357792017	60000	M02z-1	M02z.11	Infection of nail	238408000	M02	1
357348016	3000	M072	M072.00	Erythrasma	238418005	M07	1
648471000006113	10000	A390-1	A390.11	Erythrasma	238418005	A39	1
98560010	80	M12y1	M12y100	Contact dermatitis due to cold weather	238506004	M12	1
5122411000006116	5	^ESCTCO512241		Cold-induced dermatosis	238506004		1
357463017	8000	M12D	M12D.00	Erythema ab igne	238510001	M12	1
5122491000006114	4	^ESCTLI512249		Light and ultraviolet-induced dermatosis	238512009		1
308590016	80	M12A	M12A.00	Other acute skin changes due to ultraviolet radiation	238512009	M12	1
5122641000006115	2	^ESCTPL512264		PLE - Polymorphic light eruption	238525001		1
357484010	30000	M12A3	M12A300	Polymorphous light eruption	238525001	M12	1
5122621000006110	3000	^ESCTPO512262		Polymorphic light eruption	238525001		1
1887561000006116	1000	M12A4	M12A400	Juvenile spring eruption	238526000	M12	1
5122811000006118	900	^ESCTHA512281		Hand dermatitis	238539001		1
357504010	200000	M12z3	M12z300	Hand eczema	238539001	M12	1
357558018	30	M121-1	M121.11	Grease contact dermatitis	238568000	M12	1
357559014	80	M121-2	M121.12	Oil contact dermatitis	238569008	M12	1
357560016	7000	M1241-1	M124111	Elastoplast contact dermatitis	238570009	M12	1
357561017	200	M125z-1	M125z11	Egg contact dermatitis	238571008	M12	1
357562012	900	M12y0-1	M12y011	Lanolin contact dermatitis	238572001	M12	1
357563019	500	M12y0-2	M12y012	Perfume contact dermatitis	238573006	M12	1
5123451000006113	2	^ESCTAC512345		ACD - Allergic contact dermatitis	238575004		1
309319012	800	Myu23	Myu2300	[X]Allergic contact dermatitis due to other agents	238575004	Myu	1
357566010	50000	M128	M128.00	Allergic contact dermatitis	238575004	M12	1
1781705012	2000	M12-3	M12..13	Occupational allergic contact dermatitis	238578002	M12	1
377951000006117	100	Myu6	Myu6.00	[X]Disorders of skin appendages	238714008	Myu	1
11381000006113	700	M245	M245.00	Disorder of skin appendage	238714008	M24	1
309365010	100	Myu6C	Myu6C00	[X]Other eccrine sweat disorders	238714008	Myu	1
309359010	100	Myu66	Myu6600	[X]Other hair colour and hair shaft abnormalities	238714008	Myu	1
309353011	100	Myu61	Myu6100	[X]Nail disorders in other diseases classified elsewhere	238714008	Myu	1
309364014	600	Myu6B	Myu6B00	[X]Other specified follicular disorders	238714008	Myu	1
309360017	300	Myu67	Myu6700	[X]Other hypertrichosis	238714008	Myu	1
309357012	100	Myu65	Myu6500	[X]Other cicatricial alopecia	238714008	Myu	1
309366011	50	Myu6D	Myu6D00	[X]Other apocrine sweat disorders	238714008	Myu	1
357804016	400	M240Q	M240Q00	Pseudopelade	238731001	M24	1
357810016	70	M2421	M242100	Trichorrhexis nodosa	238736006	M24	1
357809014	10	M2421-1	M242111	Clastothrix	238736006	M24	1
357823011	3000	M261H	M261H00	Acne keloid	238746008	M26	1
453021000006110	9000	M25y6	M25y600	Acne keloid	238746008	M25	1
489401000006119	700	M25yX	M25yX00	Apocrine sweat disorder, unspecified	238753004	M25	1
309373018	90	Myu6J	Myu6J00	Disorder of apocrine gland	238753004	Myu	1
360527019	80	AB0y0	AB0y000	Tinea imbricata	240699006	AB0	1
40768015	9000	M086	M086.00	Cellulitis of ankle	24288004	M08	1
105811000006118	100000	M240-1	M240.11	Partial loss of hair	247541001	M24	1
42168016	100	M2422	M242200	Fragilitas crinium	25159003	M24	1
2902011000006116	200	^ESCTBR290201		Brittle hair	25159003		1
379274015	800000	M0z-1	M0z..11	Infected sebaceous cyst	254671003	M0z	1
12222321000006116	7000	^ESCT1222232		Infection of sebaceous cyst	254671003		1
5348111000006116	7	^ESCTIN534811		Infected sebaceous cyst of skin	254671003		1
730171000006112	30	M2412	M241200	Hypertrichosis lanuginosa (acquired)	25967007	M24	1
43505018	60	PH43-1	PH43.11	Hypertrichosis lanuginosa	25967007	PH4	1
229591000006116	100	PH43	PH43.00	Persistent lanugo	25967007	PH4	1
1224961014	5000	M0127	M012700	Boil of perineum	2606006	M01	1
2540521000006119	60	^ESCTFU254052		Furuncle of perineum	2606006		1
43808011	80	M25y3	M25y300	Chromhidrosis	26147006	M25	1
5466011	40000	M07z-2	M07z.12	Infected skin ulcer	2622007	M07	1
2540781000006110	300	^ESCTIN254078		Infected ulcer of skin	2622007		1
390504019	800000	M07z-1	M07z.11	Infected insect bite	262550002	M07	1
591151000006116	2000	M1238	M123800	Contact dermatitis due to scabicide	26532007	M12	1
395361011	90	A743-1	A743.11	Vesicular stomatitis with xanthem	266108008	A74	1
128071000006118	10	A784-2	A784.12	Stomatitis epizootic	266108008	A78	1
139118012	600	A784-1	A784.11	Aphthous fever	266108008	A78	1
505825017	2000	A784	A784.00	Foot and mouth disease	266108008	A78	1
2162360015	400000	A743	A743.00	Hand foot and mouth disease	266108008	A74	1
5491421000006111	6	^ESCTHA549142		Hand, foot and mouth disease	266108008		1
5491391000006115	7000	^ESCTEN549139		Enteroviral vesicular stomatitis with exanthem	266108008		1
111851000006117	100	AB00-2	AB00.12	Sycosis, mycotic	266148000	AB0	1
287486017	500	AB00z	AB00z00	Dermatophytosis of scalp or beard NOS	266148000	AB0	1
879481000006111	3000	AB00-99	AB00.99	Tinea of scalp	266148000	AB0	1
395418014	10000	AB00	AB00.00	Dermatophytosis of scalp or beard	266148000	AB0	1
879521000006111	20000	AB05-99	AB05.99	Tinea of body - ringworm	266151007	AB0	1
395422016	100000	AB05	AB05.00	Dermatophytosis of the body	266151007	AB0	1
395424015	600	AB06-1	AB06.11	Granuloma trichophyticum	266152000	AB0	1
395423014	300	AB06	AB06.00	Deep seated dermatophytosis	266152000	AB0	1
5492691000006119	200	^ESCTAN549269		Angular stomatitis	266429005		1
483231000006114	100000	J0854	J085400	Angular stomatitis and cheilitis	266429005	J08	1
885671000006119	4000	J0854-99	J085499	Angular stomatitis	266429005	J08	1
396326012	100000	J0854-1	J085411	Angular cheilitis	266429005	J08	1
396329017	4000	M07y3	M07y300	Perleche	266429005	M07	1
399896012	1000	M0300-1	M030011	Cellulitis and abscess of cheek	267777001	M03	1
399895011	3000	M0300	M030000	Cellulitis and abscess of cheek (external)	267777001	M03	1
541051000006114	7000	M0301-1	M030111	Cellulitis and abscess of nose	267778006	M03	1
399897015	2000	M0301	M030100	Cellulitis and abscess of nose (external)	267778006	M03	1
889001000006118	800	M031-99	M031.99	Cellulitis/abscess - neck	267779003	M03	1
