medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Diarrhoea
360012013	5000	A083-2	A083.12	Infantile gastroenteritis	240332005	A08	1
5146541000006115	8	^ESCTEN514654		Enterotoxigenic Escherichia coli gastrointestinal tract infection	240352006		1
360040015	200	A0701	A070100	Enterotoxigenic Escherichia coli infection	240352006	A07	1
5146561000006116	20	^ESCTEN514656		Enteropathogenic Escherichia coli gastrointestinal tract infection	240353001		1
360043018	500	A0700	A070000	Enteropathogenic Escherichia coli infection	240353001	A07	1
5146581000006114	100	^ESCTVE514658		Verotoxigenic Escherichia coli gastrointestinal tract infection	240354007		1
360044012	100	A0703	A070300	Enterohaemorrhagic Escherichia coli infection	240354007	A07	1
360051015	20	A0702	A070200	Enteroinvasive Escherichia coli infection	240355008	A07	1
5146631000006112	4	^ESCTEN514663		Enteroinvasive Escherichia coli gastrointestinal tract infection	240355008		1
372283012	700000	19G	19G..00	Diarrhoea and vomiting	249519007	19G	1
5272831000006113	200	^ESCTDV527283		D&V - Diarrhoea and vomiting	249519007		1
5272811000006119	80	^ESCTDI527281		Diarrhea and vomiting	249519007		1
5272821000006110	20	^ESCTDV527282		D+V - Diarrhoea and vomiting	249519007		1
619781000006115	6000	J4zz-1	J4zz.11	Diarrhoea - presumed non-infectious	25374005	J4z	1
396366011	4000	J43z	J43z.00	Other non-infective gastroenteritis and colitis NOS	25374005	J43	1
415991000006119	500	Jyu42	Jyu4200	[X]Other specified noninfective gastroenteritis+colitis	25374005	Jyu	1
2905891000006110	10	^ESCTGE290589		GE - Gastroenteritis	25374005		1
42550011	2000000	J43-1	J43..11	Gastroenteritis	25374005	J43	1
1816481000006111	600	J6A	J6A..00	Gastroenteritis and colitis of unknown origin	25374005	J6A	1
303026013	60	J432z	J432z00	Allergic gastroenteritis NOS	26006005	J43	1
43567011	200	J4320	J432000	Allergic gastroenteritis	26006005	J43	1
286129013	200	A07	A07..00	Intestinal infection due to other organisms	266071000	A07	1
286212015	50	A0y	A0y..00	Other specified infectious diseases of intestinal tract	266071000	A0y	1
287995017	20	Ayu0G	Ayu0G00	[X]Other specified intestinal infections	266071000	Ayu	1
286213013	30000	A0z	A0z..00	Intestinal tract infectious disease NOS	266071000	A0z	1
222831000000115	30000	A0	A0...00	Intestinal infectious disease	266071000	A0.	1
878891000006118	500	A0-99	A0...99	Specific GIT infectious dis.	266071000	A0.	1
394381000006114	9	Ayu0	Ayu0.00	[X]Intestinal infectious diseases	266071000	Ayu	1
395319017	80	A0740	A074000	Staphylococcal gastrointestinal tract infection	266077001	A07	1
619821000006114	1	A0741-1	A074111	Diarrhoea due to Pseudomonas pyocyanea	266078006	A07	1
395320011	90	A0741	A074100	Pseudomonas gastrointestinal tract infection	266078006	A07	1
286173012	3000	A076z	A076z00	Enteritis due to specified virus NOS	266079003	A07	1
395321010	7000	A076	A076.00	Enteritis due to specified virus	266079003	A07	1
395323013	1000	A081	A081.00	Colitis, enteritis and gastroenteritis presumed infectious	266081001	A08	1
572061000006117	500	A081z	A081z00	Colitis, enteritis and gastroenteritis presumed infect NOS	266081001	A08	1
396363015	800	J432	J432.00	Allergic gastroenteritis and colitis	266451002	J43	1
397928013	200000	19FZ	19FZ.00	Diarrhoea symptom	267060006	19F	1
397927015	3000000	19F	19F..00	Diarrhoea symptoms	267060006	19F	1
619771000006118	800000	19FZ-1	19FZ.11	Diarrhoea and vomiting, symptom	275297005	19F	1
5571851000006116	2	^ESCTDI557185		Diarrhea and vomiting, symptom	275297005		1
878931000006110	8000	A08-99	A08..99	Viral + ill-defined GIT inf.	286870008	A08	1
287994018	400	Ayu0F	Ayu0F00	Viral and ill-defined gastrointestinal infections	286870008	Ayu	1
645721000006113	40000	A0811	A081100	Enteritis presumed infectious	30140009	A08	1
50729018	800	J4323	J432300	Allergic colitis	30304000	J43	1
51411016	200	J4331	J433100	Dietetic enteritis	30719001	J43	1
451126011	80000	A0745	A074500	Helicobacter pylori gastrointestinal tract infection	307759003	A07	1
451427012	20000	A07y1	A07y100	Infantile viral gastroenteritis	308119005	A07	1
286141018	20000	A074	A074.00	Bacterial intestinal infectious disease	312108008	A07	1
287983017	30	Ayu06	Ayu0600	[X]Other specified bacterial intestinal infections	312108008	Ayu	1
52549017	10000	J4361	J436100	Lymphocytic colitis	31437008	J43	1
3006581000006119	100	^ESCTLY300658		Lymphocytic-plasmacytic colitis	31437008		1
3024881000006119	20	^ESCTEN302488		Enterovirus enteritis	32580004		1
1227968013	900	A0761	A076100	Enteritis due to enterovirus	32580004	A07	1
56238012	700	J433	J433.00	Dietetic gastroenteritis	33687004	J43	1
303036017	90	J433z	J433z00	Dietetic gastroenteritis NOS	33687004	J43	1
65964017	4000	A0801	A080100	Infectious colitis	39341005	A08	1
3132961000006117	60	^ESCTIN313296		Infective colitis	39341005		1
6596491000006113	4	^ESCTLO659649		Loose bowel movement	398032003		1
662021000006111	800	4743	4743.00	Faeces consistency: semi-fluid	398032003	474	1
1786047017	600000	19F-2	19F..12	Loose stool	398032003	19F	1
6596471000006112	1	^ESCTLO659647		Loose motion	398032003		1
6596481000006110	200	^ESCTLO659648		Loose bowel motions	398032003		1
317494018	40000	R0771	R077100	Loose stools	398032003	R07	1
619831000006112	6	A0740-2	A074012	Diarrhoea due to staphylococcal toxin	398384001	A07	1
6603151000006114	6	^ESCTST660315		Staphylococcus aureus food poisoning	398384001		1
1773224011	20	A0740-1	A074011	Diarrhoea due to staphylococcus	398570005	A07	1
3143081000006116	1	^ESCTTO314308		Toddler diarrhea	39963006		1
103081000006118	20000	19F4	19F4.00	Toddler diarrhoea	39963006	19F	1
472961000006112	20	A072	A072.00	Gastrointestinal infection caused by Klebsiella aerogenes	421429008	A07	1
198411000006113	1000	J4313-1	J431311	Pseudomembranous colitis	423590009	J43	1
1785915017	700	J521-2	J521.12	Pseudomembranous colitis	423590009	J52	1
198421000006117	2000	J434	J434.00	Pseudomembranous colitis	423590009	J43	1
7010301000006111	40	^ESCTCL701030		Clostridium difficile colitis	423590009		1
70682016	200	J4313	J431300	Toxic colitis	42359007	J43	1
198441000000117	7000	J435	J435.00	Ileal pouchitis	426508001	J43	1
72144015	200000	A083	A083.00	Diarrhoea of presumed infectious origin	43240000	A08	1
72962011	3000	J43-2	J43..12	Enterocolitis	43752006	J43	1
696071000006114	2000	J41-1	J41..11	Mucous colitis and/or proctitis	43752006	J41	1
353405010	1000	A081-1	A081.11	Suspected infectious enteritis	439597005	A08	1
1174781000000115	5000	A0763	A076300	Enteritis due to Norovirus	445152004	A07	1
7303631000006118	4	^ESCTNO730363		Norovirus infection	445152004		1
1816421000006112	600	J438	J438.00	Left sided ulcerative colitis	445243001	J43	1
198017011	3000	A0820	A082000	Dysenteric diarrhoea	46799006	A08	1
198185014	300	J432-1	J432.11	Allergic diarrhoea	49237006	J43	1
3395961000006110	7	^ESCTIN339596		Infective enteritis	55184003		1
91741012	8000	A0802	A080200	Infectious enteritis	55184003	A08	1
1231527011	3000	J4303	J430300	Radiation colitis	55809007	J43	1
3406491000006111	10	^ESCTCO340649		Colitis due to radiation	55809007		1
377011000006119	10000	Ayu0H	Ayu0H00	Gastroenteritis presumed infectious	57419008	Ayu	1
1494813012	300000	A0812	A081200	Gastroenteritis - presumed infectious origin	57419008	A08	1
98437016	100	A0804	A080400	Catarrhal dysentery	59253004	A08	1
619741000006114	1000000	19F-1	19F..11	Diarrhoea	62315008	19F	1
3512731000006110	5	^ESCTDD351273		D - Diarrhoea	62315008		1
103578017	2000000	19F2	19F2.00	Diarrhoea	62315008	19F	1
3512721000006112	60	^ESCTDI351272		Diarrhea	62315008		1
886311000006111	500	J43-99	J43..99	Non-infective GIT inflam. NOS	624801000000103	J43	1
106758018	80000	J437	J437.00	Colitis	64226004	J43	1
3544511000006113	8	^ESCTCO354451		Colon inflammation	64226004		1
878921000006112	600	A074-99	A074.99	Other specific GIT infections	645911000000105	A07	1
501712011	800	A0760	A076000	Enteritis due to adenovirus	70880006	A07	1
3652761000006117	20	^ESCTAD365276		Adenoviral enteritis	70880006		1
1234534014	700	A0744	A074400	Enteritis due to Yersinia enterocolitica	711167005	A07	1
396361018	40000	J43	J43..00	Noninfectious enteritis	71207007	J43	1
118918011	200	J431	J431.00	Toxic gastroenteritis	71583005	J43	1
303014015	40	J431z	J431z00	Toxic gastroenteritis NOS	71583005	J43	1
286182018	600	A080z	A080z00	Gastrointestinal infection	715852004	A08	1
286180014	500	A080	A080.00	Infectious colitis, enteritis and gastroenteritis	715852004	A08	1
120502010	100	J4333	J433300	Dietetic colitis	72547003	J43	1
1233666019	1000	J4301	J430100	Radiation enteritis	73817000	J43	1
3700171000006114	7	^ESCTEN370017		Enteritis due to radiation	73817000		1
123494017	1000	J4310	J431000	Toxic gastritis	74361008	J43	1
286165015	4000	A075	A075.00	Unspecified bacterial enteritis	75375008	A07	1
287984011	200	Ayu07	Ayu0700	Bacterial enteritis	75375008	Ayu	1
1495457013	8000	A0810	A081000	Colitis - presumed infectious origin	79099006	A08	1
3786331000006112	50	^ESCTCO378633		Colitis presumed infectious	79099006		1
505456018	200	J433-1	J433.11	Dietetic diarrhoea	83134002	J43	1
201288012	900	A0821	A082100	Epidemic diarrhoea	86615009	A08	1
2238751000000119	900	19F5	19F5.00	Time since last episode of diarrhoea	866211000000107	19F	1
222841000000112	40000	J1544	J154400	Helicobacter gastritis	89538001	J15	1
819571000006118	80000	A0743-3	A074313	Helicobacter-associated gastritis	89538001	A07	1
