medcodeid	freq	final_term	originalreadcode	snomedctconceptid	site
455791000006110	7308	Acute thoracic back pain	N141-1	279035001	Back
503862017	7300	Thigh pain	N245-8	78514002	Leg
312419019	7230	Kyphoscoliosis and scoliosis	N373	203638000	Back
325463018	7222	Injury of foot	Syu9	125604000	Foot/Ankle
694101000006113	6738	Muscle injury / strain	S5yz1	48532005	Other
309829012	6702	Juvenile arthritis	N045	239796000	Other
807281000006112	6523	Groin strain	S53-1	281543009	Hip/Pelvis
496539011	6307	Hand pain	N2450	53057004	Hand
131171000006111	6299	Sprain of wrist	S520	70704007	Wrist
58058010	6295	Coccygodynia	N1472	34789001	Back
198184013	6121	Hip joint pain	N0945-2	49218002	Hip/Pelvis
1682431000006119	5811	Wrist pain	N094F-1	56608008	Wrist
317575013	5803	Loin pain	R090C	271857006	Hip/Pelvis
230261000006118	5715	Acquired pes planus	N340	203534009	Foot/Ankle
492282010	5515	Whiplash injury	S5704	39848009	Neck
416146018	5483	Mechanical low back pain	16CA	279040009	Back
123426014	5246	Elbow pain	1M00-1	74323005	Elbow
407053012	5194	C/O - foot symptom	1D28-2	272014002	Foot/Ankle
403060017	4859	Other hand injury, excluding finger	SK14	125599006	Hand
710171000006119	4643	Swelling of finger	1834	299060006	Hand
248531000006112	4622	Pain in arm	N2453	102556003	Arm
400319017	4522	Soft tissue disorder	N24z	19660004	Other
109021000006119	4499	Tendonitis NOS	N21z2-1	34840004	Other
815191000006110	4437	Acquired hallux valgus	N350	65358001	Foot/Ankle
323946010	4406	Traumatic and/or non-traumatic injury of back	SK114	712893003	Back
442156014	4380	Calf pain	N2454	300954003	Leg
400284019	4376	Pain in lumbar spine	N142	267982002	Back
397897014	4310	Ankle swelling	1832	267039000	Foot/Ankle
319624010	4198	Dislocation of knee NOS	S46z	269112001	Knee
312428018	4139	Adolescent idiopathic scoliosis	N3737	203646004	Back
165836010	4128	Cramp in lower limb	N2471	449917004	Leg
310982017	4092	Clicking joint	N099	202596000	Other
323939018	4057	Injury of neck	SK10y	90460009	Neck
165730010	4047	Growing pains	16Z2	102482005	Other
598331000006118	4036	Costochondritis NOS	N30z8-1	64109004	Chest
312598012	3975	Scoliosis deformity of spine	Nyu55	298382003	Back
400283013	3956	Pain in thoracic spine	N141	267981009	Back
391057017	3890	Muscle sprain NOS	S5z-3	48532005	Other
101001000006111	3887	Sprain of thumb	S5210-2	263130004	Hand
311474017	3881	Ganglion and cyst of synovium, tendon and bursa	N224	202936005	Other
359208019	3858	Anterior knee pain	1M12	239733006	Knee
252446012	3695	Anterior chest wall pain	1824	161973001	Chest
345241000000114	3689	Pain in coccyx	N1472-1	34789001	Back
391249010	3679	Ligament sprain	S5z-2	398878007	Other
320256019	3675	Knee sprain NOS	S54y	54888009	Knee
319412012	3668	Dislocation of shoulder	S41z	417076003	Shoulder
317265011	3629	Facial pain	R0400	95668009	Head
123425013	3546	Pain in elbow	1M00	74323005	Elbow
320318018	3507	Back sprain	S57z	281598004	Back
39291010	3441	Congenital pes planus	PE61	23407003	Foot/Ankle
710161000006114	3428	Sprain of ligament of finger	S5210-1	263129009	Hand
693501000006115	3401	Musculoskeletal pain - joints	N096-2	57676002	Multiple
391098012	3356	Hamstring sprain	S53-2	262992000	Leg
194090018	3354	Injury of lower leg	SK175	125602001	Leg
853731000006117	3254	Painful right knee	EGTON279	853731000006101	Knee
437673017	3248	Ganglion of hand	N224B	297193007	Hand
370925016	3217	Swollen knee	16J4	248491001	Knee
240041000006111	3195	Patellar tendinitis	N2164	37785001	Knee
400314010	3187	Myalgia	N2410	68962001	Other
400281010	3043	Torticollis	N135z	70070008	Neck
454070017	3041	C/O - pain in big toe	1D131-1	310484009	Foot/Ankle
400300010	3040	Tendinitis	N21z2	34840004	Other
490651000006110	2991	Pes planus	N34z-1	53226007	Foot/Ankle
402889014	2962	Dislocation or subluxation of knee	S46	269112001	Knee
360303015	2926	Perthes' disease - osteochondritis of the femoral head	N3211	111255008	Hip/Pelvis
297707010	2873	Pain in lower limb	1M1	10601006	Leg
484753013	2838	Arthralgia of knee	N094M	30989003	Knee
310840017	2825	Ankle joint pain	N0947-1	202490009	Foot/Ankle
130611000006116	2805	Sprain finger	S523	263129009	Hand
222521000000119	2798	Contusion of foot	SE420	74814004	Foot/Ankle
311394013	2795	Anterior shin splints	N21y0	202888004	Leg
402882017	2771	Dislocation or subluxation of shoulder	S41	269105005	Shoulder
320145014	2742	Sprain of wrist and hand	S52	209436000	Hand/Wrist
637511000006115	2681	Elbow joint pain	N0942-1	202480001	Elbow
414623018	2643	Swollen toe	16J1	277890004	Foot/Ankle
252296010	2587	Stiff neck	16A2	161882006	Neck
5700371000006119	2578	Pain in toe	^ESCTPA570037	285365001	Foot/Ankle
252316013	2569	C/O - upper back ache	16C7	161896000	Back
38727013	2559	Sciatica	N143	23056005	Back
402918012	2558	Neck sprain, unspecified	S5700	209557005	Neck
411865013	2522	O/E - soft tissue swelling	2HC-1	275897000	Other
3672071000006112	2491	Osgood Schlatter disease	^ESCTOS367207	72047008	Knee
494279018	2380	Leg bruise	SE4-1	45613006	Leg
320147018	2372	Wrist sprain	S5200	70704007	Wrist
507743013	2368	Hand sprain	S521	87778004	Hand
130991000006117	2303	Sprain thumb	S522	263130004	Hand
398008014	2302	C/O - a chest wall symptom	1D22-1	267107009	Chest
1480387016	2293	Temporomandibular joint pain dysfunction syndrome	J0464	386207004	Head
320130019	2277	Sprain of shoulder	S50y	3199001	Shoulder
415893017	2276	Acute back pain - lumbar	N142-3	278862001	Back
437674011	2251	Ganglion of foot	N224C	297194001	Foot/Ankle
403059010	2222	Injury of forearm	SK131	125597008	Arm
116373011	2197	Wry neck	N135z-2	70070008	Neck
2548690012	2180	Exostosis	N21z7	416189003	Other
455801000006111	2169	Acute back pain - unspecified	N145-1	161891005	Back
1222991015	2133	Contusion, knee	SE411	22878006	Knee
320270019	2133	Ankle sprain NOS	S550z	44465007	Foot/Ankle
325451011	2122	Sprain of knee	Syu84	54888009	Knee
320262012	2096	Sprain, ankle joint, lateral	S5502	209532000	Foot/Ankle
359206015	2096	Patellofemoral disorder	N09A	239732001	Knee
106879011	2051	Mallet finger	N361	64298006	Hand
310640019	2000	Effusion of knee	N090M	202381003	Knee
486238018	1997	Multiple joint pain	N0949-99	35678005	Multiple
240031000006118	1992	Recurrent dislocation of the patellofemoral joint	N0836-2	202246002	Knee
568471000006114	1977	Closed traumatic dislocation of patellofemoral joint	S463	208929003	Knee
587351000006110	1927	Non-traumatic slipped upper femoral epiphysis	N322	26460006	Hip/Pelvis
755441000006119	1879	Juvenile rheumatoid arthritis - Still's disease	N043	410795001	Other
320377019	1863	Complete tear, knee, anterior cruciate ligament	S5C3	209629006	Knee
162641000006113	1834	Sprain of costal cartilage	S5y3	209799008	Chest
320220017	1827	Sprain of wrist and/or hand	S52z	209436000	Hand/Wrist
323960012	1815	Injury of upper extremity	SK13	127278005	Elbow
312426019	1812	Postural scoliosis	N3736	203645000	Back
624151000006118	1777	Disorder of patella	N09AX	721291009	Knee
14156061000006115	1774	Pain of knee region	^ESCT1415606	1003722009	Knee
320143019	1766	Elbow sprain	S51y	263128001	Elbow
323980013	1765	Injury of hip region	SK160	125600009	Hip/Pelvis
252294013	1757	Stiff neck symptom	16A	161880003	Neck
50413010	1748	Tietze's disease	N336	30128009	Chest
319441015	1736	Dislocation of elbow joint	S42z	417558002	Elbow
483871000006113	1709	Swollen ankle	1832-1	267039000	Foot/Ankle
1777678019	1708	Ehlers-Danlos syndrome	PGy2	398114001	Other
310455016	1706	Recurrent dislocation of the patella	N083p	202246002	Knee
311380012	1688	Metatarsalgia	N2172	10085004	Foot/Ankle
2476417011	1669	Swollen hand	16J6	299037003	Hand
28870010	1660	Prepatellar bursitis	N2165	17059001	Knee
106745019	1659	Curvature of spine	N37	64217002	Back
437603016	1656	Swollen foot	16J7	297142003	Foot/Ankle
135862013	1646	Sprain of medial collateral ligament of knee	S541	81902001	Knee
76654019	1639	Acquired pectus carinatum	N3832	45973002	Chest
496589015	1613	Fallen arches	N34-1	53226007	Foot/Ankle
325470018	1587	Sprain of foot	Syu96	49388007	Foot/Ankle
232231000006111	1573	Injury - disorder	SN552-2	417746004	Other
481614012	1567	Temporomandibular sprain	S5y11	23415000	Head
310995010	1558	Clicking knee	N099C	202609006	Knee
398007016	1552	Symptom: chest wall	1D22	267107009	Chest
123444018	1543	Spasmodic torticollis	F1382	74333002	Neck
13682017	1523	Trochanteric bursitis	N2157	7674000	Hip/Pelvis
1485976019	1517	Acquired pectus excavatum	N3833	391986001	Chest
310992013	1507	Clicking hip	N0999	202606004	Hip/Pelvis
5139361000006116	1442	Juvenile chronic arthritis	^ESCTJU513936	239796000	Other
402890017	1426	Acute meniscal tear, medial	S460	269113006	Knee
310826018	1425	Arthralgia of wrist	N094F	202482009	Wrist
2881271000006115	1402	Sever's disease	^ESCTSE288127	23890000	Foot/Ankle
391105019	1399	Toe sprain	S5513-1	262998001	Foot/Ankle
325413011	1392	[X]Injuries to the wrist and hand	Syu6	125599006	Hand/Wrist
400305017	1392	Ganglion cyst	N2243	445008009	Other
400280011	1390	Torticollis unspecified	N135	70070008	Neck
400345014	1384	Flat foot NOS	N34z	53226007	Foot/Ankle
319530015	1376	Dislocation of finger or thumb not otherwise specified	S44z	269111008	Hand
86578011	1375	Acquired genu valgum	N3640	52012001	Knee
415888015	1374	Chronic low back pain	16C9	278860009	Back
88799019	1366	Scheuermann's disease	N3201	53406005	Back
1772881000006115	1359	Scoliosis of thoracic spine	EMISNQSC20	298494008	Back
2552628011	1358	Aching muscles	1DCC	68962001	Multiple
2476418018	1342	Swollen finger	1834-1	299060006	Hand
628221000006110	1342	Generalised benign joint hypermobility	N235-1	240261009	Other
317144010	1321	Growing pains in limbs	R01z1	102482005	Multiple
312431017	1265	Kyphoscoliosis or scoliosis NOS	N373z	64217002	Back
311416012	1248	Synovitis and tenosynovitis	N220	202900007	Other
1871131000006116	1241	Lower back injury	Syu37	282766005	Back
734841000006119	1241	Knee locking	N07yH	1126007	Knee
114111014	1236	Acquired unequal leg length	N36y0	203601000	Leg
131591000006117	1227	Strain of Achilles tendon	S5504	22817005	Foot/Ankle
319565015	1227	Acute meniscal tear, lateral	S461	208921000	Knee
402888018	1216	Dislocation or subluxation of finger or thumb	S44	269111008	Hand
215431000000115	1212	Torticollis - symptom	16A3-1	70070008	Neck
1230691015	1209	Arthralgia of hip	N094K	49218002	Hip/Pelvis
320111019	1207	Sprain of shoulder and upper arm	S50	123536004	Shoulder
206425010	1196	Complex regional pain syndrome	F369	128200000	Multiple
4077121000006117	1194	Inguinal pain	^ESCTIN407712	102570003	Hip/Pelvis
2645968013	1169	Hyperextension injury of finger	S523F	423657003	Hand
494277016	1156	Contusion, lower leg	SE410	45613006	Leg
407052019	1155	C/O - ankle symptom	1D28-1	272013008	Foot/Ankle
320258018	1135	Sprain of ankle and foot	S55	209529003	Foot/Ankle
620911000006112	1115	Walking disability	N097	228158008	Leg
310993015	1114	Multiple clicking joints	N099A	202607008	Multiple
7278014	1112	Arthritis	N06z-1	3723001	Other
136713011	1104	Chronic pain	1M52	82423001	Other
3060241000006112	1103	Pain in the coccyx	^ESCTPA306024	34789001	Back
454068014	1100	C/O - pain in toe	1D130	310483003	Foot/Ankle
311343018	1091	Tennis elbow	N2132-1	202855006	Elbow
310855014	1085	Arthralgia	N094z	57676002	Other
402914014	1080	Sprain of knee and leg	S54	269137006	Knee
1573941000006111	1078	Thoracic back pain	EMISNQTH14	279038004	Back
398010011	1069	Symptom of ankle or foot	1D28	267109007	Foot/Ankle
442155013	1066	Axillary pain	N2455	300953009	Arm
312238013	1054	Clavicle pain	N33A1	203509009	Shoulder
4378771000006115	1047	Injury of ankle	^ESCTIN437877	125603006	Foot/Ankle
459326017	1025	Swollen thumb	16J2	314916002	Hand
95473010	1020	Carpal tunnel syndrome	F340	57406009	Wrist
14156051000006117	991	Pain of joint of knee	^ESCT1415605	1003721002	Knee
46720015	990	Laxity of ligament	N234	27911000	Other
136950019	983	Osteochondritis dissecans	N327	82562007	Other
21633013	979	Bone pain	N33A	12584003	Other
400335012	963	Osteochondritis	N32z2	70736000	Other
312274016	961	Hammer toe	N354	122481008	Foot/Ankle
421171017	956	Calf injury	SK174	282775007	Leg
745601000006117	956	Irritable hip	N064K-1	301813003	Hip/Pelvis
400244011	944	Shoulder joint pain	N0941-1	267949000	Shoulder
2645967015	932	Hyperextension injury of thumb	S5227	422444006	Hand
753081000006115	926	Knock-kneed	N3640-1	299330008	Knee
939761000006119	921	Musculoskeletal pain mild	EMISNQMU3	939761000006103	Other
709441000006113	919	Fibromyalgia	N239	203082005	Multiple
251922014	915	Chest wall tenderness	1D220	102591006	Chest
323981012	915	Injury of thigh	SK161	7523003	Leg
116082011	911	Rheumatoid arthritis	N040	69896004	Other
310639016	897	Knee joint effusion	N0906-1	202381003	Knee
320247010	897	Partial tear, knee, anterior cruciate ligament	S5421	209520004	Knee
137150010	893	Baker's cyst	N224A-1	82675004	Knee
320259014	885	Ankle sprain, unspecified	S5500	44465007	Foot/Ankle
320319014	884	Pulled back muscle	S57z0	209574005	Back
494319014	882	Retrosternal pain	1829	4568003	Chest
169727012	865	Injury of musculoskeletal system	ESCTIN21	105606008	Other
416149013	865	Pain in buttock	N245-9	279043006	Hip/Pelvis
310271019	859	Patellofemoral maltracking	N07y6	202114006	Knee
91936014	857	Cramp	N2472	55300003	Other
125937016	853	Acute polyarticular juvenile rheumatoid arthritis	N0431	75822003	Multiple
87741000006114	853	Acquired trigger finger	N2203	1539003	Hand
320206012	850	Volar plate injury, finger, proximal interphalangeal joint	S523B	209489004	Hand
2472447010	848	Juvenile rheumatoid arthritis	N0455	410795001	Other
252450017	841	Costal margin chest pain	182B0	161977000	Chest
320307018	831	Lumbar sprain	S572	209565008	Back
749561000006115	825	Lateral epicondylitis of elbow	N2132	202855006	Elbow
512242016	806	Pain in face	1M3	95668009	Head
1221607010	801	Hip sprain	S53-3	17883008	Hip/Pelvis
312116015	794	Apophysitis	N32z0	29321007	Other
2673129012	788	Olecranon bursitis	N2133	425940002	Elbow
8258016	785	Repetitive strain injury	Ny2	4308002	Other
194108018	781	Dislocation of thumb	S44-1	125620005	Hand
402553012	779	O/E - soft tissue abnormality	2HC	268993003	Other
402911018	779	Sprain of elbow and forearm	S51	269134004	Elbow
317086019	772	[D]Pain, generalized	R00z2	82991003	Multiple
54781000006115	768	Wry neck symptom	16A3-2	70070008	Neck
582641000006117	767	Congenital valgus deformity of knee	PF641	89689008	Knee
131181000006114	764	Sprain of ligament of acromioclavicular joint	S500	27182002	Shoulder
309828016	764	Juvenile rheumatoid arthritis NOS	N043z	410795001	Other
106921000006111	753	Thoracic back sprain	S571	274162005	Back
323977012	748	Other finger injuries NOS	SK15z	52011008	Hand
311252013	744	Lumbago with sciatica	N1420	202794004	Back
158058014	730	Intercostal myalgia	N2410-1	95421005	Other
2532921014	728	Acquired kyphosis	N371	413428007	Back
322801017	726	Contusion wrist or hand	SE32	211506004	Hand/Wrist
400251019	714	Arthralgia of the ankle and foot	N0947	267954009	Foot/Ankle
142291000006114	702	Sinding - Larsen's disease - osteochondrosis of the secondary patella centre	N3243-1	203389008	Knee
121239018	701	Thoracogenic scoliosis	N3735	72992003	Back
896341000006114	701	Sprained ankle	S550-99	44465007	Foot/Ankle
891891000006116	699	Pain in left leg	N245-96	287047008	Leg
598311000006112	698	Costochondral joint syndrome	N336-1	64109004	Chest
323949015	697	Injury of groin	SK117	11805005	Hip/Pelvis
159841000006114	696	Sacroiliac sprain	N146z-1	12519004	Back
400250018	694	Arthralgia of the lower leg	N0946	267953003	Leg
891881000006119	694	Pain in right leg	N245-95	287048003	Leg
6901791000006119	693	Dislocation of shoulder joint	^ESCTDI690179	417076003	Shoulder
794581000006117	685	Freiberg's disease	N3253	28466007	Foot/Ankle
123542016	683	Pauciarticular juvenile rheumatoid arthritis	N0432	74391003	Other
14153011	682	Bunionette	N359	7951001	Foot/Ankle
454086012	680	[X]Unspecified injury of wrist and hand	Syu6M	125599006	Hand/Wrist
507071014	675	Claw toe - acquired	N355	86380000	Foot/Ankle
411301012	673	Shoulder strain	S50w-1	275334004	Shoulder
369379014	669	Acute back pain with sciatica	N143-1	247366003	Back
182691000006118	664	Recurrent dislocation of shoulder region	N0831	30556007	Shoulder
297602013	659	Muscular dystrophies and other myopathies	F39	75047002	Other
311455013	658	Transient synovitis	N220Q	202924004	Other
416143014	658	Lumbago	N142-4	279039007	Back
251425018	655	Pain in upper limb	1M0	102556003	Arm
605971000006115	654	Bone cyst	N332	203465002	Other
807451000006115	654	Growing pains symptom	16Z2-1	102482005	Other
312438011	649	Scoliosis associated with other condition	N3743	64217002	Back
312599016	645	Spinal fusion	Nyu56	55705006	Back
373033016	640	Knee gives way	N0966-1	250102002	Knee
359560012	626	Tenosynovitis of wrist	N2205-2	442048005	Wrist
1494890011	623	Sprain of hip and thigh	S53	17883008	Hip/Pelvis
2551985013	621	Developmental dysplasia of the hip	PF631-1	52781008	Hip/Pelvis
130158018	617	Ganglion of joint	N2241	78435003	Other
310997019	617	Clicking ankle	N099E	202611002	Foot/Ankle
311041010	617	Sacroiliitis	N102	55146009	Back
372654019	616	Pes cavus	PE71-2	36755004	Foot/Ankle
55627011	610	Psoriatic arthropathy	M160	33339001	Other
319531016	609	Dislocation of hip joint	S45	157265008	Hip/Pelvis
309972017	604	Osteoarthritis of multiple joints	N054	268054009	Multiple
311744014	595	Tender heel pad	N2456	203131005	Foot/Ankle
312303013	591	Persistent femoral anteversion	N3634	203561009	Hip/Pelvis
310803013	587	Hand joint pain	N0944-1	202472008	Hand
183001000006111	585	Recurrent subluxation of patella	S46D	202248001	Knee
400297017	583	Bursitis of knee	N2160	111243002	Knee
310940016	581	Knee joint finding	N096M	299321000	Knee
75415016	581	Infrapatellar bursitis	N2166	45231001	Knee
312523013	579	[X]Other juvenile arthritis	Nyu15	239796000	Other
402912013	569	Sprain of hand	S5210	87778004	Hand
5887131000006115	566	Pain in calf	^ESCTPA588713	300954003	Leg
404201000006115	562	Osteopenia	NyuBC	312894000	Other
713261000006110	562	Medial epicondylitis of elbow	N2131	53286005	Elbow
131491000006116	559	Strain of quadriceps tendon	S533	209507002	Leg
320281016	553	Ankle and foot sprain NOS	S55z	209529003	Foot/Ankle
302130018	551	Temporomandibular joint disorder NOS	J046z	41888000	Head
400301014	546	Exostosis of unspecified site	N21z3	416189003	Other
400304018	545	Bursitis	N223	84017003	Other
323957017	544	Injury of upper arm	SK123	125595000	Arm
403061018	540	Other knee, leg, ankle and foot injuries	SK17	127279002	Knee
400302019	530	Tenosynovitis	N2205	67801009	Hand
2649445015	529	Iliotibial band friction syndrome	N2159	423849004	Leg
454069018	527	C/O - pain in hallux	1D131	310484009	Foot/Ankle
391096011	526	Forearm sprain	S51-1	262990008	Arm
400289012	525	Disorder of back	N14z	33308003	Back
2196791000000119	520	Rheumatoid arthritis annual review	66HB0	847261000000104	Other
372797015	520	Stiff neck NOS	N135z-1	161882006	Neck
310792015	517	Arthralgia of unspecified site	N0940	57676002	Other
317427018	515	[D]Anterior chest wall pain	R0652	161973001	Chest
1494891010	514	Thigh sprain	S53-4	17883008	Leg
310457012	511	Recurrent subluxation of the patella	N083q	202248001	Knee
36573015	504	de Quervain's disease	N2204-1	21794005	Hand
2214301000000116	503	Chronic regional pain syndrome	F369-1	128200000	Other
309413012	500	Scleroderma	N001	89155008	Other
391100012	496	Leg sprain	S54-2	262994004	Leg
1874161000006110	493	Child young persons injury - other soft tissue	EMISNQCH196	1874161000006106	Other
320316019	491	Coccyx sprain	S574	90631008	Back
318040019	490	[X]Other chronic pain	Ryu70	82423001	Multiple
111967016	484	Instability of joint	N08y-2	67374007	Other
325412018	479	[X]Unspecified injury of elbow and forearm	Syu5G	127278005	Elbow
2579112017	478	C/O - lumbar pain	1A53-2	161894002	Back
221671000006119	476	Polyarthropathy	N065-1	36186002	Multiple
312265018	474	Hypermobile flat foot	N3400	203531001	Foot/Ankle
443295011	473	Irritable hip	N0965-2	301813003	Hip/Pelvis
122060015	471	Adolescent postural kyphosis	N370	73507002	Back
310856010	469	Joint stiffness	N095	84445001	Other
312294013	468	Flexion deformity of finger	N3623	203554005	Hand
452701000006110	468	Ache in joint	N094-1	57676002	Other
164851000006115	467	Strain of rotator cuff of shoulder	S504	74779009	Shoulder
891901000006117	465	Pain in right arm	N245-97	90834002	Arm
334283017	464	Achilles bursitis	N2173	221695002	Foot/Ankle
310802015	463	Arthralgia of the hand	N0944	202472008	Hand
311686012	463	Other soft tissue disorders	N24	19660004	Other
132837018	460	Swelling of limb	N2470	80068009	Other
320280015	459	Foot sprain NOS	S551z	49388007	Foot/Ankle
131521000006119	458	Sprain of shoulder joint	S507	3199001	Shoulder
320210010	457	Sprain tendon wrist or hand	S524	209493005	Hand/Wrist
2968012	450	Locked knee	N07y5	1126007	Knee
311701010	450	Myositis	N2411	26889001	Other
319552012	450	Dislocation of hip NOS	S45z	157265008	Hip/Pelvis
311681019	438	Spasm of back muscles	N23yE	203095000	Back
221661000006114	435	Inflammatory polyarthritis	N065z-1	417373000	Multiple
319413019	435	Dislocation or subluxation of elbow	S42	208782004	Elbow
407048019	434	C/O - a back symptom	1D24-1	272009001	Hip/Pelvis
800781000006116	434	Generalised aches and pains	1DC8	82991003	Multiple
20001010	429	Snapping hip	N2158	11568002	Hip/Pelvis
256003019	423	O/E - finger joint abnormal	2H27	164514009	Hand
406696011	421	Swollen joint	16J3	271771009	Other
400318013	416	Finding of limb structure	N247z	302293008	Other
253293011	412	Symptom: lower limb	1D27	162430004	Leg
256013010	412	O/E - joint swelling	2H3	164524001	Other
493021000006115	411	Arthropathy NOS	N06z	399269003	Other
140831000006110	410	Shoulder tendonitis	N2125	442520000	Shoulder
1784692011	409	Juvenile dermatomyositis	N0030	1212005	Other
325446017	409	[X]Injuries to the knee and lower leg	Syu8	125602001	Knee
453781000006111	408	Acquired deformity of toe	N35	42251007	Foot/Ankle
1232667017	406	Acquired cavovarus foot deformity	N3675	65362007	Foot/Ankle
5606021000006110	403	Toe swelling	^ESCTTO560602	277890004	Foot/Ankle
325376013	400	Injury of shoulder and upper arm	Syu4	699062006	Shoulder
323924019	398	Traumatic AND/OR non-traumatic injury	SK1	417163006	Other
391132012	398	Anterior dislocation of shoulder	S4101-1	263021005	Shoulder
359759017	394	Costochondritis NOS	N33zz-1	64109004	Chest
495737017	393	Complex regional pain syndrome type I	N33C	128200000	Multiple
5461071000006116	392	Sprain of ligament of elbow	^ESCTSP546107	263128001	Elbow
402880013	387	Dislocation of joint	S4	108367008	Other
325317013	385	[X]Injuries to the neck	Syu1	90460009	Neck
