medcodeid	observations	originalreadcode	cleansedreadcode	term	snomedctconceptid	rewas_readcode	Respiratory
1484903015	1000	173F	173F.00	Short of breath dressing/undressing	390870001	173	1
1484904014	80000	173G	173G.00	Breathless - strenuous exertion	390871002	173	1
1485144011	800000	173H	173H.00	MRC Breathlessness Scale: grade 1	391120009	173	1
6519221000006115	3	^ESCTME651922		Medical Research Council (MRC) Breathlessness Scale: grade 1	391120009		1
13821601000006110	4000	^ESCT1382160		Medical Research Council Dyspnoea scale grade 1	391120009		1
13821611000006113	8000	^ESCT1382161		Medical Research Council Dyspnoea scale grade 2	391123006		1
1485147016	1000000	173I	173I.00	MRC Breathlessness Scale: grade 2	391123006	173	1
13821621000006117	5000	^ESCT1382162		Medical Research Council Dyspnoea scale grade 3	391124000		1
1485148014	1000000	173J	173J.00	MRC Breathlessness Scale: grade 3	391124000	173	1
13821631000006119	1	^ESCT1382163		Medical Research Council (MRC) Breathlessness Scale: grade 3	391124000		1
1485149018	600000	173K	173K.00	MRC Breathlessness Scale: grade 4	391125004	173	1
13821641000006112	4000	^ESCT1382164		Medical Research Council Dyspnoea scale grade 4	391125004		1
1485150018	100000	173L	173L.00	MRC Breathlessness Scale: grade 5	391126003	173	1
13821651000006114	1000	^ESCT1382165		Medical Research Council Dyspnoea scale grade 5	391126003		1
1780464016	1000	173M	173M.00	Borg Breathlessness Score: 0 none at all	401275008	173	1
1780468018	700	173P	173P.00	Borg Breathlessness Score: 1 very slight	401279002	173	1
1780469014	2000	173Q	173Q.00	Borg Breathlessness Score: 2 slight	401280004	173	1
1780470010	3000	173R	173R.00	Borg Breathlessness Score: 3 moderate	401281000	173	1
1780471014	900	173S	173S.00	Borg Breathlessness Score: 4 somewhat severe	401282007	173	1
1780473012	600	173T	173T.00	Borg Breathlessness Score: 5 severe	401284008	173	1
1780475017	200	173V	173V.00	Borg Breathlessness Score: 6 severe (+)	401286005	173	1
1780479011	300	173W	173W.00	Borg Breathlessness Score: 7 very severe	401290007	173	1
1780480014	100	173X	173X.00	Borg Breathlessness Score: 8 very severe (+)	401291006	173	1
911011000006110	60	173Y	173Y.00	Borg Breathlessness Score: 9 very, very severe (almost maximal)	401292004	173	1
1780482018	80	173a	173a.00	Borg Breathlessness Score: 10 maximal	401293009	173	1
910921000006114	400	173N	173N.00	Borg Breathlessness Score: 0.5 very, very slight (just noticeable)	401323002	173	1
2159189012	2000	173b	173b.00	Unable to complete a sentence in one breath	407588003	173	1
198599018	30000	1736	1736.00	Paroxysmal nocturnal dyspnoea	55442000	173	1
3400211000006117	1	^ESCTPN340021		PND - Paroxysmal nocturnal dyspnea	55442000		1
3400201000006115	1	^ESCTPN340020		PND - Paroxysmal nocturnal dyspnoea	55442000		1
3400191000006118	3	^ESCTPA340019		Paroxysmal nocturnal dyspnea	55442000		1
93172014	1000000	1737	1737.00	Wheezing	56018004	173	1
3410151000006114	500	^ESCTWH341015		Wheezy	56018004		1
3410141000006112	200	^ESCTWH341014		Wheeze	56018004		1
317393013	200000	R0609	R060900	[D]Wheezing	56018004	R06	1
95786019	5000	173c	173c.00	Occupational asthma	57607007	173	1
983771000006118	100	173d	173d.00	Work aggravated asthma	57607007	173	1
3435971000006119	1	^ESCTIN343597		Industrial asthma	57607007		1
1232138017	100000	173C	173C.00	Short of breath on exertion	60845006	173	1
498862013	100000	173C-1	173C.11	Dyspnoea on exertion	60845006	173	1
3488371000006119	1	^ESCTDY348837		Dyspnoea on effort	60845006		1
3488351000006112	90	^ESCTBR348835		Breathlessness on exertion	60845006		1
910901000006116	300000	173C-2	173C.12	SOBOE	60845006	173	1
3488411000006118	5000	^ESCTSO348841		SOBOE - Shortness of breath on exertion	60845006		1
3488381000006116	40	^ESCTEX348838		Exertional dyspnoea	60845006		1
3488341000006110	8	^ESCTEX348834		Exertional dyspnea	60845006		1
11905591000006110	4	^ESCT1190559		Orthopnea	62744007		1
317383018	10000	R0602	R060200	Orthopnea	62744007	R06	1
41791000006118	10000	1735-1	1735.11	Orthopnoea	62744007	173	1
525691000006114	20000	1735	1735.00	Breathlessness lying flat	62744007	173	1
2287071000000115	300	173f	173f.00	Anxiety about breathlessness	702535006	173	1
7563281000006118	1	^ESCTDI756328		Difficulty eating due to breathlessness	702581006		1
2287881000000112	30	173g	173g.00	Breathlessness causing difficulty eating	702581006	173	1
2379631000000117	100000	173h	173h.00	Able to complete sentence in one breath	713661000	173	1
2241471000000111	2000	17370	1737000	Constant wheezing	867311000000104	173	1
2374691000000117	300	17371	1737100	Wheezing in absence of colds	926181000000107	173	1
